genre_as_recorded,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Figure initials--France--15th century,aat,,figure initials;France;Fifteenth century,http://vocab.getty.edu/aat/300199991;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,Q12664;Q152;Q154
Filigree,lobt,,filigree,http://w3id.org/lob/concept/2895,Q38473
Filigree,openn-form/genre,,filigree,http://w3id.org/lob/concept/2895,Q38473
Fillet tooling,rbmscv,,Fillet tooling,http://id.loc.gov/vocabulary/rbmscv/cv00533,Q27227
Financial documents,aat,,financial records,http://vocab.getty.edu/aat/300027473,Q4167
Financial records,aat,,financial records,http://vocab.getty.edu/aat/300027473,Q4167
Firmans,lcsh,,Firmans,http://id.worldcat.org/fast/1739246,Q8127
Firmans--Greece--Crete--18th century,lcsh,,Firmans;Greece--Crete;Eighteenth century,http://id.worldcat.org/fast/1739246;http://id.worldcat.org/fast/1207225;http://id.worldcat.org/fast/904058,Q8127;Q26806;Q3024
Flap bindings,openn-form/genre,,Flap bindings,http://id.loc.gov/vocabulary/rbmscv/cv00468,Q5826
Flap bindings,rbmscv,,Flap bindings,http://id.loc.gov/vocabulary/rbmscv/cv00468,Q5826
Flap bindings (Binding),rbbin,,Flap bindings,http://id.loc.gov/vocabulary/rbmscv/cv00468,Q5826
folio,aat,(CStmoGRI)aatgf300201054,bifolia,http://vocab.getty.edu/aat/300201054,Q1353
folklore,ds-genre,,folklore (discipline),http://vocab.getty.edu/aat/300055920,Q42430
Folklore,fast,(OCoLC)fst01423784,Folklore,http://id.worldcat.org/fast/1423784,Q42583
Folk poetry,fast,,Folk poetry,http://id.worldcat.org/fast/1921661,Q42600
Folk poetry,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026343,Folk poetry,http://id.worldcat.org/fast/1921661,Q42600
Fore-edge paintings (Binding)--England--14th century,rbbin,,Fore-edge paintings;England;Fourteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00742;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,Q12636;Q320;Q295
Fore-edge paintings (Binding)--France--16th century,,,Fore-edge paintings;France;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00742;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q12636;Q152;Q335
Forgeries,aat,,forgeries (derivative objects),http://vocab.getty.edu/aat/300015641,Q26906
Forgeries (derivative objects),aat,http://vocab.getty.edu/aat/300015641,forgeries (derivative objects),http://vocab.getty.edu/aat/300015641,Q26906
Formularies,aat,,formularies,http://vocab.getty.edu/aat/300253016,Q3587
Formularies--England--15th century,aat,,formularies;England;Fifteenth century,http://vocab.getty.edu/aat/300253016;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,Q3587;Q320;Q154
"Formulas, recipes, etc",aat,,formulas (instructions),http://vocab.getty.edu/aat/300438609,Q12523
Fragments,aat,,fragments (object portions),http://vocab.getty.edu/aat/300117130,Q222
fragments (object portions),aat,,fragments (object portions),http://vocab.getty.edu/aat/300117130,Q222
Fragments (object portions),aat,,fragments (object portions),http://vocab.getty.edu/aat/300117130,Q222
Fragments (object portions),aat,http://vocab.getty.edu/aat/300117130,fragments (object portions),http://vocab.getty.edu/aat/300117130,Q222
Frame covers,lobt,,frame covers,http://w3id.org/lob/concept/1345,Q27037
Fukuro-toji--Japan--15th century,aat,,fukuro-toji;Japan;Fifteenth century,http://vocab.getty.edu/aat/300263594;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/923962,Q38474;Q12622;Q154
Fukuro-toji--Japan--17th century,aat,,fukuro-toji;Japan;Seventeenth century,http://vocab.getty.edu/aat/300263594;http://id.worldcat.org/fast/1204082;http://id.worldcat.org/fast/1113663,Q38474;Q12622;Q2771
Full covers,lobt,,full covers,http://w3id.org/lob/concept/1348,Q26878
Full covers,openn-form/genre,,full covers,http://w3id.org/lob/concept/1348,Q26878
Furniture,rbbin,,Furniture,http://id.loc.gov/vocabulary/rbmscv/cv00445,Q16323
Furniture,rbmscv,,Furniture,http://id.loc.gov/vocabulary/rbmscv/cv00445,Q16323
Furniture (Binding)--Spain--17th century,rbbin,,Furniture,http://id.loc.gov/vocabulary/rbmscv/cv00445,Q16323
Furniture (components),lobt,,Furniture (components),https://www.ligatus.org.uk/lob/concept/1353,Q17490
Gatherings (gathered matter components),aat,,gatherings (gathered matter components),http://vocab.getty.edu/aat/300194226,Q2786
Gatherings (gathered matter components),openn-form/genre,,gatherings (gathered matter components),http://vocab.getty.edu/aat/300194226,Q2786
Gauffered edges,rbmscv,,Gauffered edges,http://id.loc.gov/vocabulary/rbmscv/cv00745,Q10809
Gauffered edges (Binding),rbbin,,Gauffered edges,http://id.loc.gov/vocabulary/rbmscv/cv00745,Q10809
Ge'ez--Ethiopia--20th century,aat,,Geez (language);Ethiopia;Twentieth century,http://vocab.getty.edu/aat/300388341;http://id.worldcat.org/fast/1205830;http://id.worldcat.org/fast/1159810,Q38475;Q11151;Q5942
genealogical,ds-genre,,genealogy (discipline),http://vocab.getty.edu/aat/300054387,Q42416
Genealogical tables,aat,,genealogical tables,http://vocab.getty.edu/aat/300027016,Q8160
Genealogical tables,openn-form/genre,,genealogical tables,http://vocab.getty.edu/aat/300027016,Q8160
Genealogical tables--England--14th century,aat,,genealogical tables;England;Fourteenth century,http://vocab.getty.edu/aat/300027016;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,Q8160;Q320;Q295
Genealogies,aat,,genealogies (histories),http://vocab.getty.edu/aat/300027015,Q141
Genealogies (Genre/Form),rbgenr,,Genealogies,http://id.loc.gov/vocabulary/rbmscv/cv01398,Q5832
Genealogies (histories),aat,,genealogies (histories),http://vocab.getty.edu/aat/300027015,Q141
Genealogies (histories)--England--15th century,aat,,genealogies (histories);England;Fifteenth century,http://vocab.getty.edu/aat/300027015;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,Q141;Q320;Q154
Genealogy,fast,,Genealogy,http://id.worldcat.org/fast/1423818,Q183
Gilt edges (Binding),rbbin,,Gilt edges,http://id.loc.gov/vocabulary/rbmscv/cv00748,Q5855
Girdle books (Binding),rbbin,,Girdle books,http://id.loc.gov/vocabulary/rbmscv/cv01404,Q38476
Girdle books--Italy--15th century,aat,,girdle books;Italy;Fifteenth century,http://vocab.getty.edu/aat/300198397;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q38477;Q249;Q154
Glossaries,aat,,glossaries,http://vocab.getty.edu/aat/300026189,Q315
"Glossaries, vocabularies, etc",fast,,"Glossaries, vocabularies, etc.",http://id.worldcat.org/fast/1423786,Q3028
Glossed Bibles,aat,,glossed Bibles,http://vocab.getty.edu/aat/300263404,Q4190
Glosses (annotations),aat,,glosses (annotations),http://vocab.getty.edu/aat/300211708,Q4260
Glosses (annotations),aat,http://vocab.getty.edu/aat/300211708,glosses (annotations),http://vocab.getty.edu/aat/300211708,Q4260
Goatskin bindings,rbmscv,,Goatskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00547,Q12526
Goatskin bindings (Binding),rbbin,,Goatskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00547,Q12526
Goatskin bindings (Binding)--14th century,rbbin,,Goatskin bindings;Fourteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00547;http://id.worldcat.org/fast/933420,Q12526;Q295
Gold-tooled (decoration),lobt,,gold-tooled (decoration),http://w3id.org/lob/concept/1371,Q3069
Gold tooled bindings,rbmscv,,Gold tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00551,Q5859
Gold tooled bindings (Binding),rbbin,,Gold tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00551,Q5859
Gold tooled bindings (Binding)--Russia--19th centiry,rbbin,,Gold tooled bindings;Russia;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00551;http://id.worldcat.org/fast/1207312;http://id.worldcat.org/fast/1037841,Q5859;Q38478;Q3538
Gold tooled bindings (Binding)--Spain--16th century,rbbin,,Gold tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00551,Q5859
Gold tooled bindings (Provenance),rbprov,,Gold tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00551,Q5859
gold tooling,aat,,gold tooling,http://vocab.getty.edu/aat/300256003,Q11506
Gospel books,rbmscv,,Gospel books,http://id.loc.gov/vocabulary/rbmscv/cv01317,Q16379
gospels,ds-genre,,gospels,http://vocab.getty.edu/aat/300404696,Q48675
Gothic scripts,aat,(CStmoGRI)aatgf300195226http://vocab.getty.edu/aat/300195226,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
Gothic scripts,aat,(CStmoGRI)aatgf300195226,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
Gothic scripts,aat,,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
Gothic scripts,aat,http://vocab.getty.edu/aat/300195226,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
Gothic scripts,lcsh,,"Writing, Gothic",http://id.worldcat.org/fast/1181685,Q27244
Gothic scripts.--Italy--14th century,aat,,Gothic scripts;Italy;Fourteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,Q16360;Q249;Q295
Gothic scripts--Belgium--15th century,aat,,Gothic scripts;Belgium;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,Q16360;Q16301;Q154
Gothic scripts--England--13th century,aat,,Gothic scripts;England;Thirteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1150138,Q16360;Q320;Q245
Gothic scripts--France--13th century,aat,,Gothic scripts;France;Thirteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,Q16360;Q152;Q245
Gothic scripts--France--14th century,aat,,Gothic scripts;France;Fourteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q16360;Q152;Q295
Gothic scripts--France--15th century,aat,,Gothic scripts;France;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,Q16360;Q152;Q154
Gothic scripts--France--16th century,aat,,Gothic scripts;France;Sixteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q16360;Q152;Q335
Gothic scripts--Germany--15th century,aat,,Gothic scripts;Germany;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,Q16360;Q3032;Q154
Gothic scripts--Italy--13th century,aat,,Gothic scripts;Italy;Thirteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138,Q16360;Q249;Q245
Gothic scripts--Italy--14th century,aat,,Gothic scripts;Italy;Fourteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,Q16360;Q249;Q295
Gothic scripts--Italy--15th century,aat,,Gothic scripts;Italy;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q16360;Q249;Q154
Gothic scripts--Italy--Bologna--14th century,aat,,Gothic scripts;Italy--Bologna;Fourteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204551;http://id.worldcat.org/fast/933420,Q16360;Q4842;Q295
Gothic scripts--Italy--Ferrara--15th century,aat,,Gothic scripts;Italy--Ferrara;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204575;http://id.worldcat.org/fast/923962,Q16360;Q7179;Q154
Gothic scripts--Spain--15th century,aat,,Gothic scripts;Spain;Fifteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/923962,Q16360;Q343;Q154
Gothic scripts--Spain--16th century,aat,,Gothic scripts;Spain;Sixteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,Q16360;Q343;Q335
Gothic scripts--Spain--17th century,aat,,Gothic scripts;Spain;Seventeenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,Q16360;Q343;Q2771
Gothic scripts--Spain--18th century,aat,,Gothic scripts;Spain;Eighteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/904058,Q16360;Q343;Q3024
Gothic scripts--Spain--Valladolid--16th century,aat,,Gothic scripts;Spain--Valladolid;Sixteenth century,http://vocab.getty.edu/aat/300195226;http://id.worldcat.org/fast/1207327;http://id.worldcat.org/fast/1119851,Q16360;Q38450;Q335
Government records,aat,,government records,http://vocab.getty.edu/aat/300027777,Q4967
graduals,ds-genre,,graduals,http://vocab.getty.edu/aat/300026462,Q4165
Graduals,rbmscv,,Graduals,http://id.loc.gov/vocabulary/rbmscv/cv01414,Q10816
Graduals,aat,,graduals,http://vocab.getty.edu/aat/300026462,Q4165
Graduals,rbgenr,,Graduals,http://id.loc.gov/vocabulary/rbmscv/cv01414,Q10816
Graduals (service books),lcgft,,Graduals (Service books),http://id.worldcat.org/fast/1920168,Q16317
Graduals (Service books),lcgft,,Graduals (Service books),http://id.worldcat.org/fast/1920168,Q16317
Graduals--Czech Republic--15th century,rbgenr,,Graduals;Czech Republic;Fifteenth century,http://id.loc.gov/vocabulary/rbmscv/cv01414;http://id.worldcat.org/fast/1256743;http://id.worldcat.org/fast/923962,Q10816;Q19848;Q154
Graduals--France--13th century,aat,,graduals;France;Thirteenth century,http://vocab.getty.edu/aat/300026462;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,Q4165;Q152;Q245
Graduals--Italy--15th century,rbgenr,,Graduals;Italy;Fifteenth century,http://id.loc.gov/vocabulary/rbmscv/cv01414;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q10816;Q249;Q154
Graduals--Italy--16th century,rbgenr,,Graduals;Italy;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv01414;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q10816;Q249;Q335
Graduals--Italy--17th century,rbgenr,,Graduals;Italy;Seventeenth century,http://id.loc.gov/vocabulary/rbmscv/cv01414;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,Q10816;Q249;Q2771
Grammars (instructional materials),aat,,grammars (instructional materials),http://vocab.getty.edu/aat/300252962,Q4913
grammatical,ds-genre,,grammar (discipline),http://vocab.getty.edu/aat/300263250,Q42415
grammatical \ school text,ds-genre,,grammar (discipline),http://vocab.getty.edu/aat/300263250,Q42415
Greek style bindings,rbmscv,,Greek style bindings,http://id.loc.gov/vocabulary/rbmscv/cv00330,Q16313
Gregorian chant--France--14th century,aat,,Gregorian chants;France;Fourteenth century,http://vocab.getty.edu/aat/300265207;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q2967;Q152;Q295
Gregorian chants,aat,,Gregorian chants,http://vocab.getty.edu/aat/300265207,Q2967
Gregorian chants,fast,,Gregorian chants,http://id.worldcat.org/fast/1726631,Q38479
Gregorian chants,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026843,Gregorian chants,http://id.worldcat.org/fast/1726631,Q38479
Gregorian chants,lcgft,,Gregorian chants,http://id.worldcat.org/fast/1726631,Q38479
Grotesques,aat,,grotesques,http://vocab.getty.edu/aat/300010211,Q10799
Grotesques--Belgium--16th century,aat,,grotesques;Belgium;Sixteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/1119851,Q10799;Q16301;Q335
Grotesques--Czech Republic--15th century,aat,,grotesques;Czech Republic;Fifteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1256743;http://id.worldcat.org/fast/923962,Q10799;Q19848;Q154
Grotesques--England--12th century,aat,,grotesques;England;Twelfth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1159791,Q10799;Q320;Q304
Grotesques--England--13th century,aat,,grotesques;England;Thirteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1150138,Q10799;Q320;Q245
Grotesques--England--14th century,aat,,grotesques;England;Fourteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/933420,Q10799;Q320;Q295
Grotesques--England--15th century,aat,,grotesques;England;Fifteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,Q10799;Q320;Q154
Grotesques--England--16th century,aat,,grotesques;England;Sixteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1119851,Q10799;Q320;Q335
Grotesques--Flanders--14th century,aat,,grotesques;Europe--Flanders;Fourteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1245991;http://id.worldcat.org/fast/933420,Q10799;Q4193;Q295
Grotesques--France--13th century,aat,,grotesques;France;Thirteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,Q10799;Q152;Q245
Grotesques--France--15th century,aat,,grotesques;France;Fifteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,Q10799;Q152;Q154
Grotesques--France--16th century,aat,,grotesques;France;Sixteenth century,http://vocab.getty.edu/aat/300010211;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q10799;Q152;Q335
Guides et manuels,rvmgf,,Handbooks and manuals,http://id.worldcat.org/fast/1423877,Q212
hagiographical,ds-genre,,hagiographies (literary genre),http://vocab.getty.edu/aat/300201063,Q2966
Hagiographies,fast,,Hagiographies,http://id.worldcat.org/fast/1922442,Q6951
Hagiographies,lcgft,,Hagiographies,http://id.worldcat.org/fast/1922442,Q6951
Hagiographies,rvmgf,,Hagiographies,http://id.worldcat.org/fast/1922442,Q6951
Hagiographies (documents),aat,,hagiographies (literary genre),http://vocab.getty.edu/aat/300201063,Q2966
hagiographies (works),ds-genre,,hagiographies (literary genre),http://vocab.getty.edu/aat/300201063,Q2966
Hagiographies (works),aat,,hagiographies (literary genre),http://vocab.getty.edu/aat/300201063,Q2966
Half bindings (Binding),rbbin,,Half bindings,http://id.loc.gov/vocabulary/rbmscv/cv00332,Q5817
Half bindings (Binding)--18th century,rbbin,,Half bindings;Eighteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00332;http://id.worldcat.org/fast/904058,Q5817;Q3024
Half bindings (Binding)--19th century,rbbin,,Half bindings;Nineteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00332;http://id.worldcat.org/fast/1037841,Q5817;Q3538
Half covers,lobt,,half covers,http://w3id.org/lob/concept/1382,Q27027
Handbook,,https://id.nlm.nih.gov/mesh/D020479,handbooks,http://vocab.getty.edu/aat/300311807,Q2951
handbooks,aat,,handbooks,http://vocab.getty.edu/aat/300311807,Q2951
Handbooks,aat,,handbooks,http://vocab.getty.edu/aat/300311807,Q2951
Handbooks and manuals,fast,(OCoLC)fst01423877,Handbooks and manuals,http://id.worldcat.org/fast/1423877,Q212
Handbooks and manuals,fast,,Handbooks and manuals,http://id.worldcat.org/fast/1423877,Q212
Handbooks and manuals,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026109,Handbooks and manuals,http://id.worldcat.org/fast/1423877,Q212
Handbooks and manuals,lcgft,,Handbooks and manuals,http://id.worldcat.org/fast/1423877,Q212
Headbands (Binding),rbbin,,Headbands,http://id.loc.gov/vocabulary/rbmscv/cv00453,Q11385
headpieces (layout features),aat,,headpieces (layout features),http://vocab.getty.edu/aat/300207342,Q11536
Headpieces (layout features)--10th century,aat,,headpieces (layout features);Tenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1147737,Q11536;Q12530
Headpieces (layout features)--11th century,aat,,headpieces (layout features);Eleventh century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/908096,Q11536;Q306
Headpieces (layout features)--Afghanistan--Herat--16th century,aat,,headpieces (layout features);Afghanistan--Herat;Sixteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1215453;http://id.worldcat.org/fast/1119851,Q11536;Q48725;Q335
Headpieces (layout features)--India--18th century,aat,,headpieces (layout features);India;Eighteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/904058,Q11536;Q26595;Q3024
Headpieces (layout features)--India--19th century,aat,,headpieces (layout features);India;Nineteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1037841,Q11536;Q26595;Q3538
Headpieces (layout features)--India--Delhi--17th century,aat,,headpieces (layout features);India;Seventeenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1113663,Q11536;Q26595;Q2771
Headpieces (layout features)--Iran--15th century,aat,,headpieces (layout features);Iran;Fifteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/923962,Q11536;Q16384;Q154
Headpieces (layout features)--Iran--16th century,aat,,headpieces (layout features);Iran;Sixteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1119851,Q11536;Q16384;Q335
Headpieces (layout features)--Iran--17th century,aat,,headpieces (layout features);Iran;Seventeenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1113663,Q11536;Q16384;Q2771
Headpieces (layout features)--Iran--19th century,aat,,headpieces (layout features);Iran;Nineteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1037841,Q11536;Q16384;Q3538
Headpieces (layout features)--Iran--20th century,aat,,headpieces (layout features);Iran;Twentieth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1159810,Q11536;Q16384;Q5942
Headpieces (layout features)--Iran--Mashhad--17th century,aat,,headpieces (layout features);Iran;Seventeenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1113663,Q11536;Q16384;Q2771
Headpieces (layout features)--Iran--Shīrāz--16th century,aat,,headpieces (layout features);Iran--Shīrāz;Sixteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1208873;http://id.worldcat.org/fast/1119851,Q11536;Q48253;Q335
Headpieces (layout features)--Iran--Shīrāz--19th century,aat,,headpieces (layout features);Iran--Shīrāz;Nineteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1208873;http://id.worldcat.org/fast/1037841,Q11536;Q48253;Q3538
Headpieces (layout features)--Iraq--Baghdad--15th century,aat,,headpieces (layout features);Iraq--Baghdad;Fifteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1207444;http://id.worldcat.org/fast/923962,Q11536;Q48745;Q154
Headpieces (layout features)--Islamic countries--17th century,aat,,headpieces (layout features);Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q11536;Q2810;Q2771
Headpieces (layout features)--Islamic countries--18th century,aat,,headpieces (layout features);Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q11536;Q2810;Q3024
Headpieces (layout features)--Islamic countries--18th century,lcsh,,headpieces (layout features);Islamic countries;Eighteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/904058,Q11536;Q2810;Q3024
Headpieces (layout features)--Islamic countries--19th century,aat,,headpieces (layout features);Islamic countries;Nineteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1037841,Q11536;Q2810;Q3538
Headpieces (layout features)--Islamic Empire--15th century,aat,,headpieces (layout features);Islamic Empire;Fifteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q11536;Q11211;Q154
Headpieces (layout features)--Islamic Empire--16th century,aat,,headpieces (layout features);Islamic Empire;Sixteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/1119851,Q11536;Q11211;Q335
Headpieces (layout features)--Turkey--Istanbul--19th century,aat,,headpieces (layout features);Turkey--Istanbul;Nineteenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1204833;http://id.worldcat.org/fast/1037841,Q11536;Q4823;Q3538
Headpieces (layout features)--Uzbekistan--Samarqand--17th century,aat,,headpieces (layout features);Uzbekistan--Samarqand;Seventeenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1210007;http://id.worldcat.org/fast/1113663,Q11536;Q11433;Q2771
Headpieces (layout features) z Islamic countries--17th century,aat,,headpieces (layout features);Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q11536;Q2810;Q2771
Helical primary endbands,lobt,,helical endband sewing,http://w3id.org/lob/concept/3643,Q27116
Herbals,aat,,herbals (reference sources),http://vocab.getty.edu/aat/300185352,Q226
Herbals (reference sources),aat,,herbals (reference sources),http://vocab.getty.edu/aat/300185352,Q226
Herbals (reference sources)--England--15th century,aat,,herbals (reference sources);England;Fifteenth century,http://vocab.getty.edu/aat/300185352;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,Q226;Q320;Q154
Historiated initals--15th century,aat,,historiated initials;Fifteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/923962,Q10800;Q154
Historiated initals--England--15th century,aat,,historiated initials;England;Fifteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,Q10800;Q320;Q154
Historiated initials,aat,,historiated initials,http://vocab.getty.edu/aat/300194390,Q10800
Historiated initials (Layout features)--France--16th century,aat,,historiated initials;France;Sixteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,Q10800;Q152;Q335
Historiated initials (Layout features)--Italy--15th century,aat,,historiated initials;Italy;Fifteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q10800;Q249;Q154
Historiated initials--15th century,aat,,historiated initials;Fifteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/923962,Q10800;Q154
Historiated initials--19th century,aat,,historiated initials;Nineteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1037841,Q10800;Q3538
Historiated initials--20th century,aat,,historiated initials;Twentieth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1159810,Q10800;Q5942
Historiated initials--Belgium--15th century,aat,,historiated initials;Belgium;Fifteenth century,http://vocab.getty.edu/aat/300194390;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,Q10800;Q16301;Q154
