as_recorded,split
"Almost certainly from the Cistercian abbey of Pontigny, and probably from the Volumine uno, Decreta Gratiani no. 153 in the late twelfth century catalogue of Pontigny, no. 100 in the early seventeenth-century catalogue, no. 235 in the catalogue of 1778, no. 7 in the catalogue of 1791, and finally no. 73 in the list prepared after the sequestration of Pontigny at the French Revolution, described there as in-folio atlantico, elegans et completus dismembered probably in Auxerre in the early nineteenth century; John William Bradley (1830-1916), who gave it to C. L. Ricketts in 1913; acquired by the Lilly Library with the Ricketts Collection in 1961.","Almost certainly from the Cistercian abbey of Pontigny, and probably from the Volumine uno, Decreta Gratiani no. 153 in the late twelfth century catalogue of Pontigny, no. 100 in the early seventeenth-century catalogue, no. 235 in the catalogue of 1778, no. 7 in the catalogue of 1791,|and finally no. 73 in the list prepared after the sequestration of Pontigny at the French Revolution, described there as in-folio atlantico, elegans et completus dismembered probably in Auxerre in the early nineteenth century; John William Bradley (1830-1916), who gave it to C. L. Ricketts in 1913; acquired by the Lilly Library with the Ricketts Collection in 1961."
"Anne Holte (1733-1799), wife of Sir Charles Holte (1721-1782), with her signature on the flyleaf; armorial bookplate with the arms of her daughter Mary Elizabeth (1757-1819) impaling those of Mary’s husband, Abraham Bracebridge (c. 1747-1832), of Atherstone Hall, Warwickshire; note by their son, Charles Holte Bracebridge (1799-1872), formerly enclosed, ""This Missal dated 1640 has been preserved in my family up to this time"", Atherstone, 20 May 1871 (mistaking a number ‘1640’ on the front pastedown for a date); Leighton, cat. II, 3 (May 1921), no. 1726; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.","Anne Holte (1733-1799), wife of Sir Charles Holte (1721-1782), with her signature on the flyleaf; armorial bookplate with the arms of her daughter Mary Elizabeth (1757-1819) impaling those of Mary’s husband, Abraham Bracebridge (c. 1747-1832), of Atherstone Hall, Warwickshire;|note by their son, Charles Holte Bracebridge (1799-1872), formerly enclosed, ""This Missal dated 1640 has been preserved in my family up to this time"", Atherstone, 20 May 1871 (mistaking a number ‘1640’ on the front pastedown for a date); Leighton, cat. II, 3 (May 1921), no. 1726; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961."
"Benedictine monastery of Saint Peter in Erfurt (known as Petersburg), reputedly founded by King Dagobert in the seventh century, and suppressed in 1803, with their ownership inscription on fol. 1r, liber s. petri in erphordand other localised inscriptions; no. 34 in the monastery’s library catalogue of 1783, Anonymi: Missale pergameno inscriptum 1321(Theele 1920, p. 60; the inscription of 1321 is on fol. 2r); Dr Leander van Ess (1772-1847), of Darmstadt, his no. 36 (label on spine); Sir Thomas Phillipps (1792-1872), bought with the van Ess library in 1824, his MS 421; bought in 1955 by George A. Poole from Messrs. W. H. Robinson, who had acquired the residue of the Phillipps library in 1945-46; acquired by the Lilly Library with the Poole Collection in 1958.","Benedictine monastery of Saint Peter in Erfurt (known as Petersburg), reputedly founded by King Dagobert in the seventh century, and suppressed in 1803, with their ownership inscription on fol. 1r, liber s. petri in erphordand other localised inscriptions; no. 34 in the monastery’s library catalogue of 1783, Anonymi: Missale pergameno inscriptum 1321(Theele 1920, p. 60;|the inscription of 1321 is on fol. 2r); Dr Leander van Ess (1772-1847), of Darmstadt, his no. 36 (label on spine); Sir Thomas Phillipps (1792-1872), bought with the van Ess library in 1824, his MS 421; bought in 1955 by George A. Poole from Messrs. W. H. Robinson, who had acquired the residue of the Phillipps library in 1945-46; acquired by the Lilly Library with the Poole Collection in 1958."
"Bibliography: Baroffio 1999, p. 25.|One cutting: The maestro's manuscripts are variously attributed to dates between about 1310 and the mid-century, complicated or confirmed by his work in a choirbook written for the Cistercian abbey of San Salvatore a Settimo, near Florence, dated 1315 but not necessarily illuminated immediately (Rome, Santa Croce in Gerusalemme, Cod. D). Maestro Daddesco and his workshop clearly specialised in choirbooks, many of which became casualties of knife-wielding collectors of miniatures during the nineteenth century. Excised initials intimately related to the Ricketts cutting are scattered around the world (Boskovits 1984, pp. 220–50, plates LXXXIV– XCIX; Kanter and Boehm 1994, pp. 106–15; Hindman 1997, pp. 156–61; Palladino 2003, pp. 44–45, no. 24; etc.). The Ricketts cutting is especially close to initials from an Antiphoner showing various saints, acquired in Florence in 1837 by James Dennistoun (1803–1855), lot 80 in Lord Clark’s sale, Sotheby’s, 3 July 1984 (afterwards BEL, cat. 2, 1998, pp. 12–15, and Zeileis 2004, pp. 188–89, no. 61), which Dennistoun said were cut from the choirbooks of Santa Maria del Fiore, the cathedral (or duomo) of Florence. The Maestro Daddesco was probably employed to illuminate new sets of choirbooks for the cathedral in the early 1330s, as part of the campaign of renewal following the translation of the relics of Saint Zenobius in 1331 (Tacconi 2000). Only four of the 23 choirbooks recorded in the possession of the cathedral sacristy in 1418 are still exant (ibid, p. 169, n. 29; cf. also Fabbri and Tacconi 1997, pp. 190–92, no. 66, and 216–17, no. 77). The Ricketts initial may be from one of the missing volumes.|One cutting: Latin.|Cutting: Large illuminated initial ‘S’.","Bibliography: Baroffio 1999, p. 25.|One cutting: The maestro's manuscripts are variously attributed to dates between about 1310 and the mid-century, complicated or confirmed by his work in a choirbook written for the Cistercian abbey of San Salvatore a Settimo, near Florence, dated 1315 but not necessarily illuminated immediately (Rome, Santa Croce in Gerusalemme, Cod. D).|Maestro Daddesco and his workshop clearly specialised in choirbooks, many of which became casualties of knife-wielding collectors of miniatures during the nineteenth century.|Excised initials intimately related to the Ricketts cutting are scattered around the world (Boskovits 1984, pp. 220–50, plates LXXXIV– XCIX; Kanter and Boehm 1994, pp. 106–15; Hindman 1997, pp. 156–61; Palladino 2003, pp. 44–45, no. 24; etc.).|The Ricketts cutting is especially close to initials from an Antiphoner showing various saints, acquired in Florence in 1837 by James Dennistoun (1803–1855), lot 80 in Lord Clark’s sale, Sotheby’s, 3 July 1984 (afterwards BEL, cat. 2, 1998, pp. 12–15, and Zeileis 2004, pp. 188–89, no. 61),|{initials} which Dennistoun said were cut from the choirbooks of Santa Maria del Fiore, the cathedral (or duomo) of Florence. The Maestro Daddesco was probably employed to illuminate new sets of choirbooks for the cathedral in the early 1330s, as part of the campaign of renewal following the translation of the relics of Saint Zenobius in 1331 (Tacconi 2000).|Only four of the 23 choirbooks recorded in the possession of the cathedral sacristy in 1418 are still exant (ibid, p. 169, n. 29; cf. also Fabbri and Tacconi 1997, pp. 190–92, no. 66, and 216–17, no. 77). The Ricketts initial may be from one of the missing volumes.|One cutting: Latin.|Cutting: Large illuminated initial ‘S’."
"Bibliography: Bond and Faye, p. 303.|ff. 1-2v: Latin.|ff. 1-2v: Through the writ, Pacheco and Portocarrero, founders and supporters of Our Lady of the Sarral, are granted exclusive burial rights for themselves and their descendants in its chapel (with an exception only for King Henry IV), with perpetual daily masses to be said for their souls and with an anniversary service to be observed on the day of St. James. Modern abstract in Spanish is attached.|Explicit, ff. 1-2v: The General of the Order of St. Hieronimus in the Monastery of St. Bartholomew of Lugrana confirms a writ of 2 December made by monks of Our Lady of the Sarral, outside Segovia, involving their patrons Don Juan Pacheco and spouse Dona Maria Portocarrero.|Docket: The General of the Order of St. Hieronimus in the Monastery of St. Bartholomew of Lugrana confirms a writ of 2 December made by monks of Our Lady of the Sarral, outside Segovia, involving their patrons Don Juan Pacheco and spouse Dona Maria Portocarrero.","Bibliography: Bond and Faye, p. 303.|ff. 1-2v: Latin.|ff. 1-2v: Through the writ, Pacheco and Portocarrero, founders and supporters of Our Lady of the Sarral, are granted exclusive burial rights for themselves and their descendants in its chapel (with an exception only for King Henry IV), with perpetual daily masses to be said for their souls and with an anniversary service to be observed on the day of St. James.|Modern abstract in Spanish is attached.|Explicit, ff. 1-2v: The General of the Order of St. Hieronimus in the Monastery of St. Bartholomew of Lugrana confirms a writ of 2 December made by monks of Our Lady of the Sarral, outside Segovia, involving their patrons Don Juan Pacheco and spouse Dona Maria Portocarrero.|Docket: The General of the Order of St. Hieronimus in the Monastery of St. Bartholomew of Lugrana confirms a writ of 2 December made by monks of Our Lady of the Sarral, outside Segovia, involving their patrons Don Juan Pacheco and spouse Dona Maria Portocarrero."
"Bibliography: Cockerell 1908, p. 119, no. 244; de Ricci 1935, p. 637; Lievens 1963, pp. 50–51; Marrow 1979, p. 226, no. 19; Broekhuijsen and Korteweg 1989, p. 66; Defoer et al. 1989, p. 290; Broekhuijsen 1991, passim; Kidd 2001, p. 44; Broekhuijsen 2009, pp. 10–13, 35, 38, 50, 51, 55, 59, 68, 71 and 75, and pp. 88–90, no. 3.|ff. 150: A second artist in the workshop painted the scenes of the acts of mercy on fols. 85v, 87v, 91v and 97r. The hand of this second painter is also found in Cambridge, Fitzwilliam Museum, MS 146. Bezborodko Master often copied compositions from engravings; the miniature of the Adoration of the Magi on fol. 31r is taken almost exactly from the print by Israhel van Mekenem the Younger, who worked principally in Bocholt, in the northern Rhineland near the Dutch border (Broekhuijsen 2009, p. 375, fig. 70).|ff. 150: Latin.|ff. 1r-148r: Use of Utrecht. The manuscript here comprises: a Calendar, of the Use of Utrecht (fol. 1r); the Hours of the Virgin, Windesheim Use (fol. 12r); the Hours of the Cross (fol. 42r); the Hours of the Eternal Wisdom (fol. 62r); the Hours of the Holy Ghost (fol. 80r); the Penitential Psalms (fol. 100r) and the Litany; the Verses of Saint Gregory (fol. 114r), a prayer to the Virgin, O vrouwe der ewiger glorien(fol. 115r) and Suffrages to Saints Michael (fol. 115v), Peter, John the Evangelist, Anthony, Sebastian, Katherine and Barbara; and the Office of the Dead (fol. 121r), all ending on fol. 148r, in vreden amen, 1491.","Bibliography: Cockerell 1908, p. 119, no. 244; de Ricci 1935, p. 637; Lievens 1963, pp. 50–51; Marrow 1979, p. 226, no. 19; Broekhuijsen and Korteweg 1989, p. 66; Defoer et al. 1989, p. 290; Broekhuijsen 1991, passim; Kidd 2001, p. 44; Broekhuijsen 2009, pp. 10–13, 35, 38, 50, 51, 55, 59, 68, 71 and 75, and pp. 88–90, no. 3.|ff. 150: A second artist in the workshop painted the scenes of the acts of mercy on fols. 85v, 87v, 91v and 97r. The hand of this second painter is also found in Cambridge, Fitzwilliam Museum, MS 146. Bezborodko Master often copied compositions from engravings;|the miniature of the Adoration of the Magi on fol. 31r is taken almost exactly from the print by Israhel van Mekenem the Younger, who worked principally in Bocholt, in the northern Rhineland near the Dutch border (Broekhuijsen 2009, p. 375, fig. 70).|ff. 150: Latin.|ff. 1r-148r: Use of Utrecht. The manuscript here comprises: a Calendar, of the Use of Utrecht (fol. 1r); the Hours of the Virgin, Windesheim Use (fol. 12r); the Hours of the Cross (fol. 42r); the Hours of the Eternal Wisdom (fol. 62r); the Hours of the Holy Ghost (fol. 80r); the Penitential Psalms (fol. 100r) and the Litany;|the Verses of Saint Gregory (fol. 114r), a prayer to the Virgin, O vrouwe der ewiger glorien(fol. 115r) and Suffrages to Saints Michael (fol. 115v), Peter, John the Evangelist, Anthony, Sebastian, Katherine and Barbara; and the Office of the Dead (fol. 121r), all ending on fol. 148r, in vreden amen, 1491."
"Bibliography: De Ricci 1935, p. 603, no. 11; Faye and Bond 1962, p. 179.|ff. 1-115v: Very worn, some additions and corrections to text, some re-inking.|ff. 1-115v: Latin.|ff. 1-115v: The colophon in red on the last leaf, fol. 115v, reads, Hunc librum fieri fecerunt devotissimi. viri officiales societatis ecclesie virginis marie de cento, vz Bartholomeus magistri antonii guerini massarius: Simon gisolfus minister: Dominicus gannolfus minister. Et magistri gregorii cavalerius. ordinarius: sub anno domini. 1512. Mensis aprilis. die xxii"", ‘The loyal officials of the Compagnia of the Virgin Mary in Cento had this book made, viz., Bartolomeo di Maestro Antonio Guerini, mace-bearer; Simone Gisolfi, officer; Domenico Gannolfo, officer, and Cavalerio di Maestro Gregorio, ordinary member, in the year of the Lord 1512, on the 22nd day of April’. The text comprises chants for the offices of the Virgin throughout the year, secundum consuetudinem romane curie with some rubrics in Italian (e.g., fols. 16r-v, 18r, etc.), and other short offices including Saint Petronius protectore nostro(fol. 70r), Saint Benedict (fol. 70v) and Saint James the apostle consocio nostro”fol. 71r); the rubrics describe the participants as fratelli(fol. 75v).","Bibliography: De Ricci 1935, p. 603, no. 11; Faye and Bond 1962, p. 179.|ff. 1-115v: Very worn, some additions and corrections to text, some re-inking.|ff. 1-115v: Latin.|ff. 1-115v: The colophon in red on the last leaf, fol. 115v, reads, Hunc librum fieri fecerunt devotissimi. viri officiales societatis ecclesie virginis marie de cento, vz Bartholomeus magistri antonii guerini massarius: Simon gisolfus minister: Dominicus gannolfus minister. Et magistri gregorii cavalerius. ordinarius: sub anno domini. 1512.|More on colophon: Mensis aprilis. die xxii"", ‘The loyal officials of the Compagnia of the Virgin Mary in Cento had this book made, viz., Bartolomeo di Maestro Antonio Guerini, mace-bearer; Simone Gisolfi, officer; Domenico Gannolfo, officer, and Cavalerio di Maestro Gregorio, ordinary member, in the year of the Lord 1512, on the 22nd day of April’.|The text comprises chants for the offices of the Virgin throughout the year, secundum consuetudinem romane curie with some rubrics in Italian (e.g., fols. 16r-v, 18r, etc.), and other short offices including Saint Petronius protectore nostro(fol. 70r), Saint Benedict (fol. 70v) and Saint James the apostle consocio nostro”fol. 71r); the rubrics describe the participants as fratelli(fol. 75v)."
"Bibliography: De Ricci 1935, p. 619.|ff. 1- 160: The manuscript has many medieval notes, especially in the Apocalypse, in two main hands, one of the thirteenth century and one of the fourteenth. They include a citation of Aristotle on fol. 80v, “Aristoteles. Meminime a natura duas habuisse aures, os unum” (‘Aristotle: Remember that by nature we are to have two ears but one mouth’), and the marking up of biblical readings for specific days of the liturgical year, such as the Thursday after Ascension Day (fol. 4r) or Easter Monday (fol. 126r). It is more likely that the Gloss was being consulted for the preparation of sermons rather than that the manuscript was itself being used liturgically.|ff. 1- 160: Latin.|ff. 2r-77v: (Stegmüller no. 11831), with Acts 1 on fol. 4r.|Explicit, ff. 2r-77v: Fluvius egrediebatur de loco.|ff. 78r-124r: (Stegmüller no. 11846), with James (fol. 79r), I Peter (fol. 89v), II Peter (fol. 100r), I John (fol. 107v), II John (fol. 119r), III John (fol. 120v) and Jude (fol. 121v).|Explicit, ff. 78r-124r: Non ita est ordo.|ff. 126r-159v: (Stegmüller no. 11853).|Incipit, ff. 126r-159v: virtutum multiplicitas.|Explicit, ff. 126r-159v: Apocalipsis hec inter reliquos.","Bibliography: De Ricci 1935, p. 619.|ff. 1- 160: The manuscript has many medieval notes, especially in the Apocalypse, in two main hands, one of the thirteenth century and one of the fourteenth.|They include a citation of Aristotle on fol. 80v, “Aristoteles. Meminime a natura duas habuisse aures, os unum” (‘Aristotle: Remember that by nature we are to have two ears but one mouth’), and the marking up of biblical readings for specific days of the liturgical year, such as the Thursday after Ascension Day (fol. 4r) or Easter Monday (fol. 126r).|It is more likely that the Gloss was being consulted for the preparation of sermons rather than that the manuscript was itself being used liturgically.|ff. 1- 160: Latin.|ff. 2r-77v: (Stegmüller no. 11831), with Acts 1 on fol. 4r.|Explicit, ff. 2r-77v: Fluvius egrediebatur de loco.|ff. 78r-124r: (Stegmüller no. 11846), with James (fol. 79r), I Peter (fol. 89v), II Peter (fol. 100r), I John (fol. 107v), II John (fol. 119r), III John (fol. 120v) and Jude (fol. 121v).|Explicit, ff. 78r-124r: Non ita est ordo.|ff. 126r-159v: (Stegmüller no. 11853).|Incipit, ff. 126r-159v: virtutum multiplicitas.|Explicit, ff. 126r-159v: Apocalipsis hec inter reliquos."
"Bibliography: De Ricci 1935, p. 622.|ff.119: A few early additions.|ff.119: Latin.|ff.1r-117v: Calendar (fol. 1r), of standard Sarum (southern English) use; the psalms (fol. 7r), canticles (fol. 103v) and litany (fol. 113r), ending on fol. 117r. A few responses from the Office of the Dead are added in a fifteenth-century hand on fols. 117r-v. Various late medieval anniversaries were once entered in black ink in the Calendar but most have been erased: one remains, in red ink, Obitus thome ChaunceusIon 9 October,the death of Thomas Chauncey.","Bibliography: De Ricci 1935, p. 622.|ff.119: A few early additions.|ff.119: Latin.|ff.1r-117v: Calendar (fol. 1r), of standard Sarum (southern English) use; the psalms (fol. 7r), canticles (fol. 103v) and litany (fol. 113r), ending on fol. 117r. A few responses from the Office of the Dead are added in a fifteenth-century hand on fols. 117r-v.|Various late medieval anniversaries were once entered in black ink in the Calendar but most have been erased: one remains, in red ink, Obitus thome ChaunceusIon 9 October,the death of Thomas Chauncey."
"Bibliography: De Ricci 1935, p. 625; Krämer 1989, p. 261.|ff. 1-69: A sixteenth-century note on fol. 22v says, hoc festum est in ecclesia chathedrali institutum plenum which confirms that it was probably in use in Freising cathedral after the death of Bishop von der Pflaz in 1541.|ff. 1-69: Latin.|ff.1-116v: Some sixteenth century marginal notes.|ff.1-116v: Latin.|ff. 1-69: Use of Freising; In its original sequence it comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November); the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension; the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints.|ff. 1r-116v: Use of Freising; Note that Vol 2, 1r-166v originally was part of Vol 1, coming after the Calendar on 9v and before 10r. In its original sequence the Diurnal comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November); the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension; the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints.","Bibliography: De Ricci 1935, p. 625; Krämer 1989, p. 261.|ff. 1-69: A sixteenth-century note on fol. 22v says, hoc festum est in ecclesia chathedrali institutum plenum which confirms that it was probably in use in Freising cathedral after the death of Bishop von der Pflaz in 1541.|ff. 1-69: Latin.|ff.1-116v: Some sixteenth century marginal notes.|ff.1-116v: Latin.|ff. 1-69: Use of Freising; In its original sequence it comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November);|the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension;|the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints.|ff. 1r-116v: Use of Freising; Note that Vol 2, 1r-166v originally was part of Vol 1, coming after the Calendar on 9v and before 10r. In its original sequence the Diurnal comprises: a Calendar (volume 1, fol. 2r), including in red the dedication of the church (2 May) and Saint Corbinianus (8 September, and his translation, 20 November);|the Temporal, winter portion, Pars Hyemalis de tempore secundum Breviarium chori ecclesie & frisingensis,from the first Sunday in Advent (volume 2, fol. 1r) to the first Sunday after the Ascension;|the Sanctoral isecundum rubricam et morem ecclesie & frisingensis from Saint Andrew, 30 November (volume 1, fol. 11r) to Saint Urban, 25 May; the dedication of a church (fol. 47r); and the Common of Saints."
