name_as_recorded,split_name_as_recorded
"Perhaps from an institutional library in Chartres dispersed at the French Revolution; Pierre Gélis-Didot (b. 1853), his sale, Paris, Belin-Drouot, 12 April 1897, lot 3; Cecil Mallaby Firth (1878-1931), Egyptologist, with his bookplate; George Dunn (1865-1912), with his booklabel, bought in March 1900, probably from Sydney Cockerell (to judge from Dunn’s pencil note ""S.C.C.""); Dunn sale, Sotheby’s, 11 February 1913, lot 356, to Young; bought the following day by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts collection in 1961.","Perhaps from an institutional library in Chartres dispersed at the French Revolution; Pierre Gélis-Didot (b. 1853), his sale, Paris, Belin-Drouot, 12 April 1897, lot 3; Cecil Mallaby Firth (1878-1931), Egyptologist, with his bookplate; George Dunn (1865-1912), with his booklabel, bought in March 1900, probably from Sydney Cockerell (to judge from Dunn’s pencil note ""S.C.C."");|Dunn sale, Sotheby’s, 11 February 1913, lot 356, to Young; bought the following day by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts collection in 1961."
"Perhaps the Carmelite convent in Chester; Richard Legh, of East Hall, High Legh, Cheshire, 1613; Richard Maria Domville (c. 1600-1667) who gave it in 1665 to Sir Peter Leycester (1614-1678), of Nether Tabley, Cheshire, and it apparently remained at Nether Tabley probably until the 1920s; broken up by Myers, bookseller of New Bond Street, London; leaves bought in 1930 by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.","Perhaps the Carmelite convent in Chester; Richard Legh, of East Hall, High Legh, Cheshire, 1613; Richard Maria Domville (c. 1600-1667) who gave it in 1665 to Sir Peter Leycester (1614-1678), of Nether Tabley, Cheshire, and it apparently remained at Nether Tabley probably until the 1920s;|broken up by Myers, bookseller of New Bond Street, London; leaves bought in 1930 by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961."
"Perhaps the Cistercian Abbey of Aulne (founded c. 656, Cistercian in 1147, suppressed 1796), and possibly from the Petrus Longobardus in Paulumrecorded at Aulne in the early seventeenth century (Sanderus 1641, I, p. 239); over 100 manuscripts from Aulne were bought in Brussels c. 1823 by Sir Thomas Phillipps (1792-1872), his MSS 4621-4734, together with an unknown number of fragments; Phillipps MS 29507 (the ‘9’ written over ‘0’, as in Lilly Poole 39); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 947, and acquired by the Lilly Library with the Poole Collection in 1958.","Perhaps the Cistercian Abbey of Aulne (founded c. 656, Cistercian in 1147, suppressed 1796), and possibly from the Petrus Longobardus in Paulumrecorded at Aulne in the early seventeenth century (Sanderus 1641, I, p. 239); over 100 manuscripts from Aulne were bought in Brussels c. 1823 by Sir Thomas Phillipps (1792-1872), his MSS 4621-4734, together with an unknown number of fragments;|Phillipps MS 29507 (the ‘9’ written over ‘0’, as in Lilly Poole 39); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 947, and acquired by the Lilly Library with the Poole Collection in 1958."
"Philipp von der Pflaz (1480-1541), prince bishop of Freising 1507-41, and presumably bequeathed by him to the Benedictine cathedral church of the Virgin Mary and Saint Corbinianus, Freising, founded in 1020 and suppressed in 1802; Henry Willett (1823-1905); his sale, Sotheby’s, 5 July 1905, lot 15, to E. Parsons; Parsons cat. 261 (1907), no. 455; C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.","Philipp von der Pflaz (1480-1541), prince bishop of Freising 1507-41, and presumably bequeathed by him to the Benedictine cathedral church of the Virgin Mary and Saint Corbinianus, Freising, founded in 1020 and suppressed in 1802;|Henry Willett (1823-1905); his sale, Sotheby’s, 5 July 1905, lot 15, to E. Parsons; Parsons cat. 261 (1907), no. 455; C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961."
"Pieter Bondam (1727-1800), of the University of Utrecht, with his extensive notes; perhaps his sale, Utrecht, 1 October 1800; Sir Thomas Sharpe Powell (1849-1927); his sale, Sotheby’s, 16 December 1929, lot 766; William G. Kelso, New York, bought from Lathrop Harper, 1930, with his notes inside front cover, dated June 1932; Sir Percival Victor David (1892-1964), of Friar Park, Henley, by 1938; W. E. D. Allen (1901-1973), of Cappagh, Co. Waterford; acquired by the Lilly Library with his collection in 1976.","Pieter Bondam (1727-1800), of the University of Utrecht, with his extensive notes; perhaps his sale, Utrecht, 1 October 1800; Sir Thomas Sharpe Powell (1849-1927); his sale, Sotheby’s, 16 December 1929, lot 766; William G. Kelso, New York, bought from Lathrop Harper, 1930, with his notes inside front cover, dated June 1932;|Sir Percival Victor David (1892-1964), of Friar Park, Henley, by 1938; W. E. D. Allen (1901-1973), of Cappagh, Co. Waterford; acquired by the Lilly Library with his collection in 1976."
"Possibly owned by the renaissance writing-master Francesco Alunno (c. 1500-1556), of Ferrara, and probably acquired by Canon Giuseppe Antonelli (1803-1881), librarian of the Biblioteca comunale of Ferrara, with the patternbooks of Alunno; consigned, with one of the Alunno pattern-books, to Sotheby’s, 25 June 1867, among ""other properties"" added to the sale of Sir Thomas Gage (who did not own this manuscript, despite what is generally said), lot 457, £52. 10s. to Ellis; Quaritch, General Catalogue, 1868, p. 1080; William H. Crawford (1812-1888), of Lakelands, Blackrock, Cork, with his bookplate inside lower cover; his sale, Sotheby’s, 12 March 1891, lot 3248; Robert Hoe (1839-1909), of New York, with his leather booklabel, his by 1892, when it was exhibited at the Grolier Club; his sale, Anderson, New York, 24 April 1911, lot 2182, to G. D. Smith, for C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.","Possibly owned by the renaissance writing-master Francesco Alunno (c. 1500-1556), of Ferrara, and probably acquired by Canon Giuseppe Antonelli (1803-1881), librarian of the Biblioteca comunale of Ferrara, with the patternbooks of Alunno;|consigned, with one of the Alunno pattern-books, to Sotheby’s, 25 June 1867, among ""other properties"" added to the sale of Sir Thomas Gage (who did not own this manuscript, despite what is generally said), lot 457, £52. 10s. to Ellis; Quaritch, General Catalogue, 1868, p. 1080; William H. Crawford (1812-1888), of Lakelands, Blackrock, Cork, with his bookplate inside lower cover;|his sale, Sotheby’s, 12 March 1891, lot 3248; Robert Hoe (1839-1909), of New York, with his leather booklabel, his by 1892, when it was exhibited at the Grolier Club; his sale, Anderson, New York, 24 April 1911, lot 2182, to G. D. Smith, for C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961."
"Premonstratensian abbey of Steinfeld, near Cologne, founded in 1130 and suppressed in 1802, with the contemporary inscription and curse against theft on fol. 1r, liber ecclesie sancte marie de steinfelt Si quis abstulerit anathema sit amen and the late medieval inscription on fol. 158v, Liber Ecclesie Sancte marie virginis in steinfelt(the last two words in slightly paler ink); other inscriptions include the numbers 255 and N. 14 and a note on fol. 1r dated 1447 recording an outbreak of the plague in the houses of Heinrich, count of Nassau, lasting from Michaelmas (29 September, 1446 presum-ably) to the feast of Saint John the Baptist (24 June the following year); Dr. Leander van Ess (1772-1847), of Darmstadt, his no. 26 (label on spine); Sir Thomas Phillipps (1792-1872), bought with the van Ess library in 1824, his MS 409, with his stencilled crest; his sale, Sotheby’s, 9 June 1910, lot 660, to Edwards; bought by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.","Premonstratensian abbey of Steinfeld, near Cologne, founded in 1130 and suppressed in 1802, with the contemporary inscription and curse against theft on fol. 1r, liber ecclesie sancte marie de steinfelt Si quis abstulerit anathema sit amen and the late medieval inscription on fol. 158v, Liber Ecclesie Sancte marie virginis in steinfelt(the last two words in slightly paler ink);|other inscriptions include the numbers 255 and N. 14 and a note on fol. 1r dated 1447 recording an outbreak of the plague in the houses of Heinrich, count of Nassau, lasting from Michaelmas (29 September, 1446 presum-ably) to the feast of Saint John the Baptist (24 June the following year); Dr. Leander van Ess (1772-1847), of Darmstadt, his no. 26 (label on spine);|Sir Thomas Phillipps (1792-1872), bought with the van Ess library in 1824, his MS 409, with his stencilled crest; his sale, Sotheby’s, 9 June 1910, lot 660, to Edwards; bought by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961."
"Premonstratensian abbey of Tongerloo, province of Antwerp, Belgium, founded in 1128 and suppressed in 1796; Sir Thomas Phillipps (1792-1872), no number but probably from his acquisitions in Belgium in the early 1820s; from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.","Premonstratensian abbey of Tongerloo, province of Antwerp, Belgium, founded in 1128 and suppressed in 1796; Sir Thomas Phillipps (1792-1872), no number but probably from his acquisitions in Belgium in the early 1820s;|from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958."
"Probably Marcantonio Morosini (c. 1435-1509), of Venice, with the Morosini arms on fol. 4r; Matteo Luigi Canonici (1727-1805), Venetian Jesuit; by descent to his brother, Guiseppe Canonici (d. 1807), and to Giovanni Perissinotti and Girolamo Cardina, who sold over 3000 of Canonici’s manuscripts to the Bodleian Library in Oxford in 1817 and 829 of the remaining manuscripts for 16,000 lire to the Rev. Walter Sneyd (1809-1888); Sneyd’s sale, Sotheby’s, 16 December 1903, lot 805; Leighton cat. 1908, no. 5793; sale at Sotheby’s, 16 May 1955, lot 108; George A. Poole, bought from Lawrence Witten in 1956, and acquired by the Lilly Library with the Poole Collection in 1958.","Probably Marcantonio Morosini (c. 1435-1509), of Venice, with the Morosini arms on fol. 4r; Matteo Luigi Canonici (1727-1805), Venetian Jesuit; by descent to his brother, Guiseppe Canonici (d. 1807), and to Giovanni Perissinotti and Girolamo Cardina, who sold over 3000 of Canonici’s manuscripts to the Bodleian Library in Oxford in 1817 and 829 of the remaining manuscripts for 16,000 lire|to the Rev. Walter Sneyd (1809-1888); Sneyd’s sale, Sotheby’s, 16 December 1903, lot 805; Leighton cat. 1908, no. 5793; sale at Sotheby’s, 16 May 1955, lot 108; George A. Poole, bought from Lawrence Witten in 1956, and acquired by the Lilly Library with the Poole Collection in 1958."
"Sixteenth-century calligraphic signature W: Newmanat end; Ralph Palmer (1684-1752), first earl Verney, of Little Chelsea, near London, with his armorial bookplate and partially-erased inscription Bibliotheca Palmeriana, Londini, 1747 by descent to Sotheby’s, 12 November 1919, lot 187; Sir (Robert) Leicester Harmsworth (1870-1937); his sale, Sotheby’s, 15 October 1945, lot 2089; George A. Poole, bought from Lawrence Witten, 1957; acquired by the Lilly Library with the Poole collection in 1958.","Sixteenth-century calligraphic signature W: Newmanat end; Ralph Palmer (1684-1752), first earl Verney, of Little Chelsea, near London, with his armorial bookplate and partially-erased inscription Bibliotheca Palmeriana, Londini, 1747 by descent to Sotheby’s, 12 November 1919, lot 187;|Sir (Robert) Leicester Harmsworth (1870-1937); his sale, Sotheby’s, 15 October 1945, lot 2089; George A. Poole, bought from Lawrence Witten, 1957; acquired by the Lilly Library with the Poole collection in 1958."
"The Cistercian abbey of Hautecombe, diocese of Geneva, suppressed in 1792; acquired in or after 1796 by Giacinto della Torre, P.S.A. (1747-1814), canon and later archbishop of Turin 1805-14, who gave it to the biblioteca del Semainario metropolitano, Turin, the library was dispersed c. 1954; the present two leaves were bought by George A. Poole in 1954 from C.A. Stonehill; acquired by the Lilly Library with the Poole Collection in 1958.","The Cistercian abbey of Hautecombe, diocese of Geneva, suppressed in 1792; acquired in or after 1796 by Giacinto della Torre, P.S.A. (1747-1814), canon and later archbishop of Turin 1805-14, who gave it to the biblioteca del Semainario metropolitano, Turin, the library was dispersed c. 1954;|the present two leaves were bought by George A. Poole in 1954 from C.A. Stonehill; acquired by the Lilly Library with the Poole Collection in 1958."
"The Dominican convent of Poissy, on the Seine, near Paris, probably there by c. 1360 and certainly at Poissy by the late fifteenth century; Tregaskis cat. 466 (June 1900), no. 489, cat. 472 (September 1900), no. 601, and cat. 479 (December 1900), no. 623; William Harris Arnold (1854-1924), with his bookplate; his sale, Anderson, New York, 10 November 1924, lot 601; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.","The Dominican convent of Poissy, on the Seine, near Paris, probably there by c. 1360 and certainly at Poissy by the late fifteenth century; Tregaskis cat. 466 (June 1900), no. 489, cat. 472 (September 1900), no. 601, and cat. 479 (December 1900), no. 623;|William Harris Arnold (1854-1924), with his bookplate; his sale, Anderson, New York, 10 November 1924, lot 601; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961."
"The Dominican convent of Sankt Katharina in Nuremberg (founded 1296, suppressed 1803), with their contemporary inscription inside the upper cover, ""das puch gehort in das Closter zu Sant katharein prediger orden in Nurenberg"" (see below); Alexander Augustus Smets (1795-1862), of Savannah, GA, bought in February 1839 (signature on fol. 1r); his sale, Leavitt, New York, 25 May 1868, lot 1461; Catalogue of a Private Library, Containing an Exceedingly Valuable Collection of Fine-Art and Illustrated Books, Illuminated Manuscripts, Original Drawings, &c, &c identified in the Grolier Club copy as being the library of E. Tasker, Leavitt, New York, 3 March 1880, lot 620; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.","The Dominican convent of Sankt Katharina in Nuremberg (founded 1296, suppressed 1803), with their contemporary inscription inside the upper cover, ""das puch gehort in das Closter zu Sant katharein prediger orden in Nurenberg"" (see below); Alexander Augustus Smets (1795-1862), of Savannah, GA, bought in February 1839 (signature on fol. 1r); his sale, Leavitt, New York, 25 May 1868, lot 1461;|Catalogue of a Private Library, Containing an Exceedingly Valuable Collection of Fine-Art and Illustrated Books, Illuminated Manuscripts, Original Drawings, &c, &c identified in the Grolier Club copy as being the library of E. Tasker, Leavitt, New York, 3 March 1880, lot 620; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961."
"The Scuola di Purificatione della Vergine Maria e di Sancto Zenobio, in Florence (founded 1427, closed c. 1802); Charles Fairfax-Murray (1849-1919), with his booklabel; Charles William Dyson Perrins (1864-1958), with his bookplate and ticket, with numbers ‘36’ and ‘62’; his sale, Sotheby’s, 9 December 1958, lot 18, to Breslauer; his cat. 92 (1960), no. 12; Lathrop C. Harper Inc., and acquired by the Lilly Library with the Harper stock, given by Mrs. Juana Mendel in November 1967.","The Scuola di Purificatione della Vergine Maria e di Sancto Zenobio, in Florence (founded 1427, closed c. 1802); Charles Fairfax-Murray (1849-1919), with his booklabel; Charles William Dyson Perrins (1864-1958), with his bookplate and ticket, with numbers ‘36’ and ‘62’; his sale, Sotheby’s, 9 December 1958, lot 18, to Breslauer;|his cat. 92 (1960), no. 12; Lathrop C. Harper Inc., and acquired by the Lilly Library with the Harper stock, given by Mrs. Juana Mendel in November 1967."
"The arms on fol. 1r are flanked by the initials ‘A’ and ‘M’, similar to but not precisely identical with those of Marin, of Genoa, and Marini, of Naples; Payne and Foss, their cat. May 1825, no. 83; Sir Thomas Phillipps (1792-1872), bought from Payne, his MS 4194; doubtless Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46; George A. Poole (bought from Lawrence Witten, 1955), and acquired by the Lilly Library with the Poole Collection in 1958.","The arms on fol. 1r are flanked by the initials ‘A’ and ‘M’, similar to but not precisely identical with those of Marin, of Genoa, and Marini, of Naples; Payne and Foss, their cat. May 1825, no. 83; Sir Thomas Phillipps (1792-1872), bought from Payne, his MS 4194;|doubtless Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46; George A. Poole (bought from Lawrence Witten, 1955), and acquired by the Lilly Library with the Poole Collection in 1958."
"The name ""Arrivabene"" scribbled several times on fol. 100r in a hand of c. 1500, perhaps Giovanni Pietro Arrivabene (1439-1504), humanist and bibliophile, bishop of Urbino, or a member of his family; perhaps from the Benedictine island monastery of San Giorgio Maggiore, in the Venetian Lagoon; the abate Luigi Celotti (c. 1768-c. 1846), of Venice; Celotti sale, Sotheby’s, 14 March 1825, lot 51; shelved as' VI. H.e.6', Prince Augustus Frederick, duke of Sussex (1773-1843), with his bookplate; his sale, Evans, 31 July 1844, lot 109; probably Edward Stanley (1799-1869), fourteenth earl of Derby, Prime Minister, with the Derby bookplate, and by descent to the eighteenth earl (1918-1994); his sale, Christie’s, 23 March 1954, lot 32; George A. Poole, bought from Lathrop Harper, cat. 2 (1956), no. 7, and acquired by the Lilly Library with the Poole Collection in 1958.","The name ""Arrivabene"" scribbled several times on fol. 100r in a hand of c. 1500, perhaps Giovanni Pietro Arrivabene (1439-1504), humanist and bibliophile, bishop of Urbino, or a member of his family; perhaps from the Benedictine island monastery of San Giorgio Maggiore, in the Venetian Lagoon;|the abate Luigi Celotti (c. 1768-c. 1846), of Venice;Celotti sale, Sotheby’s, 14 March 1825, lot 51; shelved as' VI. H.e.6', Prince Augustus Frederick, duke of Sussex (1773-1843), with his bookplate; his sale, Evans, 31 July 1844, lot 109; probably Edward Stanley (1799-1869), fourteenth earl of Derby, Prime Minister, with the Derby bookplate, and by descent to the eighteenth earl (1918-1994);|his sale, Christie’s, 23 March 1954, lot 32;George A. Poole, bought from Lathrop Harper, cat. 2 (1956), no. 7, and acquired by the Lilly Library with the Poole Collection in 1958."
"Thouvin, sieur du Bouillon, lawyer, of Lassay, Maine (central France), 1717 (inscription on flyleaf signed ‘Thibault’), and by descent to Madame Villatte à Lassay; the Rev. Walter Sneyd (1809-1888), who also owned no. 78 above; his sale, Sotheby’s, 16 December 1903, lot 383; Charles William Dyson Perrins (1864–1958), who also owned no. 61 above, with his bookplate, but rejected from the collection before it was catalogued; Rudolf Busch, of Mainz; his sale, Baer, Frankfurt, 4 April 1921, lot 273; sold again among ""other properties"" at Sotheby’s, 7 February 1923, lot 568, to Quaritch; C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.","Thouvin, sieur du Bouillon, lawyer, of Lassay, Maine (central France), 1717 (inscription on flyleaf signed ‘Thibault’), and by descent to Madame Villatte à Lassay; the Rev. Walter Sneyd (1809-1888), who also owned no. 78 above; his sale, Sotheby’s, 16 December 1903, lot 383; Charles William Dyson Perrins (1864–1958), who also owned no. 61 above, with his bookplate,|but rejected from the collection before it was catalogued; Rudolf Busch, of Mainz; his sale, Baer, Frankfurt, 4 April 1921, lot 273; sold again among ""other properties"" at Sotheby’s, 7 February 1923, lot 568, to Quaritch; C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961."
"William Bragge (1823-1884); his sale, Sotheby’s, 7 June 1876, lot 237, to Quaritch (his cat. 31, June 1876, no. 87); John Ruskin (1819-1900), inscribed by him to Lawrence Hilliard, Brantwood, 25 January 1881; William K. Bixby (1857-1931); his sale, Anderson, New York, 29 March 1916, lot 743, to Gabriel Wells; bought by C. L. Ricketts in 1924 from the estate of the bookseller George D. Smith (d. 1920), and acquired by the Lilly Library with the Ricketts Collection in 1961.","William Bragge (1823-1884); his sale, Sotheby’s, 7 June 1876, lot 237, to Quaritch (his cat. 31, June 1876, no. 87); John Ruskin (1819-1900), inscribed by him to Lawrence Hilliard, Brantwood, 25 January 1881; William K. Bixby (1857-1931); his sale, Anderson, New York, 29 March 1916, lot 743,|to Gabriel Wells; bought by C. L. Ricketts in 1924 from the estate of the bookseller George D. Smith (d. 1920), and acquired by the Lilly Library with the Ricketts Collection in 1961."
"Written for Giovanni Colonna (1456-1508) or a member of his family (see below); William Bragge 1823-1884); probably no. 63 in Burlington Fine Arts Club 1874, p. 13, lent by Bragge; his sale, Sotheby’s, 7 June 1876, lot 474; Quaritch cat. 31 (June 1876), no. 171, and Quaritch, General Catalogue (1877), no.18381; Edward Quaile (d. 1900); his sale, Sotheby’s, 10 May 1901, lot 223, to Leighton; J. Martini, cat. 17 (1921), no. 17, and cat. 18 (1922), no. 14, at $1,100; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.","Written for Giovanni Colonna (1456-1508) or a member of his family (see below); William Bragge 1823-1884); probably no. 63 in Burlington Fine Arts Club 1874, p. 13, lent by Bragge; his sale, Sotheby’s, 7 June 1876, lot 474; Quaritch cat. 31 (June 1876), no. 171, and Quaritch, General Catalogue (1877), no.18381;|Edward Quaile (d. 1900); his sale, Sotheby’s, 10 May 1901, lot 223, to Leighton; J. Martini, cat. 17 (1921), no. 17, and cat. 18 (1922), no. 14, at $1,100; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961."
"Written in 1491 (dated on fol. 148r) probably for Margaretha van Cleyburg (d. 1537), wife and later widow of Boudewijn Willemszoon van Drenckwaert (c. 1468-1496), bailiff and steward of Voorne; and by descent to her daughter, Catherina van Drenckwaert (wife of Jan Pauwelszoon van der Dycke), granddaughter, Margareta van der Dycke (wife of Jan van den Steen, burgomaster of Bergen-op-Zoom), and in 1578 great-granddaughter, Catharina ven den Steen (wife of Jan de Langue, secretary of Brielle), all recorded inside the upper cover; A. D. Schinkel (1784-1864), of The Hague, printer; his sale, The Hague, 21 November 1864, lot 3; William Bragge (1823–1884); probably no. 54 in Burlington Fine Arts Club 1874, p. 11, lent by Bragge; his sale, Sotheby’s, 7 June 1876, lot 221, to Ellis; Col. Eustace Balfour (1854-1911, younger brother of Lord Balfour, prime minister 1902-05); sale at Sotheby’s, 28 July 1919, lot 99a; C. L. Ricketts, bought from Voynich in 1921; acquired by the Lilly Library with the Ricketts Collection in 1961.","Written in 1491 (dated on fol. 148r) probably for Margaretha van Cleyburg (d. 1537), wife and later widow of Boudewijn Willemszoon van Drenckwaert (c. 1468-1496), bailiff and steward of Voorne; and by descent to her daughter, Catherina van Drenckwaert (wife of Jan Pauwelszoon van der Dycke), granddaughter, Margareta van der Dycke (wife of Jan van den Steen, burgomaster of Bergen-op-Zoom),|and in 1578 great-granddaughter, Catharina ven den Steen (wife of Jan de Langue, secretary of Brielle), all recorded inside the upper cover; A. D. Schinkel (1784-1864), of The Hague, printer; his sale, The Hague, 21 November 1864, lot 3; William Bragge (1823–1884); probably no. 54 in Burlington Fine Arts Club 1874, p. 11, lent by Bragge; his sale, Sotheby’s, 7 June 1876, lot 221, to Ellis;|Col. Eustace Balfour (1854-1911, younger brother of Lord Balfour, prime minister 1902-05); sale at Sotheby’s, 28 July 1919, lot 99a; C. L. Ricketts, bought from Voynich in 1921; acquired by the Lilly Library with the Ricketts Collection in 1961."
"Étienne de Loypeau, bishop of Luçon 1388-1407; Louis d’Harcourt, patriarch of Jerusalem and bishop of Bayeux 1460-79, who on 12 April 1474 gave it to the cathedral of Bayeux; recorded in the inventory of the cathedral treasury in 1476, ""Premièrement, ung excellent missel, portant tout l’office pontifical . . . (Delisle 1887, p. 434); leaves (including those here) were lost by at least 1887; these leaves bought by C. L. Ricketts in Paris from Lemallier, 1907, and acquired by the Lilly Library with the Ricketts Collection in 1961.","Étienne de Loypeau, bishop of Luçon 1388-1407; Louis d’Harcourt, patriarch of Jerusalem and bishop of Bayeux 1460-79, who on 12 April 1474 gave it to the cathedral of Bayeux; recorded in the inventory of the cathedral treasury in 1476, ""Premièrement, ung excellent missel, portant tout l’office pontifical . . . (Delisle 1887, p. 434);|leaves (including those here) were lost by at least 1887; these leaves bought by C. L. Ricketts in Paris from Lemallier, 1907, and acquired by the Lilly Library with the Ricketts Collection in 1961."
