subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,authorized_label_add,structured_value_add
Political ethics.,a,fast,http://id.worldcat.org/fast/1069286,Political ethics,http://id.worldcat.org/fast/1069286,,
Political ethics--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008109609,Political ethics;Early works,http://id.worldcat.org/fast/1069286;http://id.worldcat.org/fast/1411636,,
Political science.,a,fast,http://id.worldcat.org/fast/1069781,Political science,http://id.worldcat.org/fast/1069781,,
Political science--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh85104443,Political science;Early works,http://id.worldcat.org/fast/1069781;http://id.worldcat.org/fast/1411636,,
Political science--Politics and government--Early works to 1800.,a--x--v,0,,,,Political science--Politics and government;Politics and government;Early works,http://id.worldcat.org/fast/1354022;http://id.worldcat.org/fast/1919741;http://id.worldcat.org/fast/1411636
Politics and government.,a,fast,http://id.worldcat.org/fast/1919741,Politics and government,http://id.worldcat.org/fast/1919741,,
Pontine Marshes (Italy),a,0,http://id.loc.gov/authorities/subjects/sh86002773,Italy--Pontine Marshes,http://id.worldcat.org/fast/1244738,,
Popes.,a,0,http://id.loc.gov/authorities/subjects/sh85104870,Popes,http://id.worldcat.org/fast/1071262,,
Popes.,a,fast,http://id.worldcat.org/fast/1071262,Popes,http://id.worldcat.org/fast/1071262,,
Popes--Temporal power.,a--x,fast,http://id.worldcat.org/fast/1071292,Popes--Temporal power,http://id.worldcat.org/fast/1071292,,
Popes--Temporal power--Early works to 1800.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2010107504,Popes--Temporal power;Early works,http://id.worldcat.org/fast/1071292;http://id.worldcat.org/fast/1411636,,
Portugal.,a,fast,http://id.worldcat.org/fast/1208476,Portugal,http://id.worldcat.org/fast/1208476,,
Portugal--Kings and rulers--Early works to 1800.,a--x--v,0,,Portugal;Kings and rulers;Early works,http://id.worldcat.org/fast/1208476;http://id.worldcat.org/fast/987694;http://id.worldcat.org/fast/1411636,,
"Prades (Pyrénées-Orientales, France)",a,0,http://id.loc.gov/authorities/names/n82152259,France--Prades (Pyrénées-Orientales),http://id.worldcat.org/fast/1313873,,
Prato (Italy)--History--15th century.,a--x--y,0,,Italy--Prato;History;Fifteenth century,http://id.worldcat.org/fast/1207348;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,,
Prato (Italy)--History--16th century.,a--x--y,0,,Italy--Prato;History;Sixteenth century,http://id.worldcat.org/fast/1207348;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
Precious stones.,a,fast,http://id.worldcat.org/fast/1074901,Precious stones,http://id.worldcat.org/fast/1074901,,
Precious stones--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2010108018,Precious stones;Early works,http://id.worldcat.org/fast/1074901;http://id.worldcat.org/fast/1411636,,
Pregnancy.,a,fast,http://id.worldcat.org/fast/1075102,Pregnancy,http://id.worldcat.org/fast/1075102,,
Pregnancy--Early works to 1800.,a--v,0,,Pregnancy;Early works,http://id.worldcat.org/fast/1075102;http://id.worldcat.org/fast/1411636,,
Printing.,a,fast,http://id.worldcat.org/fast/1076612,Printing,http://id.worldcat.org/fast/1076612,,
Printing--History--16th century.,a--x--y,0,,Printing;History;Sixteenth century,http://id.worldcat.org/fast/1076612;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
Priscillianism.,a,fast,http://id.worldcat.org/fast/1076999,Priscillianism,http://id.worldcat.org/fast/1076999,,
Priscillianism--Early works to 1800.,a--v,0,,Priscillianism;Early works,http://id.worldcat.org/fast/1076999;http://id.worldcat.org/fast/1411636,,
Prisoners.,a,fast,http://id.worldcat.org/fast/1077103,Prisoners,http://id.worldcat.org/fast/1077103,,
Prisoners--Italy.,a--z,0,,Prisoners;Italy,http://id.worldcat.org/fast/1077103;http://id.worldcat.org/fast/1204565,,
Prisons.,a,fast,http://id.worldcat.org/fast/1077326,Prisons,http://id.worldcat.org/fast/1077326,,
Prisons--Italy--Rome--History.,a--z--z--x,0,,Prisons;Italy--Rome;Rome (Empire);History,http://id.worldcat.org/fast/1077326;http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/958235,,
"Privileges and immunities, Ecclesiastical.",a,fast,http://id.worldcat.org/fast/1077682,"Privileges and immunities, Ecclesiastical",http://id.worldcat.org/fast/1077682,,
"Privileges and immunities, Ecclesiastical.",a,0,http://id.loc.gov/authorities/subjects/sh85107062,"Privileges and immunities, Ecclesiastical",http://id.worldcat.org/fast/1077682,,
"Privileges and immunities, Ecclesiastical--France.",a--z,0,,"Privileges and immunities, Ecclesiastical;France",http://id.worldcat.org/fast/1077682;http://id.worldcat.org/fast/1204289,,
Privileges and immunities.,a,fast,http://id.worldcat.org/fast/1077674,Privileges and immunities,http://id.worldcat.org/fast/1774297,,
Privileges and immunities--Italy--Amalfi.,a--z--z,0,,Privileges and immunities;Italy--Amalfi,http://id.worldcat.org/fast/1774297;http://id.worldcat.org/fast/1204570,,
Privileges and immunities--Italy--Sicily.,a--z--z,0,,Privileges and immunities;Italy--Sicily,http://id.worldcat.org/fast/1774297;http://id.worldcat.org/fast/1204499,,
Privileges and immunities--Netherlands.,a--z,0,,Privileges and immunities;Netherlands,http://id.worldcat.org/fast/1774297;http://id.worldcat.org/fast/1204034,,
Privileges and immunities--Spain.,a--z,0,,Privileges and immunities;Spain,http://id.worldcat.org/fast/1774297;http://id.worldcat.org/fast/1204303,,
Procedure (Law),a,fast,http://id.worldcat.org/fast/1077984,Procedure (Law),http://id.worldcat.org/fast/1077984,,
Procedure (Law)--Jerusalem--History--Sources.,a--z--x--v,0,,Procedure (Law);Middle East--Jerusalem;History;Sources,http://id.worldcat.org/fast/1077984;http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Procedure (Law)--Spain--Early works to 1800.,a--z--v,0,,Procedure (Law);Spain;Early works,http://id.worldcat.org/fast/1077984;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636,,
Processionals (Liturgical books),a,fast,http://id.worldcat.org/fast/1078060,Processionals (Liturgical books),http://id.worldcat.org/fast/1078060,,
Processionals (Liturgical books)--Specimens.,a--v,0,,Processionals (Liturgical books);Specimens,http://id.worldcat.org/fast/1078060;http://id.worldcat.org/fast/1423861,,
Property.,a,fast,http://id.worldcat.org/fast/1079116,Property,http://id.worldcat.org/fast/1079116,,
Property (Roman law),a,0,http://id.loc.gov/authorities/subjects/sh85107511,Property (Roman law),http://id.worldcat.org/fast/1079156,,
Property (Roman law),a,fast,http://id.worldcat.org/fast/1079156,Property (Roman law),http://id.worldcat.org/fast/1079156,,
Property--Italy--15th century.,a--z--y,0,,Property;Italy;Fifteenth century,http://id.worldcat.org/fast/1079116;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Property--Italy--16th century.,a--z--y,0,,Property;Italy;Sixteenth century,http://id.worldcat.org/fast/1079116;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,,
Property tax.,a,fast,http://id.worldcat.org/fast/1079163,Property tax,http://id.worldcat.org/fast/1079163,,
Property tax--Italy--Florence.,a--z--z,0,,Property tax;Italy--Florence,http://id.worldcat.org/fast/1079163;http://id.worldcat.org/fast/1204699,,
Prophecies.,a,fast,http://id.worldcat.org/fast/1079193,Prophecies,http://id.worldcat.org/fast/1922509,,
Prophecies--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2010108648,Prophecies;Early works,http://id.worldcat.org/fast/1922509;http://id.worldcat.org/fast/1411636,,
Prophecy.,a,fast,http://id.worldcat.org/fast/1079199,Prophecy,http://id.worldcat.org/fast/1079199,,
Prophecy.,a,0,http://id.loc.gov/authorities/subjects/sh85107525,Prophecy,http://id.worldcat.org/fast/1079199,,
Prophecy--Early works to 1800.,a--v,0,,Prophecy;Early works,http://id.worldcat.org/fast/1079199;http://id.worldcat.org/fast/1411636,,
"Proverbs, German.",a,0,http://id.loc.gov/authorities/subjects/sh85107908,"Proverbs, German",http://id.worldcat.org/fast/1080364,,
"Proverbs, German.",a,fast,http://id.worldcat.org/fast/1080364,"Proverbs, German",http://id.worldcat.org/fast/1080364,,
Providence and government of God--Christianity--Early works to 1800.,a--x--v,0,,,,Providence and government of God--Christianity;Christianity;Early works,http://id.worldcat.org/fast/1771169;http://id.worldcat.org/fast/859599;http://id.worldcat.org/fast/1411636
Psalters.,a,fast,http://id.worldcat.org/fast/1080778,Psalters,http://id.worldcat.org/fast/1080778,,
Psalters--Specimens.,a--v,0,,Psalters;Specimens,http://id.worldcat.org/fast/1080778;http://id.worldcat.org/fast/1423861,,
Psalters--Texts.,a--v,0,http://id.loc.gov/authorities/subjects/sh2010108725,Psalters;Texts,http://id.worldcat.org/fast/1080778;http://id.worldcat.org/fast/1423705,,
Psychology.,a,fast,http://id.worldcat.org/fast/1081447,Psychology,http://id.worldcat.org/fast/1081447,,
Psychology--Early works to 1850.,a--v,0,http://id.loc.gov/authorities/subjects/sh85108460,Psychology;Early works,http://id.worldcat.org/fast/1081447;http://id.worldcat.org/fast/1411636,,
Punishment (Canon law),a,fast,http://id.worldcat.org/fast/1084132,Punishment (Canon law),http://id.worldcat.org/fast/1084132,,
Punishment (Canon law),a,0,http://id.loc.gov/authorities/subjects/sh85109116,Punishment (Canon law),http://id.worldcat.org/fast/1084132,,
Purgatory.,a,fast,http://id.worldcat.org/fast/1084326,Purgatory,http://id.worldcat.org/fast/1084326,,
Purgatory--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2010109177,Purgatory;Early works,http://id.worldcat.org/fast/1084326;http://id.worldcat.org/fast/1411636,,
Pythagoras and Pythagorean school.,a,fast,http://id.worldcat.org/fast/1084727,Pythagoras and Pythagorean school,http://id.worldcat.org/fast/1084727,,
Pythagoras and Pythagorean school--Early works to 1800.,a--v,0,,Pythagoras and Pythagorean school;Early works,http://id.worldcat.org/fast/1084727;http://id.worldcat.org/fast/1411636,,
Quadrants (Astronomical instruments),a,fast,http://id.worldcat.org/fast/1084859,Quadrants (Astronomical instruments),http://id.worldcat.org/fast/1084859,,
Quadrants (Astronomical instruments)--Early works to 1800.,a--v,0,,Quadrants (Astronomical instruments);Early works,http://id.worldcat.org/fast/1084859;http://id.worldcat.org/fast/1411636,,
Real property.,a,fast,http://id.worldcat.org/fast/1091096,Real property,http://id.worldcat.org/fast/1091096,,
Real property.,a,0,http://id.loc.gov/authorities/subjects/sh85111739,Real property,http://id.worldcat.org/fast/1091096,,
Real property--England--Cheshire.,a--z--z,0,,Real property;England--Cheshire,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1211757,,
Real property--England--Derbyshire.,a--z--z,0,,Real property;England--Derbyshire,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1202650,,
Real property--England--Devon.,a--z--z,0,,Real property;England--Devon,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1206047,,
Real property--England--Lancashire.,a--z--z,0,,Real property;England--Lancashire,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204978,,
Real property--England--Nottinghamshire.,a--z--z,0,,Real property;England--Nottinghamshire,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1206866,,
Real property--England--Suffolk.,a--z--z,0,,Real property;England--Suffolk,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1212535,,
Real property--England--To 1500.,a--z--y,0,,Real property;England,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1219920,,
Real property--England--Warwickshire.,a--z--z,0,,Real property;England--Warwickshire,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1212375,,
Real property--France.,a--z,0,http://id.loc.gov/authorities/subjects/sh2008110512,Real property;France,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204289,,
Real property--Italy.,a--z,0,http://id.loc.gov/authorities/subjects/sh2007003986,Real property;Italy,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204565,,
Real property--Italy--13th century.,a--z--y,0,,Real property;Italy;Thirteenth century,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138,,
Real property--Italy--14th century.,a--z--y,0,,Real property;Italy;Fourteenth century,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/933420,,
Real property--Italy--15th century.,a--z--y,0,,Real property;Italy;Fifteenth century,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Real property--Italy--16th century.,a--z--y,0,,Real property;Italy;Sixteenth century,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,,
Real property--Italy--17th century.,a--z--y,0,,Real property;Italy;Seventeenth century,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,,
Real property--Italy--Florence--15th century.,a--z--z--y,0,,Real property;Italy--Florence;Fifteenth century,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/923962,,
Real property--Italy--Florence--16th century.,a--z--z--y,0,,Real property;Italy--Florence;Sixteenth century,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1119851,,
Real property--Italy--Florence--17th century.,a--z--z--y,0,,Real property;Italy--Florence;Seventeenth century,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1113663,,
Real property--Spain.,a--z,0,http://id.loc.gov/authorities/subjects/sh2008110522,Real property;Spain,http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204303,,
Reformation.,a,fast,http://id.worldcat.org/fast/1092555,Reformation,http://id.worldcat.org/fast/1092555,,
Reformation.,a,0,http://id.loc.gov/authorities/subjects/sh85112228,Reformation,http://id.worldcat.org/fast/1092555,,
Reformation--Czech Republic--Bohemia.,a--z--z,0,,Reformation;Czech Republic--Bohemia,http://id.worldcat.org/fast/1092555;http://id.worldcat.org/fast/1243096,,
Reformation--Germany--Pamphlets.,a--z--v,0,http://id.loc.gov/authorities/subjects/sh85112234,Reformation;Germany;Pamphlets,http://id.worldcat.org/fast/1092555;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1423837,,
Reformation--Switzerland.,a--z,0,http://id.loc.gov/authorities/subjects/sh2010110370,Reformation;Switzerland,http://id.worldcat.org/fast/1092555;http://id.worldcat.org/fast/1205401,,
Reggio Emilia (Italy : Province)--History.,a--x,0,,Italy--Reggio Emilia (Province);History,http://id.worldcat.org/fast/1330565;http://id.worldcat.org/fast/958235,,
Relations.,a,fast,http://id.worldcat.org/fast/1892706,Relations,http://id.worldcat.org/fast/1892706,,
Religion--Philosophy.,a--x,fast,http://id.worldcat.org/fast/1093794,Religion--Philosophy,http://id.worldcat.org/fast/1093794,,
Religion--Philosophy--Early works to 1800.,a--x--v,0,,Religion--Philosophy;Philosophy;Early works,http://id.worldcat.org/fast/1093794;http://id.worldcat.org/fast/1060777;http://id.worldcat.org/fast/1411636,,
"Religious drama, French.",a,0,http://id.loc.gov/authorities/subjects/sh85112628,"Religious drama, French",http://id.worldcat.org/fast/1093979,,
"Religious drama, French.",a,fast,http://id.worldcat.org/fast/1093979,"Religious drama, French",http://id.worldcat.org/fast/1093979,,
Religious life.,a,fast,http://id.worldcat.org/fast/1094112,Religious life,http://id.worldcat.org/fast/1094112,,
Religious life--Islam.,a--x,fast,http://id.worldcat.org/fast/1094119,Religious life--Islam,http://id.worldcat.org/fast/1094119,,
Religious life--Islam--Early works to 1800.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh86008165,Religious life--Islam;Islam;Early works,http://id.worldcat.org/fast/1094119;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636,,
"Religious literature, Italian.",a,fast,http://id.worldcat.org/fast/1094170,"Religious literature, Italian",http://id.worldcat.org/fast/1094170,,
"Religious literature, Italian--Early works to 1800.",a--v,0,,"Religious literature, Italian;Early works",http://id.worldcat.org/fast/1094170;http://id.worldcat.org/fast/1411636,,
"Religious poetry, English.",a,0,http://id.loc.gov/authorities/subjects/sh85112708,"Religious poetry, English",http://id.worldcat.org/fast/1094226,,
"Religious poetry, English.",a,fast,http://id.worldcat.org/fast/1094226,"Religious poetry, English",http://id.worldcat.org/fast/1094226,,
"Religious poetry, Italian.",a,fast,http://id.worldcat.org/fast/1094251,"Religious poetry, Italian",http://id.worldcat.org/fast/1094251,,
"Religious poetry, Italian--To 1500.",a--y,0,http://id.loc.gov/authorities/subjects/sh85112718,"Religious poetry, Italian",http://id.worldcat.org/fast/1094251,,
"Religious poetry, Latin.",a,fast,http://id.worldcat.org/fast/1094260,"Religious poetry, Latin",http://id.worldcat.org/fast/1094260,,
"Religious poetry, Latin--Early works to 1800.",a--v,0,,"Religious poetry, Latin;Early works",http://id.worldcat.org/fast/1094260;http://id.worldcat.org/fast/1411636,,
Repentance.,a,fast,http://id.worldcat.org/fast/1094793,Repentance,http://id.worldcat.org/fast/1094793,,
Repentance--Catholic Church.,a--x,fast,http://id.worldcat.org/fast/2030549,Repentance--Catholic Church,http://id.worldcat.org/fast/2030549,,
Repentance--Catholic Church--Early works to 1800.,a--x--v,0,,Repentance--Catholic Church;Catholic Church;Early works,http://id.worldcat.org/fast/2030549;http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411636,,
Repentance--Poetry.,a--v,0,,Repentance;Poetry,http://id.worldcat.org/fast/1094793;http://id.worldcat.org/fast/1423828,,
Reproduction.,a,fast,http://id.worldcat.org/fast/1094973,Reproduction,http://id.worldcat.org/fast/1094973,,
Reproduction--Early works to 1800.,a--v,0,,Reproduction;Early works,http://id.worldcat.org/fast/1094973;http://id.worldcat.org/fast/1411636,,
Resurrection.,a,fast,http://id.worldcat.org/fast/1096044,Resurrection,http://id.worldcat.org/fast/1096044,,
Resurrection of Jesus Christ.,a,fast,http://id.worldcat.org/fast/1354440,Resurrection of Jesus Christ,http://id.worldcat.org/fast/1354440,,
"Rhetoric, Ancient.",a,fast,http://id.worldcat.org/fast/1096982,"Rhetoric, Ancient",http://id.worldcat.org/fast/1096982,,
"Rhetoric, Ancient.",a,0,http://id.loc.gov/authorities/subjects/sh85113634,"Rhetoric, Ancient",http://id.worldcat.org/fast/1096982,,
"Rhetoric, Ancient.",a,0,,"Rhetoric, Ancient",http://id.worldcat.org/fast/1096982,,
"Rhetoric, Ancient--Early works to 1800.",a--v,0,,"Rhetoric, Ancient;Early works",http://id.worldcat.org/fast/1096982;http://id.worldcat.org/fast/1411636,,
"Rhetoric, Ancient--Study and teaching.",a--x,fast,http://id.worldcat.org/fast/1426484,"Rhetoric, Ancient--Study and teaching",http://id.worldcat.org/fast/1426484,,
"Rhetoric, Ancient--Study and teaching--To 1500.",a--x--y,0,,"Rhetoric, Ancient--Study and teaching",http://id.worldcat.org/fast/1426484,,
"Rhetoric, Medieval.",a,0,http://id.loc.gov/authorities/subjects/sh85113635,"Rhetoric, Medieval",http://id.worldcat.org/fast/1096987,,
"Rhetoric, Medieval.",a,fast,http://id.worldcat.org/fast/1096987,"Rhetoric, Medieval",http://id.worldcat.org/fast/1096987,,
Rhetoric.,a,fast,http://id.worldcat.org/fast/1096948,Rhetoric,http://id.worldcat.org/fast/1096948,,
Rhetoric--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008110802,Rhetoric;Early works,http://id.worldcat.org/fast/1096948;http://id.worldcat.org/fast/1411636,,
Rhetoric--Study and teaching.,a--x,fast,http://id.worldcat.org/fast/1096971,Rhetoric--Study and teaching,http://id.worldcat.org/fast/1096971,,
Rhetoric--Study and teaching.,a--x,0,http://id.loc.gov/authorities/subjects/sh85113633,Rhetoric--Study and teaching,http://id.worldcat.org/fast/1096971,,
"Rhetoric--Study and teaching--Middle Ages, 600-1500.",a--x--y,0,,Rhetoric--Study and teaching;500-1500,http://id.worldcat.org/fast/1096971;http://id.worldcat.org/fast/1355938,,
"Riddles, Arabic.",a,fast,http://id.worldcat.org/fast/1097595,"Riddles, Arabic",http://id.worldcat.org/fast/1097595,,
"Riddles, Arabic--Early works to 1800.",a--v,0,,"Riddles, Arabic;Early works",http://id.worldcat.org/fast/1097595;http://id.worldcat.org/fast/1411636,,
Rimini (Italy)--History--16th century.,a--x--y,0,,Italy--Rimini;History;Sixteenth century,http://id.worldcat.org/fast/1204894;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
Rithmomachia (Game),a,fast,http://id.worldcat.org/fast/1741843,Rithmomachia (Game),http://id.worldcat.org/fast/1741843,,
Rithmomachia (Game),a,0,http://id.loc.gov/authorities/subjects/sh2006008632,Rithmomachia (Game),http://id.worldcat.org/fast/1741843,,
"Romances, Italian.",a,fast,http://id.worldcat.org/fast/1099922,"Romances, Italian",http://id.worldcat.org/fast/1099922,,
"Romances, Italian--Specimens.",a--v,0,,"Romances, Italian;Specimens",http://id.worldcat.org/fast/1099922;http://id.worldcat.org/fast/1423861,,
"Romances, Latin (Medieval and modern)",a,fast,http://id.worldcat.org/fast/1099925,"Romances, Latin (Medieval and modern)",http://id.worldcat.org/fast/1099925,,
"Romances, Latin (Medieval and modern)",a,0,http://id.loc.gov/authorities/subjects/sh86007855,"Romances, Latin (Medieval and modern)",http://id.worldcat.org/fast/1099925,,
"Romances, Latin (Medieval and modern)--Early works to 1800.",a--x,0,,"Romances, Latin (Medieval and modern);Early works",http://id.worldcat.org/fast/1099925;http://id.worldcat.org/fast/1411636,,
"Romances, Latin (Medieval and modern)--Early works to 1800.",a--v,0,,"Romances, Latin (Medieval and modern);Early works",http://id.worldcat.org/fast/1099925;http://id.worldcat.org/fast/1411636,,
Romances.,a,fast,http://id.worldcat.org/fast/1099892,Romances,http://id.worldcat.org/fast/1423856,,
Romania--Transylvania.,a--z,fast,http://id.worldcat.org/fast/1240402,Romania--Transylvania,http://id.worldcat.org/fast/1240402,,
Roman law.,a,fast,http://id.worldcat.org/fast/1099759,Roman law,http://id.worldcat.org/fast/1099759,,
Roman law--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008110994,Roman law;Early works,http://id.worldcat.org/fast/1099759;http://id.worldcat.org/fast/1411636,,
Rome (Empire),a,fast,http://id.worldcat.org/fast/1204885,Rome (Empire),http://id.worldcat.org/fast/1204885,,
Rome (Italy)--History--16th century.,a--x--y,0,,Italy--Rome;History;Sixteenth century,http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
Rome (Italy)--History--476-1420.,a--x--y,0,http://id.loc.gov/authorities/subjects/sh85115200,Italy--Rome;History,http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/958235,,
"Rome--History--Civil War, 43-31 B.C.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85115124,Rome (Empire);History;Roman Civil War (Rome : 43-31 B.C.),http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1352313,,
"Rome--History--Conspiracy of Catiline, 65-62 B.C.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85115120,Rome (Empire);History;Conspiracy of Catiline (Rome : 65-62 B.C.),http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1352536,,
"Rome--History--Flavians, 69-96.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85115137,Rome (Empire);History;69-96,http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355957,,
"Rome--History--Julio-Claudians, 30 B.C.-68 A.D.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85115126,Rome (Empire);History;30 B.C.-68 A.D.,http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355909,,
"Rome--History--Republic, 510-30 B.C.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85115114,Rome (Empire);History;510-30 B.C.,http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355940,,
Rosignano Marittimo (Italy)--History.,a--x,0,,Italy--Rosignano Marittimo;History,http://id.worldcat.org/fast/1233836;http://id.worldcat.org/fast/958235,,
Rothenburg ob der Tauber (Germany)--History--Sources.,a--x--v,0,,Germany--Rothenburg ob der Tauber;History;Sources,http://id.worldcat.org/fast/1210672;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Rouen (France)--History.,a--x,0,,France--Rouen;History,http://id.worldcat.org/fast/1205659;http://id.worldcat.org/fast/958235,,
Rovigo (Italy : Province),a,0,http://id.loc.gov/authorities/names/n81118885,Italy--Rovigo (Province),http://id.worldcat.org/fast/1331156,,
Rural conditions.,a,fast,http://id.worldcat.org/fast/1101474,Rural conditions,http://id.worldcat.org/fast/1101474,,
Saaremaa Island (Estonia),a,0,http://id.loc.gov/authorities/subjects/sh89002574,Estonia--Saaremaa Island,http://id.worldcat.org/fast/1251627,,
Sacraments.,a,fast,http://id.worldcat.org/fast/1103083,Sacraments,http://id.worldcat.org/fast/1103083,,
Sacraments--Catholic Church.,a--x,fast,http://id.worldcat.org/fast/1103085,Sacraments--Catholic Church,http://id.worldcat.org/fast/1103085,,
Sacraments--Catholic Church.,a--x,0,http://id.loc.gov/authorities/subjects/sh85116253,Sacraments--Catholic Church,http://id.worldcat.org/fast/1103085,,
Sacraments--Catholic Church--Early works to 1800.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2010111770,Sacraments--Catholic Church;Catholic Church;Early works,http://id.worldcat.org/fast/1103085;http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411636,,
Sacraments--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2010111771,Sacraments;Early works,http://id.worldcat.org/fast/1103083;http://id.worldcat.org/fast/1411636,,
"Saint-Germain-des-Prés (Paris, France : Quarter)",a,0,http://id.loc.gov/authorities/names/n50079454,France--Paris--Saint-Germain-des-Prés (Quarter),http://id.worldcat.org/fast/1726391,,
Saints.,a,fast,http://id.worldcat.org/fast/1103658,Saints,http://id.worldcat.org/fast/1103658,,
Saints--Legends--Early works to 1800.,a--v--v,0,,Saints;Legends;Early works,http://id.worldcat.org/fast/1103658;http://id.worldcat.org/fast/1423803;http://id.worldcat.org/fast/1411636,,
Sallèles d'Aude (France),a,0,http://id.loc.gov/authorities/names/nr92004024,France--Sallèles d'Aude,http://id.worldcat.org/fast/1261066,,
Salt industry and trade--Law and legislation.,a--x,fast,http://id.worldcat.org/fast/1104270,Salt industry and trade--Law and legislation,http://id.worldcat.org/fast/1104270,,
Salt industry and trade--Law and legislation--Italy.,a--x--z,0,,Salt industry and trade--Law and legislation;Italy,http://id.worldcat.org/fast/1104270;http://id.worldcat.org/fast/1204565,,
Salt industry and trade--Law and legislation--Italy--Reggio Emilia.,a--x--z--z,0,,Salt industry and trade--Law and legislation;Italy--Reggio Emilia,http://id.worldcat.org/fast/1104270;http://id.worldcat.org/fast/1204878,,
Salt--Taxation.,a--x,fast,http://id.worldcat.org/fast/1104234,Salt--Taxation,http://id.worldcat.org/fast/1104234,,
Salt--Taxation--Italy--Pistoia.,a--x--z--z,0,,Salt--Taxation;Taxation;Italy--Pistoia,http://id.worldcat.org/fast/1104234;http://id.worldcat.org/fast/1143876;http://id.worldcat.org/fast/1204411,,
Salt--Taxation--Italy--Reggio Emilia.,a--x--z--z,0,,Salt--Taxation;Taxation;Italy--Reggio Emilia,http://id.worldcat.org/fast/1104234;http://id.worldcat.org/fast/1143876;http://id.worldcat.org/fast/1204878,,
