title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
Decretals,,,,Decretals,Decretals
"Decretals of Gregory IX, commentary on",,,,,
Decretum,,,,Decretals,Decretals
Decretumor Concordantia discordantium canonum,,,,Decretum Gratiani,Decretum Gratiani
Deed,,,,,
Deed of exchange,,,,,
Deed of sale,,,,,
"Deed, 1434 June 29, declaring that William Bokenham, Alexander Webster, and John Golle give to John Costyn, et al, land in Weasenham",,,,,
Defensio Civitatis Neapolitane Petri Gravina Canonici Neapolitani Carmen quo Perthenope alloquitur,,,,Defensio Civitatis Neapolitanae,Defensio Civitatis Neapolitanae
"Del bene de la vechiezza, Italian translation of De bono senectutis, made by Anchise Straccha of Bolzano (fl. 17th century)",,,,Libro del bene della Vecchiezza,Libro del bene della Vecchiezza
Der ordo iudiciarius,,,,Ordo iudiciarius,Ordo iudiciarius
"Describit iter suum ad brundisi, sermo Vus",,,,,
Designation of factor,,,,,
Designation of procurator,,,,,
Devotional book,,,,Devotional book,Devotional book
Devotional exercises on the life of Christ for the seven days of the week,,,,Devotional book,Devotional book
Devotional miscellany,,,,Devotional book,Devotional book
Dhūrtasvāmibhāṣyatīkā,"धूर्तस्वामिभाष्यतीका,",,,,
Dialogi,,,,Dialogues,Dialogues
Dialogorum libri IV,,,,Dialogues,Dialogues
Dialogue on the Marriage of Queen Elizabeth,,,,,
"Diary and book of accounts, circa 1654-1666, written from Bedfordshire (Petenhall), Cambridgeshire (Tadlow), Portsmouth, and Windsor Parke near London?",,,,Accounts book,Accounts book
"Diatribe de heraldorum origine, officio, collegio, etc.",,,,,
Dicta aliquorum philosophorum,,,,Liber de dictis philosophorum antiquorum,Liber de dictis philosophorum antiquorum
Digest,,,,,
Digestorum prooemium,,,,,
Digestum novumwith gloss,,,,,
Dîvân-i Kutb al-arifin,ديوان قطب العارفين.,,,,
Dīwān Tāj al-ʻārifīn wa-sulṭān al-ʻāshiqīn min al-shuʻarāʼ bi-lā muʻāriḍ ʻUmar ibn Fāriḍ,ديوان تاج العارفين وسلطان العاشقين من الشعراء بلا معارض عمر بن فارض.,Poems,,Poems,Poems
Discurso cerca de los cuentos de las brujas,,,,,
Distinctiones alphabeticae,,,,Distinctiones,Distinctiones
Diurnal,,,,Diurnal,Diurnal
Divina Commedia,,,,Divine Comedy,Divine Comedy
Divinae institutiones,,,,Divinae institutiones,Divinae institutiones
Document,,,,,
"Document conferring nobility upon Iacobo Gianotti, 1644 February 10, Vienna",,,,,
Documents concerning the seigniory of Basville-en-Roumois,,,,,
"Dogale. Decree of Domenico Contarini, Doge of Venice, concerning the acquisition in feoffe of Cazzabella, in the territory of Asola Bresciana, by the brothers Counts Francesco and Girolamo Avogadro of Asolo",,,,,
Dominica 20 post festum trinitatis,,,,,
Dominica IIII [verso],,,,,
Dominica in ramis palmarum euangelium secundum Mattheum,,,,,
Dominica prima post octavas penthecostes,,,,,
Dominici Capranici Card. Vita ad Card. Papien. Baptistae Pogii,,,,,
Drawing of Two Men with Fragments of Quran Leaf Pasted On,,,,Qurʼan,Qurʼan
ʻIẓat al-albāb wa-dhakhīrat al-iktisāb,,,,,
Eiusdem de humana miseria incipit,,,,De Miseria Condicionis Humane,De Miseria Condicionis Humane
Elementa mathematica in libros XV,,,,Elementa mathematica,Elementa mathematica
Elementarium doctrinae rudimentum,,,,Elementarium doctrinae rudimentum,Elementarium doctrinae rudimentum
Enarrationes in psalmos (Expositions on the psalms); Initials (ABC); Prayer,,,,Expositions on the psalms; Prayer,Expositions on the psalms; Prayer
Encheridyon Laurenti pysani presbiteri,,,,Enchiridion,Enchiridion
Enchyridion,,,,Enchiridion,Enchiridion
Enchyridion syxti pictagorici,,,,Enchiridion,Enchiridion
"Endorsement on contract concerning a dowry and legacy, 1694 March 20, St.-Germain?, France",,,,,
Epigrammata,,,,Epigrammata,Epigrammata
Epistle,,,,Epistles,Epistles
Epistles,,,,Epistles,Epistles
"Epistles of St. Paul, with commentary",,Bible.,,Epistles of St. Paul,Epistles of St. Paul
Epistola ad Nepotianum,,,,Epistola ad Nepotianum; Epistles,Epistola ad Nepotianum; Epistles
Epistola pertinenti ad la perfectione de la vita contemplationeand other writings.,,,,Epistles,Epistles
Epistola Sancti Augustini,,,,Epistles of St. Augustine,Epistles of St. Augustine
Epistolae,,,,Epistles,Epistles
Epistolae ad Brutum,,,,Ad Brutum,Ad Brutum
"Epistolae de morte, de magnificentiis, et de miraculis S. Hieronymi",,,,Epistles,Epistles
Epistolae in the Italian translation of Bartolomeo Fontio of Florence (1445-1513),,,,Epistles,Epistles
Epistolae morales ad Lucilium,,,,Epistulae morales ad Lucilium,Epistulae morales ad Lucilium
Epistolae S. Pauli et Senecae,,,,Epistles of St. Paul; Epistles of Seneca,Epistles of St. Paul; Epistles of Seneca
Epistoli Senece ad beatum Paulum apostolum et eius ad Senecam,,,,Epistolae Senecae ad Paulum et Pauli,Epistolae Senecae ad Paulum et Pauli
Epistula ad Raymundum,,,,Epistula ad Raymundum,Epistula ad Raymundum
Epistulae morales ad Lucilium,,,,Epistulae morales ad Lucilium,Epistulae morales ad Lucilium
Epitaph,,,,Epitaph,Epitaph
Epitaphium Comitis henrici,,,,,
Epitaphium petri comestoris,,,,,
Epitaphium Senecae,,,,,
Epitaphorum libellus,,,,,
Epitome,,,,,
Epitome historiarum Trogi Pompeii,,,,Epitome historiarum Trogi Pompeii,Epitome historiarum Trogi Pompeii
Epitome Rerum Romanorum: Libri IV,,,,Epitome Rerum Romanorum,Epitome Rerum Romanorum
Epodon,,,,Epodon,Epodon
Ex Johanne andree super hieronymiano ubi de cupiditate prelatorum edificandi tractat,,,,De conscientia aedificandi,De conscientia aedificandi
Excerpta ex operibus Sancti Augustini,,,,,
Excerptiones de arte grammatica,,,,,
"Excerpts possibly made by Sir Isaac Newton (1642-1727) from Dickinson's alchemical tract, Epistola Edmundi Dickinson MD. & medici regii ad Theodorum Mundanum philosophum adeptum: De quintessentia philosophorum et De vera physiologia, una cum quaestionibus aliquot de secreta materia physica (Oxford: Sheldonian Theatre, 1686)",,,,,
Excerpts regarding Josephus and Eusebius of Caesarea,,,,,
Explicit liber de memoria & reminiscentia. Incipit liber de sompno & vigilia,,,,De memoria et reminiscentia; De Somno et vigilia,De memoria et reminiscentia; De Somno et vigilia
Expositio in Job,,,,Commentary on Job,Commentary on Job
Expositio in libros Posteriorum Aristotelis,,,,Commentary on the Posterior Analytics,Commentary on the Posterior Analytics
"Expositio super ""Beati immaculati""",,,,Commentary on the Psalms,Commentary on the Psalms
Expositio super epistolam Pauli ad Romanos,,Commentary on the Epistle to the Romans,,"Commentary on the Epistle to the Romans; Epistles
","Commentary on the Epistle to the Romans; Epistles
"
Exposition of 2 Kings 17:15-16,,,,Commentary on Kings,Commentary on Kings
Exposito Libri Numerorum,,,,Commentary on Numbers,Commentary on Numbers
Extensive handwritten marginal notes in a printed book containing three texts,,,,,
Extracts from the Glossa Ordinaria,,,,Glossa Ordinaria,Glossa Ordinaria
Facta et dicta memorabilia,,,,Factorum et dictorum memorabilium libri IX,Factorum et dictorum memorabilium libri IX
Factorum et dictorum memorabilium libri IX ...et al,,,,Factorum et dictorum memorabilium libri IX,Factorum et dictorum memorabilium libri IX
"Familie nobiles Romanorum, Familie eorundem plebeie",,,,,
Ferial Psalter and Hymnal,,,,Psalter; Hymnal,Psalter; Hymnal
Flores; religious miscellany,,,,Flores; miscellany,Flores; miscellany
Florigelium,,,,Florilegium,Florilegium
"Florilegium, here ""Superbia""",,,,Florilegium,Florilegium
For the Wormes,,,,,
Formata ut conmendata,,,,,
Formulae spiritalis,,,,Formulae Spiritalis Intellegentiae,Formulae Spiritalis Intellegentiae
Forty homilies on the Gospels,,,,,
Four Lines of Calligraphy from the Qasidat al-Burda,,,,,
Fragments from a Gradual,,,,Gradual,Gradual
Garin le Loherain,,,,Garin le Loherain,Garin le Loherain
"Genealogical information and chart, 1705 November",,,,,
Geometria,,,,Geometria,Geometria
Geometria /,,,,Geometria,Geometria
Georgica,,,,Georgics,Georgics
Georgics,,,,Georgics,Georgics
Geste de Monglane,,Geste de Garin de Monglane.,,Geste de Garin de Monglane,Geste de Garin de Monglane
"Giant Bible, Atlantic Bible",,,,Bible,Bible
Gift,,,,,
Gift of a prebend,,,,,
Girbert de Mez,,,,Girbert de Metz,Girbert de Metz
Glossa Ordinaria (Incunable leaf),,,,Glossa Ordinaria,Glossa Ordinaria
Glossary,,,,Glossary,Glossary
Glossed Canon Law,,,,Canon law,Canon law
Gospel lectionary,,,,Lectionary,Lectionary
Gradual,,,,Gradual,Gradual
Gradual and Antiphonary,,,,Gradual; Antiphonary,Gradual; Antiphonary
"Gradual, Sanctoral Cycle",,,,Gradual,Gradual
Graecismus,,,,Graecismus,Graecismus
Grammar,,,,,
Grammatical text,,,,,
Grant,,,,,
Grant in fee simple,,,,,
Grant in frankalmoigne,,,,,
Grant of arms,,,,,
Gregorialis,,,,Gregorialis,Gregorialis
Haft paykar,هفت پيکر.,,,,
Hādhā Kitāb Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn,هذا كتاب حصن الحصين من كلام سيد المرسلين.,Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn,,"Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn
","Ḥiṣn al-ḥaṣīn min kalām Sayyid al-Mursalīn
"
Hādhā kitāb irshād /,هذا كتاب ارشاد /,,,,
Hādhā kitāb sih zabān,هذا کتاب سه زبان.,,,,
Harangue de Monsieur l'Evêque de Chartres prononcée devant le Roy,,,,,
Haza rūznāme-yi Dārendevī,هذا روز نامۀ دارندوى.,,,,
Hecyra,,,,Hecyra,Hecyra
Here begynneth matins of oure ladi,,,,Book of hours,Book of hours
Here bigynneth ye letanye,,,,,
Here bigynneth ye vii P,,,,,
Hexameron,,,,Hexameron,Hexameron
ḥadāʼiq al-ḥaqāʼiq fī mawāʼiẓ al-khalāʼiq,,,,,
Ḥāshiyah ʻalá Sharḥ al-Saʻd ʻalá al-ʻAqāʼid al-Nasafīyah,حاشية على شرح السعد على العقائد النسفية.,,,,
Ḥall al-ṭilsam wa-kashf al-sirr al-mubham,حل الطلسم وكشف السر المبهم.,,,,
Hieron sive Opusculum de tyrannide,,,,De tyrannide,De tyrannide
Histoire de la mort de Henri IV,,,,,
"Historia de la gloriosa virgen y martyr Leocadia, patrona de Toledo",,,,,
Historia destructionis Troiae,,,,Historia destructionis Troiae,Historia destructionis Troiae
Historia ecclesiastica,,,,Historia ecclesiastica,Historia ecclesiastica
Historia Ecclesiastica Gentis Anglorum,,,,Historia ecclesiastica,Historia ecclesiastica
Historia Francorum extract:Life of Saint Brictius of Tours,,,,Historia Francorum,Historia Francorum
Historia Francorum extracts,,,,Historia Francorum,Historia Francorum
Historia Romana,,Breviarium historiae Romanae,,"Breviarium historiae Romanae
","Breviarium historiae Romanae
"
Historia Scholastica,,,,Historia Scholastica,Historia Scholastica
Historia scholastica,,,,Historia Scholastica,Historia Scholastica
Historiated initial cut from an illuminated manuscript,,,,,
Histories,,,,History,History
History,,,,History,History
"History of France and England during the reigns of Henry IV, Henry V, Henry VI",,,,History of France; History of England,History of France; History of England
History of Marechal de Gassion,,,,,
Homeliae de tempore,,,,Homeliae de tempore,Homeliae de tempore
Homeliae in Evangelia,,,,Homilies on the Gospels,Homilies on the Gospels
Homeliarum in Ezechielem,,,,Homilies on Ezekiel,Homilies on Ezekiel
Homilarium,,,,Homiliary,Homiliary
Homilia 106: De timore Dei et correctione linguarum,,,,,
Homilia Bede in fest Annunciationis,,,,,
Homiliae in Evangelia,,,,Homilies on the Gospels,Homilies on the Gospels
Homiliary,,,,Homiliary,Homiliary
Homilies on Ezechiel,,,,Homilies on Ezekiel,Homilies on Ezekiel
Homilies on the Gospels,,,,Homilies on the Gospels,Homilies on the Gospels
Homily,,,,Homilies,Homilies
Horae Beatae Virginis Mariae,,Book of hours.,,Book of hours,Book of hours
Horae Beatae Virginis Mariae cum Calendario (Book of Hours with Calendar),,Book of hours,,Book of hours,Book of hours
"Horatius Flaccus, Quintus, Opera, with Commentary by Christopher Landinus (Incunable Leaf)",,,,,
"Horatius Flaccus, Quintus, Opera, with Commentary by Christophorus Landinus",,,,,
Horologium Sapientiae,,,,Horologium Sapientiae,Horologium Sapientiae
"Horti regii Parisiensis Plantarum Catalogus Secundum seriem ordinatam and Arbores Horti Regii, copied by Francisco de Solleysel Equite D. du Clapier, who signs himself as Auditore studiosissimo ipsius Domini Fagon",,,,Catalogus Plantarum Horti regii parisiensis,Catalogus Plantarum Horti regii parisiensis
Hours of the Virgin,,,,Book of hours,Book of hours
hugonis canonici sancti victoris parisiensis de archa noe pro archa sapientiae cum archa ecclesiae de arch matris gratiae liber primus incipit,,,,De arca Noe,De arca Noe
Hymnal,,,,Hymnary,Hymnary
Hymnary,,,,Hymnary,Hymnary
Iʻlām al-tilmīdh bi-aḥkām al-nabīdh,,,,,
III. KLS. Augusti. Passio,,,,,
Il Filostrato,,,,Filostrato,Filostrato
Il modo di innamorarsi del Signor,,,,,
Illuminated Missal,,,,Missal,Missal
In epistolam Johannis ad Parthos (Sermons on the first epistle of Saint John),,,,,
In Iohannis Evangelium tractatus CXXIV,,,,In Iohannis Evangelium tractatus,In Iohannis Evangelium tractatus
In Joannis Evangelium Tractatus,,,,In Iohannis Evangelium tractatus,In Iohannis Evangelium tractatus
In nomine domini nostri ihesu,,,,,
Incipit epistola beati Eusebii discipuli sancti Iheronimi ad beatum damasum portuensem episcopum et ad christianissimum theodonium romanorum senatorem de morte gloriosissimi Iheronimi doctoris eximii. Salutatio seu epistola,,,,,
Incipit epistola Petri Damiani de die iudicii,,,,De die iudicii,De die iudicii
Incipit epistola secundi Johannis prima ad parthos,,,,Epistles of John,Epistles of John
Incipit exposicio regule beati Augustini episcopi secundum fratrem humbertum Magistrum ordinis predicatorum,,,,,
Incipit expositio beatissimj ambrosii super beati immaculati,,,,,
"Incipit liber gestorum Barlaam & Iosaphat servorum dei, editus greco sermone a iohanne damasceno",,,,Barlaam et Josaphat,Barlaam et Josaphat
Incipit liber magistri hugonis de operibus trium dierum,,,,De tribus diebus,De tribus diebus
Incipit liber nonus firmiani lactantii de opificio dei sive de hominis formatione,,,,De opificio Dei,De opificio Dei
Incipit officium beate Marie Virginis secundum cursum roman ...,,Office of the Blessed Virgin Mary,,"Office of the Blessed Virgin Mary
","Office of the Blessed Virgin Mary
"
Incipit prefatio magistri hugonis in libro de rota vere religionis,,,,De rota verae et falsae religionis,De rota verae et falsae religionis
"Incipit Registrum super Tractactum de tribus orbis partibus, ac variis naturis hominum: portentorum, Transformatorum, Necnon de diversis fluminibus aquarum, Insularum et montium,",,,,Tractatus de tribus orbis partibus,Tractatus de tribus orbis partibus
Incipit summa magistri petri manducatoris super literam in lucam,,,,Commentary on Luke,Commentary on Luke
Incipit tractatus Ricardi Heremite de Ampoll de amore dei contra amatores mundi,,,,De amore Dei contra amatores mundi,De amore Dei contra amatores mundi
Incipit vita beati Materni Coloniensis Archiepiscopi,,,,Life of the Maternus of Cologne,Life of the Maternus of Cologne
Incipiunt ethimologie et concordantie conclusionum per reverendissimum dominum magistrum petrum de pergamo,,,,"Etymologiae, seu Concordantiae conclusionum Thomae Aquinatis","Etymologiae, seu Concordantiae conclusionum Thomae Aquinatis"
Incomplete text on letter magic,,,,,
"Indenture, 1607 May 12, between John Williams of London and Richard Shelly of Itchingfield (Etchingfield), Sussex regarding the transfer of a tenement in St. John's Street in Clerkenwell, London",,,,,
Ineriecto dolentis,,,,Interiectio dolentis,Interiectio dolentis
Inscription,,,,,
"Inscription: the flyleaf (fol. 1v), ""iIste liber est in custodia Elizabet de wal[m]den quem scribere fecit ad laudem dei si q[uequam] in eo legerit oret pro ea propter deum"", ‘This book is in the keeping of Elisabeth von Walmden who had it written to the praise of God; whoever reads from it, may she pray for her, for the sake of God’, to which another hand (perhaps hers) adds in vita & post mort",,,,,
Inshā-yi Mādhava Rāma. Inshā-yi Dilkushā,انشاى مادهو‌ رام. انشاى دلکشا.,Inshā-yi Mādhava Rāma.,,Inshā-yi Mādhava Rāma; Inshā-yi Dilkushā,Inshā-yi Mādhava Rāma; Inshā-yi Dilkushā
Institutiones grammaticae,,,,Institutiones grammaticae,Institutiones grammaticae
Institutiones juris civilis,,,,Institutiones juris civilis,Institutiones juris civilis
"Institutions, or Advice to his Grandson, in Three Parts",,,,"Institutions, or Advice to his Grandson","Institutions, or Advice to his Grandson"
Interpretationes nominum hebraicorum,,,,"Interpretationes Hebraicorum nominum
","Interpretationes Hebraicorum nominum
"
Invectiva ad indivum et detractorem,,,,Invectiva ad invidum et detractorem,Invectiva ad invidum et detractorem
Inventory of possessions,,,,,
Irshād al-sārī,إرشاد الساري.,,,,
Islaendernes lovbog,,Jónsbók.,,Jónsbók,Jónsbók
Isti sunt accusandi in placito christianitatis et in ecclesia quando fuerit necessarium,,,,,
Italian Notarial Loan Record,,,,,
Itinerario del regno di Portogallo,,,,Itinerario del regno di Portogallo,Itinerario del regno di Portogallo
Itinerarium,,,,Itinerarium,Itinerarium
Jihat al-waḥdah,جهة الوحدة.,,,,
John Elys deed,,,,,
Jónsbók,,Jónsbók.,,Jónsbók,Jónsbók
"Journals, 1697 December 8 to 1698 July 5",,,,,
Junnat al-amān al-wāqiyah wa-junnat al-īmān al-bāqiyah,جنة الأمان الواقية وجنة الايمان الباقية.,,,,
Kāfiyat al-ṭālib al-rabbānī li-Risālat Ibn Abī Zayd al-Qayrawānī. Fatḥ al-mannān ʻalá naẓm mawrid al-ẓamʼān,كافية الطالب الرباني لرسالة ابن ابي زيد القيرواني. فتح المنان على نظم مورد الظمآن.,,,,
Kalendar from Book of Hours,,,,Calendar; Book of hours,Calendar; Book of hours
Kalendis Ianuarii luna prout quota erit require literam,,,,Calendar,Calendar
Kalimāt ʻarabīyah ʻalá tartīb ḥurūf al-tahajjī,كلمات عربية على ترتيب حروف التهجي.,Akhtarī kabīr.,,Akhtarī kabīr,Akhtarī kabīr
Kanz al-daqāʼiq,كنز الدقائق.,,,,
Kashf al-asrār ʻan ḥikam al-ṭuyūr wa-al-azʹhār,,,,,
Khamsah,خمسه.,Khamsah.,خمسه.,Khamsah,Khamsah
Khulāṣat al-ḥisāb,خلاصة الحساب.,,,,
Kitāb al-Adwār fī al-mūsīqá,كتاب الادوار في الموسيقى.,Adwār,ادوار,Adwār,Adwār
Kitāb al-iʻtibar wa-aʻqāb al-surūr wa-al-aḥzān,,,,,
Kitāb al-kurah al-mutaḥarrikah /,كتاب الكرة المتحركة /,De sphaera quae movetur.,,De sphaera quae movetur,De sphaera quae movetur
Kitāb al-Majisṭī,كتاب المجسطي.,Almagest.,,Almagest,Almagest
Kitāb al-Tawākiz al-muḥarrarah wa-al-ḍamāʼir al-mustakhbarah,كتاب التواكز المحررة والضمائر المستخبرة.,,,,
Kitāb al-ukar,كتاب الاكر.,De sphaericis.,,De sphaericis,De sphaericis
Kitāb Uṣūl al-handasah wa-al-ḥisāb,كتاب اصول الهندسة والحساب \,Elements.,,Elements,Elements
Kitāb-i Ḥashāyish,کتاب حشايش.,De materia medica.,,De materia medica,De materia medica
Kitāb-i Surkhāb dar ʻilm-i raml,کتاب سرخاب در علم رمل.,,,,
Koran,,,,Qurʼan,Qurʼan
L. Coelii firmani Lactancii divinarum institutionum adversus gentiles libri feliciter incipiunt. Et primo incipit liber primus de falsa religione ad Constantinum Imperatorem,,,,Divinae institutiones,Divinae institutiones
La generacion de Adam,,,,La generacion de Adam,La generacion de Adam
"Laberinto de fortuna, o las trescientas",,,,Laberinto de fortuna,Laberinto de fortuna
Laelius de Amicitia,,,,Laelius de amicitia,Laelius de amicitia
Laelius sive de amicitia,,,,Laelius de amicitia,Laelius de amicitia
Laghuvākyavṛttiprakāśikā,"लघुवाक्यवृत्तिप्रकाशिका,",,,,
Lamentatio yeremiae prophetae,,,,Lamentatio Jeremiae,Lamentatio Jeremiae
Lamentations,,,,Lamentations,Lamentations
Large leaf from a breviary containing musical notation,,,,Breviary,Breviary
"Latin Bible, with prologues attributed to St. Jerome and the interpretation of Hebrew names",,,,Bible; Prologues; Interpretation of Hebrew names,Bible; Prologues; Interpretation of Hebrew names
Laude spirituali,,,,,
Laurentius pisanus presbiter Leonardo datho presbitero salutem,,,,,
"Laurentius Quaglielmus Ty Iulio Lutio Mancino, S. P. D.,",,,,,
"Laurentius Quglielmus Tij, De arte metrica, De pedibus",,,,,
Law Codex,,,,,
"Leaf from a bible, including a portion of Genesis",,,,Bible,Bible
Leaf from a book of hours,,,,Book of hours,Book of hours
Leaf from a book of hours or breviary,,,,Book of hours; Breviary,Book of hours; Breviary
Leaf from a Book of Hours showing nativity scene,,Book of hours.,,Book of hours,Book of hours
Leaf from a Breviary,,,,Breviary,Breviary
Leaf from a French Book of hours,,Book of hours.,,Book of hours,Book of hours
Leaf from a manuscript breviary,,,,Breviary,Breviary
Leaf from a medieval book of sermons,,,,Sermons,Sermons
Leaf from a pre-15th century manuscript used as binding waste,,,,,
Leaf from a psalter,,,,Psalter,Psalter
Leaf from a vernacular book of hours,,,,Book of hours,Book of hours
Leaf from the Qasidat al-Burda,,,,Qasidat al-Burda,Qasidat al-Burda
Leaf from Yūsuf va Zulaykhā,,Yūsuf va Zulaykhā.,یوسف و زلیخا.,Yūsuf va Zulaykhā,Yūsuf va Zulaykhā
Leaf possibly from Saint Albertus Magnus's Speculum astronomiae,,,,,
Lease,,,,Lease,Lease
Lectio prima,,,,Lectio prima,Lectio prima
Lectionary,,,,Lectionary,Lectionary
Lectionary of Epistle and Gospel readings,,,,Lectionary,Lectionary
Lectionary of the gospels,,,,Lectionary,Lectionary
Lectura super Codicem,,,,Lectura super Codicem,Lectura super Codicem
"Legal document, 1698 March 29, Connecticut between James Harris and Richard Steer concerning the sale of interest in a horse; witnessed 1698 September 5, New London by Governor Fitz-John Winthrop",,,,,
Legend of St. Blasius,,,,Legend of St. Blasius,Legend of St. Blasius
Legenda S. Martini episcopi Et S. Bricii Turonensii Episcopi,,,,,
Leonardi Aretini ad Nicolaum suum,,,,,
Letter,,,,,
Letter to all Christians on the mystery of the incarnation,,,,,
Letter to Aurelius,,,,Letter to Aurelius,Letter to Aurelius
Letter to Bassula,,,,Letter to Bassula,Letter to Bassula
Letter to Eusebius,,,,Letter to Eusebius,Letter to Eusebius
"Letter to Hugh of St. Victor, refuting Arnulph",,,,Letter to Hugh of St. Victor,Letter to Hugh of St. Victor
Letter to Master William the monk on baptism,,,,Letter to Master William,Letter to Master William
Letters from the Archbishop of Toledo to Emperor Charles V of Spain,,,,Letters to Emperor Charles V of Spain,Letters to Emperor Charles V of Spain
Letters of introduction,,,,,
Liber antiquitatum biblicarum,,,,Liber antiquitatum biblicarum,Liber antiquitatum biblicarum
Liber de vinis,,,,De vinis,De vinis
Liber ethimologiarum,,Etymologiae,,Etymologiae,Etymologiae
Liber extra,,,,,
Liber florum,,,,,
Liber gestorum barlaam et Josaphat,,,,Barlaam et Josaphat,Barlaam et Josaphat
Liber II Meteorum,,,,Meteorologica,Meteorologica
Liber lapidum,,,,Liber lapidum,Liber lapidum
Liber metaphisice ; Liber ethicorum,,Metaphysics,,Metaphysics;Nicomachean Ethics,Metaphysics;Nicomachean Ethics
Liber phisicorum sive auditus phisici,,Physica,,Physics,Physics
Liber primus distinctionum super decretales,,,,Liber primus distinctionum super Decretales,Liber primus distinctionum super Decretales
Liber ruralium commodorum,,Ruralia commoda,,Ruralia commoda,Ruralia commoda
Liber sententiarum,,,,Liber sententiarum,Liber sententiarum
"Liber Sextus Decretalium, commentary on",,,,Commentary on Liber Sextus Decretalium,Commentary on Liber Sextus Decretalium
Lidamarte de Armenia,,,,,
Life and Miracles of St. Simeon of Padolirone,,,,,
Life of Cardinal Capranici,,,,,
Life of Moses the Ethiopian,,,,Life of Moses the Abyssinian,Life of Moses the Abyssinian
Life of Saint Martin,,,,Life of St. Martin,Life of St. Martin
Life of St. Leucius,,,,Life of St. Leucius,Life of St. Leucius
Līlāvatī,لیلاوتى.,Līlāvatī.,,Līlāvatī,Līlāvatī
List of Holy Roman Emperors,,,,,
List of noble families of Rome,,,,,
List of Roman Emperors,,,,,
Litany,,,,Litany,Litany
Litterarum simulationis liber,,,,Litterarum simulationis liber,Litterarum simulationis liber
Liturgical Office,,,,Liturgy,Liturgy
Liturgy,,,,Liturgy,Liturgy
Lives of the Caesars,,,,Lives of the Caesars,Lives of the Caesars
Lives of the fathers,,,,Lives of the fathers,Lives of the fathers
Lives of the Saints,,,,Lives of the Saints,Lives of the Saints
Logbok islendinga,,Jónsbók.,,Jónsbók,Jónsbók
M ccc lxxxxii. Qui chomincia la fisicha del maestro Aldobrandino da Siena il quale chonpuose in linghua franciescha della santa del chorpo del uomo e di ciaschuno nenbro per se traslatata in volghare per ser Zucchero Bencivenni notaio fiorentino . . .,,,,De regimine sanitatis,De regimine sanitatis
M. V. M. Epigramaton liber primus,,,,Epigrammaton,Epigrammaton
Mémoires sur les choses qui se sont pass?es en France,,,,Mémoires sur les choses qui se sont passées en France,Mémoires sur les choses qui se sont passées en France
Magna Glossatura in Epistolas Pauli,,,,Magna glossatura,Magna glossatura
Magna Glossatura in Psalmost,,,,Magna glossatura,Magna glossatura
Majmūʻah,مجموعه.,,,,
Manevi şerhi,معنوى شرحى,Şerh-i maʻnevi-i şerif,شرح معنوى شريف,"Şerh-i maʻnevi-i şerif
","Şerh-i maʻnevi-i şerif
"
Manhaj al-ʻilm wa-al-bayān wa-nuzhat al-samʻ wa-al-aʻyān,منهج العلم والبيان ونزهة السمع والعيان.,,,,
Manipulus florum,,,,Manipulus florum,Manipulus florum
"Manuale in investionibus, professionibus, et iubileis monialium necessarium, ad usum prioris monasterii Rubee vallis",,Manual,,Manual,Manual
Manuscript Bible leaf,,,,Bible,Bible
Manuscript binding waste,,,,,
Manuscript leaf from a collection of papal decretals,,,,,
Manuscript leaf from De casibus virorum illustrium,,De casibus virorum illustrium.,,De casibus virorum illustrium,De casibus virorum illustrium
Manuscript leaf from expense records,,,,,
Manuscript leaf from Interpretationes Hebraicorum nominum,,Interpretationes Hebraicorum nominum.,,Interpretationes Hebraicorum nominum,Interpretationes Hebraicorum nominum
Manuscript leaf from Physics,,Physics.,,Physics,Physics
"Manuscript leaf from Speculum historiale, Book 29",,Speculum historiale.,,Speculum historiale,Speculum historiale
Manuscript leaf from Summa de poenitentia et matrimonio,,Summa de poenitentia et matrimonio.,,Summa de poenitentia et matrimonio,Summa de poenitentia et matrimonio
Marci Valerii Marcialis Epigramaton Liber Primus Incipit,,,,Epigrammaton,Epigrammaton
Martyrology,,,,Martyrologies,Martyrologies
Massbook,,,,Massbook,Massbook
Materials relating to Cesena,,,,,
Matines des trespassez. Au lundi [verso],,,,Matins,Matins
Media Glossatura in Epistolas Pauli,,,,Media Glossatura in Epistolas Pauli,Media Glossatura in Epistolas Pauli
Medical miscellany,,,,Medicine miscellany,Medicine miscellany
Medical recipes,,,,Medical miscellany,Medical miscellany
Medititations sainctes and Meditationes chretiennes de I. C.,,,,,
Medulla Grammatice,,,,Medulla Grammaticae,Medulla Grammaticae
Meteorologica,,,,Meteorologica,Meteorologica
Miʻrājīyah,معراجيه.,,,,
Miftāḥ al-Falāḥ,مفتاح الفلاح.,,,,
"Milke and hony, or a miscellanious collation of many Christian experiences, sayinges contentes and severall pleases =places of scripturs improved",,,,"Milk and Honey; or, a Miscellaneous Collation of Many Christian Experiences, Sayings, Sentences, and Several Places of Scripture Improved","Milk and Honey; or, a Miscellaneous Collation of Many Christian Experiences, Sayings, Sentences, and Several Places of Scripture Improved"
"Miniature leaf, possibly from a psalter",,,,,
