title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add,authorized_label_add2
Gaṇeśasūkta,,Vedas,,,Vedas,
Gaṇeśatāpinī,गणेशतापिनी,Vedas,,,Vedas,
Gaṇeśopaniṣad,गणेशोपनिषद्,Upanishads,,,Upanishads,
Gaṇeśāparādhasundarastotra,गणेशापराधसुन्दरस्तोत्र,,,,,Gaṇeśāparādhasundarastotra
Gaṇeśārthavaśīrṣa,गणेशार्थवशीर्ष,Upanishads,,,Upanishads,
Gaṇeśātharvaśīrṣaṃ,गणेशाथर्वशीर्षं,,,,,Gaṇeśātharvaśīrṣaṃ
Gaṇeśāvatāravarṇana,गणेशावतारवर्णन,Puranas,,,Puranas,
Gaṇitanāmamālā,गणितनाममाला,,,,,Gaṇitanāmamālā
Ghaṇṭāpatha,घण्टापथ,,,,,Ghaṇṭāpatha
Ghaṇṭāpatha,घण्टापथ,Ghaṇṭāpatha,,,Ghaṇṭāpatha,
Ghaṭakharparakāvya,घटखर्परकाव्य,,,,,Ghaṭakharparakāvya
Ghaṭṭādhivāsanotsargaprayoga,घट्टाधिवासनोत्सर्गप्रयोग,,,,,Ghaṭṭādhivāsanotsargaprayoga
Ghṛtatulādānaprayoga,घृततुलादानप्रयोग,,,,,Ghṛtatulādānaprayoga
Gocaraphala,गोचरफल,,,,,Gocaraphala
Godānavidhi,गोदानविधि,,,,,Godānavidhi
Golādhyāya,गोलाध्याय,,,,,Golādhyāya
Gopadmakathāvrata,गोपद्मकथाव्रत,Puranas,,,Puranas,
Gopālasahasranāma,गोपालसहस्रनाम,,,,,Gopālasahasranāma
Gopīcandanopaniṣad,गोपीचन्दनोपनिषद्,,,,,Gopīcandanopaniṣad
Govindastotra,गोविन्दस्तोत्र,,,,,Govindastotra
Grahagocara,ग्रहगोचर,,,,,Grahagocara
Grahalalita,ग्रहललित,,,,,Grahalalita
Grahalāghava,ग्रहलाघव,,,,,Grahalāghava
Grahapaddhati,ग्रहपद्धति,,,,,Grahapaddhati
Grahasaṃjñā,ग्रहसंज्ञा,,,,,Grahasaṃjñā
Grahasāriṇī,ग्रहसारिणी,,,,,Grahasāriṇī
Grahayajñatraya,ग्रहयज्ञत्रय,,,,,Grahayajñatraya
Grahaśantividhi,ग्रहशन्तिविधि,,,,,Grahaśantividhi
Grahyajña,ग्रहयज्ञ,,,,,Grahyajña
Gurucaramamañjarī,गुरुचरममञ्जरी,,,,,Gurucaramamañjarī
Gurucaritra,गुरुचरित्र,,,,,Gurucaritra
Gurugītā,गुरुगीता,Puranas,,,Puranas,
Gurugītā,गुरुगीता,Gurugītā,,,Gurugītā,
Gurukavaca,,Tantras,,,Tantras,
Gurulakṣaṇa,गुरुलक्षण,,,,,Gurulakṣaṇa
Gurupaddhati natividhāna,गुरुपद्धति नतिविधान,Puranas,,,Puranas,
Guruparāmarśa,गुरुपरामर्श,,,,,Guruparāmarśa
Gurupādukāpañcakastotra,গুরুপাদুকাপঞ্চকস্তোত্র,,,,,Gurupādukāpañcakastotra
Guruviṣayatāvādārtha,गुरुविषयतावादार्थ,Gādādharī,,,Gādādharī,
Guṇakāraṇdavyūhasūtra,गुणकारण्दव्यूहसूत्र,Tripiṭaka,,,Tripiṭaka,
Gādādharī,गादाधरी,,,,,Gādādharī
Gārudaharivaṃśa,गारुदहरिवंश,Puranas,,,Puranas,
Gāyatryartha,गायत्र्यर्थ,,,,,Gāyatryartha
Gāyatrī,गायत्री,,,,,Gāyatrī
Gāyatrībhāṣya,गायत्रीभाष्य,,,,,Gāyatrībhāṣya
Gāyatrībhāṣya,गायत्रीभाष्य,Mādhavīyavedārthaprakāśa,,,Mādhavīyavedārthaprakāśa,
Gāyatrībhāṣya,गायत्रीभाष्य,R̥gvedabhāṣyabhūmikā,,,R̥gvedabhāṣyabhūmikā,
Gāyatrīhṛdaya,,,,,,Gāyatrīhṛdaya
Gāyatrījapanityavidhi,गायत्रीजपनित्यविधि,,,,,Gāyatrījapanityavidhi
Gāyatrīkalpa,,,,,,Gāyatrīkalpa
Gāyatrīkavaca,,Pāñcarātra,,,Pāñcarātra,
Gāyatrīpuraścaraṇa,गायत्रीपुरश्चरण,,,,,Gāyatrīpuraścaraṇa
Gāyatrīrāmāyaṇastotra,गायत्रीरामायणस्तोत्र,,,,,Gāyatrīrāmāyaṇastotra
Gāyatrīsahasranāmastotra,गायत्रीसहस्रनामस्तोत्र,,,,,Gāyatrīsahasranāmastotra
Gāyatrīstavarājastotra,,Tantras,,,Tantras,
Gāyatrīvivaraṇa,गायत्रीविवरण,Gayatripaddhati,,,Gayatripaddhati,
Gītagovinda,गीतगोविन्द,,,,,Gītagovinda
Gītagovinda,गीतगोविन्द,Gītagovinda,,,Gītagovinda,
Gītā mahātama,,,,,,Gītā mahātama
Gītāmāhātmya,गीतामाहात्म्य,Puranas,,,Puranas,
Gītāṭīkā,गीताटीका,,,,,Gītāṭīkā
Halaṣaṣṭhivratakathā,हलषष्ठिव्रतकथा,Puranas,,,Puranas,
Halaṣaṣṭivratakathā,हलषष्टिव्रतकथा,Puranas,,,Puranas,
Hanumadāṣṭakastotra,हनुमदाष्टकस्तोत्र,,,,,Hanumadāṣṭakastotra
Hanumatadurga,हनुमतदुर्ग,,,,,Hanumatadurga
Hanumatkavacastotra,हनुमत्कवचस्तोत्र,Puranas,,,Puranas,
Hanumatsahasranāma,हनुमत्सहस्रनाम,Rāmāyaṇa,,,Rāmāyaṇa,
Hanumatsahasranāmastotra,हनुमत्सहस्रनामस्तोत्र,Rāmāyaṇa,,,Rāmāyaṇa,
Hanumatstavarāja,हनुमत्स्तवराज,Puranas,,,Puranas,
Hanumānaṣṭaka,हनुमानष्टक,,,,,Hanumānaṣṭaka
Hanumānbāhukavaca,हनुमान्बाहुकवच,,,,,Hanumānbāhukavaca
Hanumānekamukhīstotra,हनुमानेकमुखीस्तोत्र,,,,,Hanumānekamukhīstotra
Haraharatalikāpūjā,हरहरतलिकापूजा,,,,,Haraharatalikāpūjā
Haribhaktavilāsa,हरिभक्तविलास,Haribhaktivilāsa,,,Haribhaktivilāsa,
Haridrāguṇavicāra,हरिद्रागुणविचार,,,,,Haridrāguṇavicāra
Hariharanāmāvalīstotra,हरिहरनामावलीस्तोत्र,Puranas,,,Puranas,
Hariharastotra,हरिहरस्तोत्र,Puranas,,,Puranas,
Haritattvamuktāvalīsamākhyā,हरितत्त्वमुक्तावलीसमाख्या,,,,,Haritattvamuktāvalīsamākhyā
Haritālikakathā,हरितालिककथा,,,,,Haritālikakathā
Haritālikāpūjā,हरितालिकापूजा,,,,,Haritālikāpūjā
Haritālikāpūjā,हरितालिका,,,,,Haritālikāpūjā
Haritālikāpūjānakathāvratodyāpana,हरितालिकापूजानकथाव्रतोद्यापन,Puranas,,,Puranas,
Harivaṃśa,हरिवंश,Mahābhārata,,,Mahābhārata,
Harivaṃśoddyota,हरिवंशोद्द्योत,,,,,Harivaṃśoddyota
Harivilāsa,हरिविलास,,,,,Harivilāsa
Hastagaurīvrata,हस्तगौरीव्रत,Puranas,,,Puranas,
Hastagaurīvratakathā,हस्तगौरीव्रतकथा,Puranas,,,Puranas,
Hastarekhā,हस्तरेखा,,,,,Hastarekhā
Hastarekhāvicāraṇa,हस्तरेखाविचारण,,,,,Hastarekhāvicāraṇa
Hastāmalakagranthaṭīkā,हस्तामलकग्रन्थटीका,,,,,Hastāmalakagranthaṭīkā
Hastāmalakastotra,हस्तामलकस्तोत्र,,,,,Hastāmalakastotra
Haṭhapradīpika,हठप्रदीपिक,,,,,Haṭhapradīpika
Hetvābhāsa,हेत्वाभास,Gādādharī,,,Gādādharī,
Hetvābhāsa,हेत्वाभास,,,,,Hetvābhāsa
Hiṅgulanāmalakṣaṇa,हिङ्हुलनामलक्षण,,,,,Hiṅgulanāmalakṣaṇa
Homapaddhati,होमपद्धति,Puranas,,,Puranas,
Horoscope roll,जन्मपत्त्रिका,,,,,Horoscope roll
Hotṛ rites,,,,,,Hotṛ rites
Hārītapraṇīta,हारीतप्रणीत,,,,,Hārītapraṇīta
Hārītasmṛti,हारीतस्मृति,,,,,Hārītasmṛti
Hāyanaratna,हायनरत्न,,,,,Hāyanaratna
Hṛdaya,वरदगणेशसहस्रनामस्तोत्र,Tantras,,,Tantras,
Idam pustakaviṣṇur divyasahasranāmastotraprārambhaḥ,इदम् पुस्तकविष्णुर् दिव्यसहस्रनामस्तोत्रप्रारम्भः,Mahābhārata,महाभारत,,Mahābhārata,
Indiraikādaśī,इन्दिरैकादशी,,,,,Indiraikādaśī
Indrākṣīstotra,इन्द्राक्षीस्तोत्र,Puranas,,,Puranas,
Indrākṣīstotra,इन्द्राक्षीस्तोत्र,,,,,Puranas
Indrāya dvādaśanṛmedha,इन्द्रायद्वादशनृमेध,,,,,Indrāya dvādaśanṛmedha
Iti vedastutau śrīdharīyaṭīkāvyākhyā,इति वेदस्तुतौ श्रीधरीयटीकाव्याख्या,,,,,Iti vedastutau śrīdharīyaṭīkāvyākhyā
Itihāsasamuccayabahulāvyāghrasaṃvādasamāptamiti,इतिहाससमुच्चयबहुलाव्याघ्रसंवादसमाप्तमिति,Itihāsasamuccaya,इतिहाससमुच्चय,,Itihāsasamuccaya,
Itiśrībhagavadgītāprārambhaḥ,इतिश्रीभगवद्गीताप्रारंभः,Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,
Itiśrīmahābhārateśatasāhasryasaṃhitāyāṃ śāntiparvaṇibhīṣmapitāmahaproktaḥ stavarājaḥ samāpta[ḥ,इतिश्रीमहाभारतेशतसाहस्र्यसंहितायां शान्तिपर्वणिभीष्मपितामहप्रोक्त स्तवराज समाप्त,Mahābhārata,महाभारत,,Mahābhārata,
Itiśrīmahābhārateśotirājadharmestavarājaḥ Bhīṣmastavarājasaṃpūrṇaḥ samāptaḥ,इतिश्रीमहाभारतेशोतिपर्वणिराजधर्मेस्तवराज भीष्मस्तवराजसंपूर्ण समाप्त,Mahābhārata,महाभारत,,Mahābhārata,
Itiśrīmahābhārateśāntiparvaṇimokṣadharmaparvaṇi aṣṭatriṃśadadhikatriśatamodhyāyaḥ,इतिश्रीमहाभारतेशान्तिपर्वणिमोक्षधर्मपर्वणि अष्टत्रिंशदद्यिकत्रिशतमोध्यायः,Mahābhārata,महाभारत,,Mahābhārata,
Iśopaniṣad,इशोपनिषद्,Upanishads,,,Upanishads,
Iśopaniṣadvyākhyā,इशोपनिषद्व्याख्या,,,,,Iśopaniṣadvyākhyā
Iśāvāsya,ईशावास्य,Upanishads,,,Upanishads,
Iṣe tvā ūrjje tvā,इषे त्वा ऊर्ज्जे त्वा,Vedas,,,Vedas,
Jaganmohana,जगन्मोहन,,,,,Jaganmohana
Jaiminisūtra,जैमिनिसूत्र,Jaiminisūtra,,,Jaiminisūtra,
Jaiminīyanyāyamālāvistara,जैमिनीयन्यायमालाविस्तर,Nyāyamālāvistara,,,Nyāyamālāvistara,
Jaiminīyopadeśasūtra,जैमिनीयोपदेशसूत्र,Jaiminisūtra,,,Jaiminisūtra,
Jain sūtra,,,,,,Jain sūtra
Jalāśayotsargaprayoga,जलाशयोत्सर्गप्रयोग,,,,,Jalāśayotsargaprayoga
Janmāṣṭamīvrata,जन्माष्टमीव्रत,,,,,Janmāṣṭamīvrata
Janmāṣṭamīvratakathā,जन्माष्टमीव्रतकथा,Puranas,,,Puranas,
Janmāṣṭamīvratodyāpana,जन्माष्टमीव्रतोद्यापन,Puranas,,,Puranas,
Japaśaṃkarapārvatīpate,जपशंकरपार्वतीपते,,,,,Japaśaṃkarapārvatīpate
JayalakṣmīṭIkā,जयलक्ष्मीटीका,,,,,JayalakṣmīṭIkā
Jotiṣabālabodha,ज्योतिषबालबोध,,,,,Jotiṣabālabodha
Jvaraharastotraprārambhaḥ,ज्वरहरस्तोत्रप्रारम्भः,Puranas,पुराण,,Puranas,
Jvaraśānti,ज्वरशान्ति,,,,,Jvaraśānti
Jyautiṣaviṣayakagrantha,ज्यौतिषविषयकग्रन्थ,,,,,Jyautiṣaviṣayakagrantha
Jyotisāgagrantha,ज्योतिसागग्रन्थ,,,,,Jyotisāgagrantha
Jyotiṣa,ज्योतिष,,,,,Jyotiṣa
Jyotiṣasaṃgraha,ज्योतिषसंग्रह,,,,,Jyotiṣasaṃgraha
Jyotiṣkedāra,ज्योतिष्केदार,,,,,Jyotiṣkedāra
Jyotiṣṭoma,ज्योतिष्टोम,,,,,Jyotiṣṭoma
Jñānabodhaprakaraṇa,ज्ञानबोधप्रकरण,,,,,Jñānabodhaprakaraṇa
Jñānamañjarī,ज्ञानमञ्जरी,,,,,Jñānamañjarī
Jñānanaukā,ज्ञाननौका,,,,,Jñānanaukā
Jñāneśvaraprokta nārāyaṇaśakunāvalī,ज्ञानेश्वरप्रोक्त नारायणशकुनावली,Puranas,,,Puranas,
Jñānāmṛtaśrāvaṇīmantra,ज्ञानामृतश्रावणीमन्त्र,Puranas,,,Puranas,
Jābālopaniṣad,जाबालोपनिषद्,,,,,Jābālopaniṣad
Jābālopaniṣaddīpikā,जाबालोपनिषद्दीपिका,,,,,Jābālopaniṣaddīpikā
Jāgadīśī samānyalakṣaṇa,जागदीशी समान्यलक्षण,,,,,Jāgadīśī samānyalakṣaṇa
Jāgādīśīṭīkā,जागदीशीटीका,,,,,Jāgādīśīṭīkā
Jānakīkavaca,जानकीकवच,Puranas,,,Puranas,
Jānakīpariṇaya,जानकीपरिणय,,,,,Jānakīpariṇaya
Jānakīsahasranāmastotra,जानकीसहस्रनामस्तोत्र,,,,,Jānakīsahasranāmastotra
Jānakīstavarājavarṇanāma,जानकीस्तवराजवर्णनाम,Pāñcarātra,,,Pāñcarātra,
Jātakābharaṇa,जातकाभरण,,,,,Jātakābharaṇa
Jātakābharaṇa,जातकाभरण,Jākābharaṇa,,,Jākābharaṇa,
Jātakālaṃkārakarman,जातकालंकारकर्मन्,,,,,Jātakālaṃkārakarman
Jātakālaṅkāra,जातकालङ्कार,,,,,Jātakālaṅkāra
Jātakālaṅkāravartma,जातकालङ्कार,,,,,Jātakālaṅkāravartma
Jīvanmuktisādhana,जीवन्मुक्तिसाधन,,,,,Jīvanmuktisādhana
Jīvanmuktiviveka,जीवन्मुक्तिविवेक,,,,,Jīvanmuktiviveka
Kadalīvratakathā,कदलीव्रतकथा,Puranas,,,Puranas,
Kaivalya upaniṣad,कैवल्य उपनिषद्,Upanishads,,,Upanishads,
Kaivalyopaniṣad,कैवल्योपनिषद्,Upanishads,,,Upanishads,
Kaivalyopaniṣad dīpikā,कैवल्योपनिषद् दीपिका,,,,,Kaivalyopaniṣad dīpikā
Kalibhaviṣya,कलिभविष्य,Puranas,,,Puranas,
Kalpalatā,कल्पलता,,,,,Kalpalatā
Kammavācā,,Tipiṭaka,,,Tipiṭaka,
Kanyasthakṛṣṇaveṇītirthavīdhīmahatmya,कन्यस्थकृष्णवेणीतिर्थवीधीमहत्म्य,,,,,Kanyasthakṛṣṇaveṇītirthavīdhīmahatmya
Kapilaṣaṣṭhīvrata,कपिलषष्ठीव्रत,,,,,Kapilaṣaṣṭhīvrata
Kapilācāryasūtrāṇi,कपिलाचार्यसूत्राणि,Sāṅkhyasūtra,,,Sāṅkhyasūtra,
Kapilāṣaṣṭhīvidhāna,कपिलाषष्ठीविधान,Puranas,,,Puranas,
Karavīramāhātmya,करवीरमाहात्म्य,Puranas,,,Puranas,
"Karavīramāhātmya, 1-19","करवीरमाहात्म्य, १-१९",Puranas,,,Puranas,
Karkaṭīvrata,कर्कटीव्रत,Puranas,,,Puranas,
Karmaprakāśikāvṛtti,कर्मप्रकाशिकावृत्ति,,,,,Karmaprakāśikāvṛtti
Karmaviśeṣa,,,,,,Karmaviśeṣa
Karuṇāmṛta,करुणामृत,Puranas,पुराण,,Puranas,
Kathitaikādaśīpauṣaśuklapakṣasya,कथितैकादशीपौषशुक्लपक्षस्य,,,,,Kathitaikādaśīpauṣaśuklapakṣasya
Kathitaṃ tava gāṅgeyaḥ,कथितं तव गाङ्गेयः,Puranas,,,Puranas,
Kaukilyāmaitrāvaruṇaprayoga,कौकिल्यामैत्रावरुणप्रयोग,,,,,Kaukilyāmaitrāvaruṇaprayoga
Kaukilīkarman,कौकिलीकर्मन्,,,,,Kaukilīkarman
Kaupīnapañcaka,कौपीनपञ्चक,,,,,Kaupīnapañcaka
Kaustubhānusārīprāyaścittaprayoga,कौस्तुभानुसारीप्रायश्चित्तप्रयोग,,,,,Kaustubhānusārīprāyaścittaprayoga
Kautukacintāmaṇi,कौतुकचिन्तामणि,,,,,Kautukacintāmaṇi
Kautukalīlāvatī,कौतुकलीलावती,Siddhāntaśiromaṇi,,,Siddhāntaśiromaṇi,
Kauśipañcamīstavarāja,कौशिपञ्चमीस्तवराज,Tantras,,,Tantras,
Kauṣītakibrāhmaṇopaniṣad,कौषीतकिब्राह्मणोपनिषद्,Upanishads,,,Upanishads,
Kauṣītakibrāhmaṇopaniṣad dīpikā,कौषीतकिब्राह्मणोपनिषद्दीपिका,,,,,Kauṣītakibrāhmaṇopaniṣad dīpikā
Kauṣītakibrāhmaṇāraṇyaka,कौषीतकिब्राह्मणारण्यक,,,,,Kauṣītakibrāhmaṇāraṇyaka
Kavaca,कवच,Vedas,,,Vedas,
Kavikalpadruma,कविकल्पद्रुम,,,,,Kavikalpadruma
Kavikarpaṭīkā,कविकर्पटीका,,,,,Kavikarpaṭīkā
Kavirahasya,कविरहस्य,,,,,Kavirahasya
Kaṭha,कठ,Upanishads,,,Upanishads,
Kaṭhakopaniṣad,कठकोपनिषद्,Upanishads,,,Upanishads,
Kaṭhavalyopaniṣad,कठवल्योपनिषद्,Upanishads,,,Upanishads,
Kaṭhavupaniṣad,कठवुपनिषद्,Upanishads,,,Upanishads,
Kaṭhopaniṣad,कठोपनिषद्,Upanishads,,,Upanishads,
Kenopaniṣad,केनोपनिषद्,Upanishads,,,Upanishads,
Kenopaniṣadbhāṣya,प्रश्नोपनिषद्भाष्य,,,,,Kenopaniṣadbhāṣya
Keralījātaka,केरलीजातक,,,,,Keralījātaka
Keśavanārāyaṇamādhavagoviṃda,केशवनारायणमाधवगोविंद,,,,,Keśavanārāyaṇamādhavagoviṃda
Keśavapaddhati,केशवपद्धति,,,,,Keśavapaddhati
Keśvapaddhati udāharaṇa,केशवपद्धति उदाहरण,,,,,Keśvapaddhati udāharaṇa
Khaṇḍakhaṇḍanakhādya,खण्डखण्डनखाद्य,,,,,Khaṇḍakhaṇḍanakhādya
Kirātārjunīya,घण्टापथ,Kirātārjunīya,,,Kirātārjunīya,
Kirātārjunīya,किरातार्जुनीय,,,,,Kirātārjunīya
Kirātārjunīya,किरातार्जुनीय,Kirātārjunīya,,,Kirātārjunīya,
Kirāṭaṭīkā,किराटटीका,Ghaṇṭāpatha,,,Ghaṇṭāpatha,
Kojāgaravratakathāpūjā,कोजागरव्रतकथापूजा,,,,,Kojāgaravratakathāpūjā
Kojāgarīkathā,कोजागरीकथा,,,,,Kojāgarīkathā
Kokilapūjana,कोकिलपूजन,,,,,Kokilapūjana
Kokilasmṛti,कोकिलस्मृति,,,,,Kokilasmṛti
Kokilāvrata,कोकिलाव्रत,,,,,Kokilāvrata
Kośaviveka,कोशविवेक,Pañcadaśī,,,Pañcadaśī,
Koṣṭhakacintāmaṇi,कोष्ठचिन्तामणि,,,,,Koṣṭhakacintāmaṇi
Koṣṭhakā,कोष्ठका,,,,,Koṣṭhakā
Kumārasambhava,कुमारसम्भव,,,,,Kumārasambhava
Kumārasambhava,कुमारसम्भव,Kumārasambhava,,,Kumārasambhava,
Kumārasambhavalaghuṭīlā sarga 8,कुमारसम्भवलघुटीका सर्ग ८,,,,,Kumārasambhavalaghuṭīlā sarga 8
Kumārasaṃhitā,कुमारसंहिता,,,,,Kumārasaṃhitā
Kuntyuktastotra,कुन्त्युक्तस्तोत्र,,,,,Kuntyuktastotra
Kuntāpādhyāya,कुन्तापाध्याय,Vedas,,,Vedas,
Kuntāpādhyāya,,Vedas,,,Vedas,
Kuvalayānanda,कुवलयानन्द,,,,,Kuvalayānanda
Kuśmāṇḍīvrata,कुश्माण्डीव्रत,,,,,Kuśmāṇḍīvrata
Kuṇḍakalpadruma,कुण्डकल्पद्रुम,,,,,Kuṇḍakalpadruma
Kuṭasthadīpa,कुटस्थदीप,Pañcadaśī,,,Pañcadaśī,
Kādambarīsāra,कादम्बरीसार,,,,,Kādambarīsāra
Kālacakra,कालचक्र,,,,,Kālacakra
Kālajñāna,कालज्ञान,,,,,Kālajñāna
Kālajātaka,कालजातक,,,,,Kālajātaka
Kālakācaryakathā,कालकाचर्यकथा,,,,,Kālakācaryakathā
Kālanirṇaya,कालनिर्णय,,,,,Kālanirṇaya
Kālanirṇayaprakāśa,कालनिर्णयप्रकाश,,,,,Kālanirṇayaprakāśa
Kālaprabodha,कालप्रबोध,,,,,Kālaprabodha
Kālikāsahasranāmastotra,कालिकासहस्रनामस्तोत्र,Tantras,,,Tantras,
Kālāgnirudropaniṣad,कालाग्निरुद्रोपनिषद्,Puranas,,,Puranas,
Kālāgnirudropaniṣad,कालाग्निरुद्रोपनिषद्,,,,,Puranas
Kālāgnirudropaniṣad dīpikā,कालाग्निरुद्रोपनिषद्दीपिका,,,,,Kālāgnirudropaniṣad dīpikā
Kālāmṛtivivṛti,कालामृतविवृति,,,,,Kālāmṛtivivṛti
Kāmakalāvilāsa,,,,,,Kāmakalāvilāsa
Kāmaratna,कामरत्न,,,,,Kāmaratna
Kāmyeṣṭi,काम्येष्टि,,,,,Kāmyeṣṭi
Kārakaprakaraṇa,कारकप्रकरण,Siddhāntakaumudī,,,Siddhāntakaumudī,
Kārakavibhakti,कारकविभक्ति,,,,,Kārakavibhakti
Kārikāvalī,कारिकावली,Bhāṣāpariccheda,,,Bhāṣāpariccheda,
Kārtavīryārjunadīpadānaprayoga,,,,,,Kārtavīryārjunadīpadānaprayoga
Kārtavīryārjunakavaca,,Tantras,,,Tantras,
Kārtikamāhātmya,कार्तिकमाहात्म्य,Puranas,,,Puranas,
Kārtikāsāra,कार्तिकासार,,,,,Kārtikāsāra
Kāthakalpalatākaviśikṣāvṛtti,काव्यकल्पलताकविशिक्षावृत्ति,Kāvyakalpalatāvr̥tti,,,Kāvyakalpalatāvr̥tti,
Kātyāyana proktā sarvānukramaṇikā,,Vedas,,,Vedas,
Kāvyalaṃkāravṛtti,काव्यलंकारवृत्ति,,,,,Kāvyalaṃkāravṛtti
Kāvyapradīpaprabhā,काव्यप्रदीपप्रभा,,,,,Kāvyapradīpaprabhā
Kāvyaprakāśavyākhyā,काव्यप्रकाशव्याख्या,,,,,Kāvyaprakāśavyākhyā
Kāvyarākṣasa,काव्यराक्षस,,,,,Kāvyarākṣasa
Kāśikāvṛtti,काशिकावृत्ति,,,,,Kāśikāvṛtti
Kāśīkhaṇḍa,काशीखण्ड,Puranas,,,Puranas,
Kāśīmahātma,काशीमहात्म,Tantras,,,Tantras,
Kāśīmahātmaya,काशीमाहात्म्य,Tantras,,,Tantras,
Kāśīmāhātmya,काशीमाहात्म्य,Puranas,,,Puranas,
Kāśīprakaraṇa,काशीप्रकरण,Tristhalīsetu,,,Tristhalīsetu,
Kāśīrahasya,काशीरहस्य,Puranas,,,Puranas,
Kāśīrahasyaṭīka adhyāya 26,काशीरहस्यटीक अध्याय २६,,,,,Kāśīrahasyaṭīka adhyāya 26
Kāśīsārasaṃgraha,काशीसरसंग्रह,,,,,Kāśīsārasaṃgraha
Kāśīvihārapuṣkariṇī,काशीविहारपुष्करिणी,,,,,Kāśīvihārapuṣkariṇī
Kāṭhavallībhāṣya,काठवल्लीभाष्य,,,,,Kāṭhavallībhāṣya
Kāṭhopaniṣad,कठोपनिषद्,Upanishads,,,Upanishads,
Kūpaśāntividhi,कूपशान्तिविधि,,,,,Kūpaśāntividhi
Kūṭasthadīpa,कूटस्थदीप,Pañcadaśī,,,Pañcadaśī,
Kṛdantaprakriyā,कृदन्तप्रक्रिया,Siddhāntakaumudī,,,Siddhāntakaumudī,
Kṛtvaratnāvalī,कृत्वरत्नावली,,,,,Kṛtvaratnāvalī
Kṛtyamañjarī,कृत्यमञ्जरी,,,,,Kṛtyamañjarī
Kṛtyaratnāvalī,कृत्यरत्नावली,,,,,Kṛtyaratnāvalī
Kṛtyatattva,কৃত্যতত্ত্ৱ,,,,,Kṛtyatattva
Kṛṣṇakvaca,कृष्णक्वच,Puranas,,,Puranas,
Kṛṣṇaniryāṇa,कृष्णनिर्याण,Puranas,पुराण,,Puranas,
Kṛṣṇastotra,कृष्णस्तोत्र,Puranas,,,Puranas,
Kṛṣṇāṣṭottarasahasranāma,कृष्णाष्टोत्तरसहस्रनाम,,,,,Kṛṣṇāṣṭottarasahasranāma
Kṣauravidhi,क्षौरविधि,,,,,Kṣauravidhi
Kṣoravidhi,क्षोरविधि,,,,,Kṣoravidhi
Laghu ṛgvidhāna,लघु ऋग्विधान,,,,,Laghu ṛgvidhāna
Laghucintāmaṇi,लघुचिन्तामणि,,,,,Laghucintāmaṇi
Laghucintāmaṇisāriṇī,लघुचिन्तामणिसारिणी,,,,,Laghucintāmaṇisāriṇī
Laghugītā,लघुगीता,,,,,Laghugītā
Laghujātaka,लघुजातक,,,,,Laghujātaka
Laghukaumudī,लघुकौमुदी,Laghusiddhāntakaumudī,,,Laghusiddhāntakaumudī,
Laghumādhavīya,लघुमाधवीय,,,,,Laghumādhavīya
Laghunyāsa,लघुन्यास,,,,,Laghunyāsa
Laghusiddhāntakaumudī,लघुसिद्धान्तकौमुदी,,,,,Laghusiddhāntakaumudī
Laghusiddhāntakaumudī avyayāni,लघुसिद्धान्तकौमुदी अव्ययानि,,,,,Laghusiddhāntakaumudī avyayāni
Laghutithicintāmaṇisāriṇī,लघुतिथिचिन्तामणिसारिणी,,,,,Laghutithicintāmaṇisāriṇī
Laghuvaiyākaraṇasiddhāntamañjūṣā,लघुवैयाकरणसिद्धान्तमञ्जूषा,Vaiyākaraṇasiddhāntalaghumañjūṣā,,,Vaiyākaraṇasiddhāntalaghumañjūṣā,
Laghuvākyavṛtti,लघुवाक्यवृत्ति,,,,,Laghuvākyavṛtti
Laghuvākyavṛtti and Śvetāśvetaropaniṣad,,,,,,Laghuvākyavṛtti and Śvetāśvetaropaniṣad
Laghuvākyavṛttiprakāśikā,लघुवाक्यवृत्तिप्रकाशिका,,,,,Laghuvākyavṛttiprakāśikā
Laghuśabdaratna,लघुशब्दरत्न,,,,,Laghuśabdaratna
Laghuśabdenduśekhara,लघुशब्देन्दुशेखर,,,,,Laghuśabdenduśekhara
Lagnacandrikā,लग्नचन्द्रिका,,,,,Lagnacandrikā
Laguśabdenduśekhara,लगुशब्देन्दुशेखर,,,,,Laguśabdenduśekhara
Lakṣahomapaddhati,लक्षहोमपद्धति,,,,,Lakṣahomapaddhati
Lakṣahomapaddhatiprayoga,लक्षहोमपद्धतिप्रयोग,,,,,Lakṣahomapaddhatiprayoga
Lakṣmyāṣṭakastotra,लक्ष्म्याष्टकस्तोत्र,,,,,Lakṣmyāṣṭakastotra
Lakṣmīnṛsiṅhaprayogapārijāta,लक्ष्मीनृसिङ्हप्रयोगपारीजात,,,,,Lakṣmīnṛsiṅhaprayogapārijāta
Lakṣmīnṛsṃhastotra,लक्ष्मीनृसिंहस्तोत्र,Puranas,,,Puranas,
Lakṣmīsahasranāmastotra,लक्ष्मीसहस्रनामस्तोत्र,Tantras,,,Tantras,
Lakṣmīstotra,लक्ष्मीस्तोत्र,,,,,Puranas
Lakṣmīstotra,लक्ष्मीस्तोत्र,Puranas,,,Puranas,
Lakṣmīsūkta,लक्ष्मीसूक्त,,,,,Lakṣmīsūkta
