script_note_as_recorded,script_note,script_label,aat_label,aat_id,wikidata_label,wikidata_qid
"Script: Gothic rotunda, Notarial script.","Gothic rotunda, Notarial script",Gothic rotunda,rotunda (script),300417901,Rotunda,Q1418954
Script: Written by a single hand in Gothic cursive with features of Bâtarde.,Written by a single hand in Gothic cursive with features of Bâtarde,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script: Written by at least two hands in Gothic rotunda.,Written by at least two hands in Gothic rotunda,Gothic rotunda,rotunda (script),300417901,Rotunda,Q1418954
Script: Late Caroline minuscule,Late Caroline minuscule,late Caroline minuscule,Caroline minuscule,300195207,Carolingian minuscule,Q785729
Script: Anglicana formata,Anglicana formata,Anglicana,,,Anglicana,Q55380632
Script: Informal gothic bookhand,Informal gothic bookhand,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Gothic; noting hand for the informal gloss,Gothic; noting hand for the informal gloss,Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: B́tarde.,B́tarde,Batarde,bastarda,300210195,Bastarda,Q32267
"Script: Written in a cursive script, by multiple hands, including that of Tommaso Ridolfi.","a cursive script, by multiple hands, including that of Tommaso Ridolfi",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a cursive script, by multiple hands, including that of Alamanno Gerardi.","a cursive script, by multiple hands, including that of Alamanno Gerardi",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a cursive script, by multiple hands, including that of Nicolo Galiotti.","a cursive script, by multiple hands, including that of Nicolo Galiotti",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in various italic cursive hands.,various italic cursive hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script:  Written in multiple cursive hands.,multiple cursive hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a cursive document script by two different hands.,a cursive document script by two different hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a cursive script, by multiple hands, including that of Nicolo Mannelli.","a cursive script, by multiple hands, including that of Nicolo Mannelli",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a cursive script by a single hand. 17th-century[?] notes (f. [i] recto) in cursive script by a second hand.,a cursive script by a single hand 17th-century[?] notes (f [i] recto) in cursive script by a second hand,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a cursive script by a single hand, with f. [i] recto written in a later (17th-century?) cursive script.","a cursive script by a single hand, with f [i] recto written in a later (17th-century?) cursive script",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script:  Written in a cursive script, by multiple hands, including that of Alamanno di Bernardo de' Medici.","a cursive script, by multiple hands, including that of Alamanno di Bernardo de' Medici",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script:  Written in a German Gothic cursive script.,a German Gothic cursive script,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script:  Manuscript leaves written in a French semi-Gothic hand (Les Enluminures), with antiphons, responsories, and versicles written slightly smaller than lessons and prayers.","Manuscript leaves written in a French semi-Gothic hand (Les Enluminures), with antiphons, responsories, and versicles written slightly smaller than lessons and prayers",Semigothic script,Protogothic,300379143,Protogothic,Q33247835
"Script:  Written in cursive script, by multiple hands.",cursive script by multiple hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script:  Written in cursive script with a few documents in italic script, by multiple hands.","cursive script with a few documents in italic script, by multiple hands",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script:  Written in various italic scripts.,various italic scripts,italic script,,,Italic script,Q6093538
Script:  Written in a variety of cursive hands.,a variety of cursive hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script:  Written in a 15th-century hybrid script (f. 1r-135v) and 17th-century cursive script (f. 136r-216r).,a 15th-century hybrid script (f 1r-135v) and 17th-century cursive script (f 136r-216r),cursive script,cursive scripts (general scripts by form),300375118,Gothic minuscule,Q30894934
Script:  Written in a semi-cursive humanistic bookhand (Les Enluminures).,a semi-cursive humanistic bookhand (Les Enluminures),semi-cursive humanist script,humanistic scripts,300210204,humanist minuscule,Q3953117
Script:  Written in a late Gothic book script.,a late Gothic book script,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script:  Written in a German Gothic script by Georg Keysser (f. 96r).,a German Gothic script by Georg Keysser (f 96r),Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Manuscript letters written in Gothic cursive script.,Manuscript letters written in Gothic cursive script,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script: Written in humanistic script, perhaps in two or three hands.","humanistic script, perhaps in two or three hands",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script:  Latin written in a Gothic hybrid script and German written in a cursive script, by at least 2 hands (f. 1-72, 73-86).","Latin written in a Gothic hybrid script and German written in a cursive script, by at least 2 hands (f 1-72, 73-86)",hybrid script,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script:  Written in a cursive script, possibly in the hand of the author (Zacour-Hirsch).","a cursive script, possibly in the hand of the author (Zacour-Hirsch)",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script:  Written in a Gothic book script, except for a later addition in a Gothic cursive script (f. 65v).","a Gothic book script, except for a later addition in a Gothic cursive script (f 65v)",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script:  Written in a Gothic book script, in a larger size for main text and a smaller size for the gloss.","a Gothic book script, in a larger size for main text and a smaller size for the gloss",Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script:  Written in a humanistic script by a single hand; some annotations in the printed works by the same hand and other notations (often V.G.F. (?)) by another, perhaps later, hand .","a humanistic script by a single hand; some annotations in the printed works by the same hand and other notations (often VGF (?)) by another, perhaps later, hand",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script:  Annotations written in Gothic cursive script by Leonhard Freisleben (signature, f. 26r) and by L. Trochopolitanus in red ink (signature, f. 8r).","Annotations written in Gothic cursive script by Leonhard Freisleben (signature, f 26r) and by L Trochopolitanus in red ink (signature, f 8r)",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script:  Annotations written in Gothic cursive with some notes in a calligraphic script, in multiple hands.","Annotations written in Gothic cursive with some notes in a calligraphic script, in multiple hands",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script:  Written in a humanistic script, with the last poem written in a humanistic cursive or italic script (f. 16v).","a humanistic script, with the last poem written in a humanistic cursive or italic script (f 16v)",cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
Script:  Written in a protohumanistic script.,a protohumanistic script,semi-humanist script,humanistic scripts,300210204,humanist minuscule,Q3953117
"Script:  Written in cursive script by Bartolomé de las Casas (signature, f. 25r)","cursive script by Bartolomé de las Casas (signature, f 25r)",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script:  Written in Gothic script by at least 2 hands, one that of Monterillus Perutii (Peruzzi?; colophon, f. 34v; new hand begins, f. 35r), with marginal notes in additional hands.","Gothic script by at least 2 hands, one that of Monterillus Perutii (Peruzzi?; colophon, f 34v; new hand begins, f 35r), with marginal notes in additional hands",Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script:  Written in Gothic script, with versicles and responses in a slightly smaller Gothic script (f. 1r-1v).","Gothic script, with versicles and responses in a slightly smaller Gothic script (f 1r-1v)",Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script: Written in Sephardic semi-cursive script with headings in square script (Les Enluminures), partly in the hand of Abū al-Ḥasan Sa'ad ben Hibat Alla ben al-Ḥasan the physician (f. 17v).","Sephardic semi-cursive script with headings in square script (Les Enluminures), partly in the hand of Abū al-Ḥasan Sa'ad ben Hibat Alla ben al-Ḥasan the physician (f 17v)",Sephardic semi-cursive script,,,Solitreo,Q9078716
Script:  Written in semi-cursive Sephardic script (Cassuto).,semi-cursive Sephardic script (Cassuto),Sephardic semi-cursive script,,,Solitreo,Q9078716
"Script: Main text written in a humanistic script by a single hand, with later additions in cursive and italic scripts by multiple other hands.","Main text written in a humanistic script by a single hand, with later additions in cursive and italic scripts by multiple other hands",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Written in a humanist script.,a humanist script,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Written in a humanistic cursive script by a single hand. Scribe identifies himself as Gaspar on f. 56v and 143v.,a humanistic cursive script by a single hand Scribe identifies himself as Gaspar on f 56v and 143v,cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script: Written in a cursive notarial hand, except for Latin prologue in a rather formal, large Gothic hand.","a cursive notarial hand, except for Latin prologue in a rather formal, large Gothic hand",Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Written in several hands using a basically similar Anglicana formata script.,several hands using a basically similar Anglicana formata script,Anglicana,,,Anglicana,Q55380632
"Script: Written in two different Anglicana book hands.  Folios 1-145v are written in a single hand; a second, later scribe copied the remaining folios.","two different Anglicana book hands  Folios 1-145v are written in a single hand; a second, later scribe copied the remaining folios",Anglicana,,,Anglicana,Q55380632
"Script: Written in an Anglicana script, in a single hand. Some additional marginal notes are in 17th- to 19th-century hands.","an Anglicana script, in a single hand Some additional marginal notes are in 17th- to 19th-century hands",Anglicana,,,Anglicana,Q55380632
Script: Written in an English court script by a single hand.,an English court script by a single hand,secretary script,,,secretary hand,Q16933853
"Script: The text of the New Testament is written in a single hand.  Many of the other portions are written in different hands, all varieties of Anglicana script.","The text of the New Testament is written in a single hand  Many of the other portions are written in different hands, all varieties of Anglicana script",Anglicana,,,Anglicana,Q55380632
Script: Written in a Gothic cursive script by many different hands.,a Gothic cursive script by many different hands,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script: Written in various cursive scripts, with many of the sermons appearing to be in the same hand and the notes appearing to be in several other hands.","various cursive scripts, with many of the sermons appearing to be in the same hand and the notes appearing to be in several other hands",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in early 15th-century Anglicana script by 2 hands (f. 1-146, 147-159).","early 15th-century Anglicana script by 2 hands (f 1-146, 147-159)",Anglicana,,,Anglicana,Q55380632
"Script:  Written in French Gothic textualis script, probably by more than one hand, though it appears to be the work of a single scriptorium; quire Q is a later addition, written in a hybrid script.","French Gothic textualis script, probably by more than one hand, though it appears to be the work of a single scriptorium; quire Q is a later addition, written in a hybrid script",Gothic textualis,Gothic scripts,300195226,Gothic minuscule,Q30894934
"Script: Written in a humanistic script, mostly by one hand (except the section of the sermons on parchment, f. 157-167, and the story about the precepts of Saint Bonaventure, f. 200v-201v).","a humanistic script, mostly by one hand (except the section of the sermons on parchment, f 157-167, and the story about the precepts of Saint Bonaventure, f 200v-201v)",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in a single minuscule hand of the late 14th or 15th century (Notes of Thomas R. Adams, on file in the Library).","a single minuscule hand of the late 14th or 15th century (Notes of Thomas R Adams, on file in the Library)",minuscule script,minuscule,300194448,minuscule script,Q69523795
"Script: Written in a 16th-century humanistic script by a single hand, allegedly in the autograph of Pietro Aretino (seller's description, inside upper cover).","a 16th-century humanistic script by a single hand, allegedly in the autograph of Pietro Aretino (seller's description, inside upper cover)",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Written in italic and cursive scripts by multiple hands.,italic and cursive scripts by multiple hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a 15th-century Venetian cursive script, possibly in the single hand of Chabriello Paradixo (f. 50r).","a 15th-century Venetian cursive script, possibly in the single hand of Chabriello Paradixo (f 50r)",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a single cursive hand.,a single cursive hand,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a cursive script in the hand of Gianozzo Salviati.,a cursive script in the hand of Gianozzo Salviati,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a miniscule bookhand by a single hand, except for occasional corrections and additions. The text on f. 60r appears to be in a different hand.","a miniscule bookhand by a single hand, except for occasional corrections and additions The text on f 60r appears to be in a different hand",minuscule script,minuscule,300194448,minuscule script,Q69523795
Script: Written in various cursive scripts by several different hands.,various cursive scripts by several different hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a cursive script, in the hand of Carlo Lippi (f. 75v).","a cursive script, in the hand of Carlo Lippi (f 75v)",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a cursive humanistic script by many different hands.,a cursive humanistic script by many different hands,cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
Script: Written in a variety of humanistic and cursive scripts by many different hands.,a variety of humanistic and cursive scripts by many different hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in various humanistic scripts by different hands.,various humanistic scripts by different hands,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in a humanistic script by Andreas son of Bartolus de Lunigiana (colophon, f. 81v).","a humanistic script by Andreas son of Bartolus de Lunigiana (colophon, f 81v)",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in a humanistic script by a single hand. The few corrections (e.g., p. 4) might be in the same hand or a similar second hand.","a humanistic script by a single hand The few corrections (eg, p 4) might be in the same hand or a similar second hand",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Most entries written in a rapid italic script by Gisberto Orlandi.,Most entries written in a rapid italic script by Gisberto Orlandi,italic script,,,Italic script,Q6093538
"Script: Written in a humanistic script by what appears to be a single hand. Additions dated 1557 (f. 103v-105v) are themselves mostly in a single hand, except for the owner's note (f. 103r) and the poem (f. 110v).","a humanistic script by what appears to be a single hand Additions dated 1557 (f 103v-105v) are themselves mostly in a single hand, except for the owner's note (f 103r) and the poem (f 110v)",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in a humanistic script by a single hand, except possibly for the title and title-page subscription.","a humanistic script by a single hand, except possibly for the title and title-page subscription",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Written in a 15th-century Italian humanistic script by a single hand.,a 15th-century Italian humanistic script by a single hand,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in a variety of cursive scripts by many hands, with the earliest portions written in a rapid ""mercantile"" cursive script (typical 15th-century Florentine hand).","a variety of cursive scripts by many hands, with the earliest portions written in a rapid ""mercantile"" cursive script (typical 15th-century Florentine hand)",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a cursive script largely by a single hand.,a cursive script largely by a single hand,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a cursive script by a single hand, with notes in a later hand (f. i recto).","a cursive script by a single hand, with notes in a later hand (f i recto)",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a humanistic script by a single hand, except for the inscription at the end (f. 68v).","a humanistic script by a single hand, except for the inscription at the end (f 68v)",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in a cursive script by a single hand, possibly that of the author.","a cursive script by a single hand, possibly that of the author",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a 15th-century humanistic book script by a single hand.,a 15th-century humanistic book script by a single hand,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written a cursive script by more than one hand; some of the sections include interlinear and marginal corrections, comments, glosses, etc.","Written a cursive script by more than one hand; some of the sections include interlinear and marginal corrections, comments, glosses, etc",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in cursive script by different hands.,cursive script by different hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in several different cursive scripts.,several different cursive scripts,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a humanistic script in the hand of Brunetto D'Aldobrandino (colophon, f. 61v).","a humanistic script in the hand of Brunetto D'Aldobrandino (colophon, f 61v)",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Written in a single humanist book hand.,a single humanist book hand,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Written in a humanistic cursive script in the hand of Francesco Marcaldi (f. 4r).,a humanistic cursive script in the hand of Francesco Marcaldi (f 4r),cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script: Written in mercantesca script, probably by a single hand.","mercantesca script, probably by a single hand",mercantesca,,,Scrittura mercantesca,Q63526527
"Script: Written in a cursive script by a single hand, possibly in the autograph of the author.","a cursive script by a single hand, possibly in the autograph of the author",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a cursive script by a single hand.  Also includes assorted marginalia, at least some of which appear to be in a different hand.","a cursive script by a single hand  Also includes assorted marginalia, at least some of which appear to be in a different hand",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Original agreement (f. 1r-10v) written in a humanistic script by what appears to be a single hand; later additions in cursive script by various hands.,Original agreement (f 1r-10v) written in a humanistic script by what appears to be a single hand; later additions in cursive script by various hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a cursive script by a single hand; another hand appears responsible for the pen trials (with content related to Roman history) on the last leaf (f. 123v).,a cursive script by a single hand; another hand appears responsible for the pen trials (with content related to Roman history) on the last leaf (f 123v),cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a gothic bookhand.  The D'Ailly text is written by a different scribe than the Gerson texts.,a gothic bookhand  The D'Ailly text is written by a different scribe than the Gerson texts,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Written in a single cultivated humanist hand.  A few notes on f. 69v in a later hand.,a single cultivated humanist hand  A few notes on f 69v in a later hand,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: In a single informal cursive hand.,In a single informal cursive hand,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a humanistic cursive script, probably by a single hand. Initial spaces with guide letters left blank.","a humanistic cursive script, probably by a single hand Initial spaces with guide letters left blank",cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
Script: Written in a variety of cursive scripts by several hands on different papers.,a variety of cursive scripts by several hands on different papers,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a cursive script by two or more hands.,a cursive script by two or more hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a humanistic script, with final leaves (f. 91-95) in another, less formal hand.","a humanistic script, with final leaves (f 91-95) in another, less formal hand",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Written in cursive humanist script.,cursive humanist script,cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script: Written in cursive script in one hand, the same as that of Ms. Codex 460.","cursive script in one hand, the same as that of Ms Codex 460",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in italic and cursive scripts by two or more hands.,italic and cursive scripts by two or more hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in an italic script by one hand, with notes in a second hand dated 1535 (f. 23r-v, f. 349).","an italic script by one hand, with notes in a second hand dated 1535 (f 23r-v, f 349)",italic script,,,Italic script,Q6093538
"Script: Written in a semi-humanistic script, with comments in several different hands; pastedowns written in transitional script (or protogothic script).","a semi-humanistic script, with comments in several different hands; pastedowns written in transitional script (or protogothic script)",semi-humanist script,humanistic scripts,300210204,humanist minuscule,Q3953117
"Script: Written in various cursive scripts by multiple hands, including that of Bartolomeus de Velo Luxiane (f. 1r).","various cursive scripts by multiple hands, including that of Bartolomeus de Velo Luxiane (f 1r)",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in italic script, in one hand.","italic script, in one hand",italic script,,,Italic script,Q6093538
Script: Written in cursive script by various hands.,cursive script by various hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a cursive script by a single hand with corrections in at least one other hand.,a cursive script by a single hand with corrections in at least one other hand,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a cursive script by various hands; first two documents have the appearance of original documents, the remainder appear to be notarial or secretarial copies.","a cursive script by various hands; first two documents have the appearance of original documents, the remainder appear to be notarial or secretarial copies",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Italian notarial bookhand plus a number of later additions in 17th- and 18th-century hands.,Italian notarial bookhand plus a number of later additions in 17th- and 18th-century hands,notarial script,,,documentary hand,Q69525889
Script: Written in a Gothic cursive script in the hand of Johannes Vischer (p. 397).,a Gothic cursive script in the hand of Johannes Vischer (p 397),Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script: Written in humanistic and cursive scripts by multiple hands.,humanistic and cursive scripts by multiple hands,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a Gothic cursive script by multiple hands.,a Gothic cursive script by multiple hands,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script: Written in a Gothic cursive script in the hand of Johannes de Polna (colophon f. 54v).,a Gothic cursive script in the hand of Johannes de Polna (colophon f 54v),Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script: Written in a notarial cursive script.,a notarial cursive script,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in an Italian Gothic script; second work (f. 42v-49v) in the hand of Peregrinus de Sancto Vito (f. 49v).,an Italian Gothic script; second work (f 42v-49v) in the hand of Peregrinus de Sancto Vito (f 49v),Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Written in an Italian Gothic textualis script.,an Italian Gothic textualis script,Gothic textualis,Gothic scripts,300195226,Gothic minuscule,Q30894934
"Script: Written in various cursive scripts by many hands, on different sizes of paper.","various cursive scripts by many hands, on different sizes of paper",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a cursive script by a single hand. Space appears to have been allocated for headings which were never added. Marginal notes in a second hand.,a cursive script by a single hand Space appears to have been allocated for headings which were never added Marginal notes in a second hand,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a French lettre bâtarde (Zacour-Hirsch) by one or two hands.,a French lettre bâtarde (Zacour-Hirsch) by one or two hands,Batarde,bastarda,300210195,Bastarda,Q32267
"Script: Written in a German cursive script by one hand, except perhaps German prayers (f. 92r-94r) which appear to be in a second hand (Zacour-Hirsch), and some notes in a third hand signed ghy Aelle[?] (f. 4r, 90v).","a German cursive script by one hand, except perhaps German prayers (f 92r-94r) which appear to be in a second hand (Zacour-Hirsch), and some notes in a third hand signed ghy Aelle[?] (f 4r, 90v)",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
Script: Written in a Gothic book script with later additions in a variety of cursive scripts by many hands.,a Gothic book script with later additions in a variety of cursive scripts by many hands,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script: Written in a Gothic cursive script by a single hand, with notarial statement and owner note in two different hands (f. 59r-59v).","a Gothic cursive script by a single hand, with notarial statement and owner note in two different hands (f 59r-59v)",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script: Written in a single Gothic book hand with added texts (f. 24v-25r, 27r-28v) and some corrections in a hybrid script written by a second hand.","a single Gothic book hand with added texts (f 24v-25r, 27r-28v) and some corrections in a hybrid script written by a second hand",Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script:  Written in 2 humanistic hands, items 1-3 in first hand; item 4 in a second hand, with headings and marginal notations in several later hands, in Latin and Italian.","2 humanistic hands, items 1-3 in first hand; item 4 in a second hand, with headings and marginal notations in several later hands, in Latin and Italian",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Written in a cursive humanistic script by a single hand.,a cursive humanistic script by a single hand,cursive humanist script,humanistic cursive,300210205,humanistic cursive,Q33259624
"Script: Written in a Gothic book script by a single hand. Marginal notes and corrections in other, later hands, some notations have been trimmed.","a Gothic book script by a single hand Marginal notes and corrections in other, later hands, some notations have been trimmed",Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Written in a Gothic cursive script by a single hand. Marginal notes indicating topics of meditations in a second hand.,a Gothic cursive script by a single hand Marginal notes indicating topics of meditations in a second hand,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script: Written in a Gothic hybrid script by two hands with annotations on the final folio and prayer on the front pastedown in later hands.,a Gothic hybrid script by two hands with annotations on the final folio and prayer on the front pastedown in later hands,hybrid script,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Written in a Gothic script by a single hand.,a Gothic script by a single hand,Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Written in a humanist hand with later additions to liturgical calendar in a different hand.,a humanist hand with later additions to liturgical calendar in a different hand,humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
"Script: Written in a semi-cursive Gothic script in a single hand, except for f. 189r-190v in a second hand.","a semi-cursive Gothic script in a single hand, except for f 189r-190v in a second hand",semi-cursive Gothic script,Gothic scripts,300195226,Gothic minuscule,Q30894934
"Script: Written in cursive script by at least 5 different hands, perhaps at different dates after 1563, in Italy [etc.?].  Item 2 was folded, with address on outside leaf.","cursive script by at least 5 different hands, perhaps at different dates after 1563, in Italy [etc?]  Item 2 was folded, with address on outside leaf",cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in 1 Gothic hand or 2 similar Gothic hands, commentary and marginal notes in another, nearly contemporary hand, additional notes in later hands.","1 Gothic hand or 2 similar Gothic hands, commentary and marginal notes in another, nearly contemporary hand, additional notes in later hands",Gothic script,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script: Written in a Gothic book script by a single hand, with marginal commentary in several additional hands that completely fills most pages between the lines of text and to the margins.","a Gothic book script by a single hand, with marginal commentary in several additional hands that completely fills most pages between the lines of text and to the margins",Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Written in a Gothic cursive script by several different hands.,a Gothic cursive script by several different hands,Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script: Written in a Gothic cursive script in a single hand, with a second, slightly later hand beginning on f. 120v.","a Gothic cursive script in a single hand, with a second, slightly later hand beginning on f 120v",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
"Script: Written in a Gothic cursive script possibly in the hand of Frater Rudolphus Rasser Donatus (inscription, f. 2v-3r).","a Gothic cursive script possibly in the hand of Frater Rudolphus Rasser Donatus (inscription, f 2v-3r)",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
Script: Written in a Gothic hybrid script by at least 5 different hands.,a Gothic hybrid script by at least 5 different hands,hybrid script,Gothic scripts,300202638,Gothic minuscule,Q30894934
"Script: Written in a humanistic script by a single hand, except inscriptions (flyleaf [i] recto and f. 158r-v).","a humanistic script by a single hand, except inscriptions (flyleaf [i] recto and f 158r-v)",humanist script,humanistic scripts,00210204,humanist minuscule,Q3953117
Script: Written in Gothic book script by 3 different hands.,Gothic book script by 3 different hands,Gothic bookhand,Gothic scripts,300202638,Gothic minuscule,Q30894934
Script: Written in a 15th-century German cursive script by a single hand.,a 15th-century German cursive script by a single hand,cursive script,cursive scripts (general scripts by form),300375118,cursive,Q1079418
"Script: Written in a Gothic cursive script by 2 different hands (f. 1r-139v, 139v-149v).","a Gothic cursive script by 2 different hands (f 1r-139v, 139v-149v)",Gothic cursive script,Gothic cursive,300210180,Gothic cursive,Q33247994
