name_as_recorded,role,name_agr,source_authority_uri,authorized_name,instance_of,structured_value
"Edwin Tross; Henry Hucks Gibbs; Baron Aldenham; bequest of James K Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 35, 2MS QA451 E8.",former owner,,,,,
"Ellis, John Henry, 1839 or 1840-1912",former owner,,,,,
"Entered the library between 1877 and 1900 as suggested by the hyphenated form of the city name in the library stamp on f. 1 as ""The College of the City of New-York.""",former owner,,,,,
"Erzurūmī, Ibrāhīm ibn ʻUthmān ḥaqqī, d. 1781.",author,,,,,
"Estmond, John",former owner,,,,,
"Eucherius, archbishop of Lyons",author,,,,,
Eusebius,author,,,,,
"Fārūqī, Fatḥ Allāh ibn Muṣṭafá ibn ʻAbd al-Shakūr, active approximately 16th century-17th century.",author,فاروقى، فتح الله بن مصطفى بن عبد الشکور، active approximately 16th century-17th century,,,,
"Fāsī, Muḥammad ibn ʻAbd al-Wāḥid ibn ʻAbd al-Qādir,",scribe.,فاسي، محمد بن عبد الواحد بن عبد القادر.,,,,
"Fenâî, Laʻlî Meḥmed.",author,فنائى، لعلى محمد.,,,,
"Fenn, John, 1739-1794,",former owner.,,,,,
"Feutrier, Imbert,",compiler.,,,,,
"Firenze, Andrea de, 15th cent.,",illuminator.,,,,,
"Fitzwilliam, George W",former owner,,,,,
Former binding of 17th century collection of sermons from Leipzig,former owner,,,,,
"Formerly leaves 43 and 89 in the parent manuscript; gift of W.P. Albrecht, acquired in 1964.",former owner,,,,,
"Formery used as a wrapper for a book; inscribed, 18th(?)-century: ""Memoriam fecit Mirabilium""(?), ""Sanatorum Regularirum"", and ""Monsieur della Caja""(?)",former owner,,,,,
"Found and acquired probably in the region of Rome by George N. Olcott (1869-1912), American classicist in Rome; given by his widow to the American Academy in Rome by 1927; sold by the Academy through B. l. Ullman to George A. Poole in 1951, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Found and first published by Anton Birlinger (1834-1891, of Bonn) who describes it as having been in the possession of Karl Strauven (d. 1886), notary in Düsseldorf; by 1870 acquired by Karl Anton, Fürst von Hohenzollern- Sigmaringen (1811-1885, prime minister of Prussia 1858-62) for the court library at Sigmaringen; bought from there by the bookseller Herbert Reichner (1899-1971), of Stockbridge, Mass., who sold it to the Lilly Library in 1960.",former owner,,,,,
"Found in spine of MS J12:1 (Altoviti family. Decimario. Florence?, ca 1769-1791); J. Rubenstein offer 27, October 1965",former owner,,,,,
"Four ownership notes on the front pastedown and front flyleaf recto: Mus__?___ Guichardin of Saint-Symphorien-le-Châtel, 1632; Jean Guichardin __?___ of Saint-Symphorien-le-Châtel, 1668; the Rev. J. M. Neale of Sackville College, 1858, who gave it to J. F. Young in 1864.",former owner,,,,,
"Franciscan convent of Arras (founded in 1223), with their contemporary inscription on fol. 60v (partly trimmed), ""liber iste fratrum minorum Attrebatensis. qui furatus fuerit non absolvatur nisi eis restituat ablatum"" and, late thirteenth century,""hic est liber fratrom minorum Attrebati""; signature on fols. 1r and 58v, ""De monchaulx"", early sixteenth century (perhaps related to Gilles Moncheaulx, who signed Arras, Bibliothèque municipale, ms 728, in 1565); bound in Ghent by François Duquesne (1830-1902); given to the Lilly Library by Mrs. Thelma Sansberry, 1984.",former owner,,,,,
"Franciscus Aloysius Phillipus, with his eighteenth-century booklabel (Gelli 1908, p. 168); C. L. Ricketts, bought in November 1924 from Lathrop Harper; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"François-Nicolas Comynet (1791-1848), no. 168 in the list of manuscripts bought by him in 1825 from the municipality of Auxerre (Liber Prosperi De vita contemplativa, et liber Anselmi De processione Spiritus Sancti; sent by Comynet to the dealer Sylvestre, in Paris; the abbé Joseph-Félix Allard (1795-1831), translator of Tertullian and priest of St-Eustache in Paris, bought probably from Sylvestre and sold, perhaps through Teschener, to Sir Thomas Phillipps (1792-1872), his MS 3735 (Ex Bibliotheca M. Allard; Phillipps sale, Sotheby’s, 23 March 1895, lot 918; Harold Baillie Weaver (d. 1926); his sale, Christie’s, 29 March 1898, lot 483; Laurence Hodson (1864-1933), with his booklabel in Kelmscott type; his sale, Sotheby’s, 5 December 1906, lot 504; Maggs cat. 246 (1909), no. 820; Sotheby’s, 21 July 1913, lot 1077; Maggs cat. 380 (1919), no. 1699, and cat. 542 (1930), no. 46; Edward Duff Balken, of Pittsburg, PA, with his bookplate; George A. Poole (bought from H. P. Kraus, cat. 75, 1955, no. 5), and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"From a manuscript bequeathed to Beauvais Cathedral by Robert de Hangest (d. 1356); the cathedral library was dispersed at the French Revolution; a group of its best manuscripts re-appeared in the sale of the architect Gay, Lyons, October 1833; Henri-Auguste Brölemann (1775-1869), of Lyons, and by descent to his grandson Arthur Brölemann (1826-1904) and his great-granddaughter Madame Etienne Mallet; her sale, Sotheby’s, 5 May 1926, lot 161, to Permain; Otto F. Ege (1888-1951), who cut it up.",former owner,,,,,
"From a solicitor's office in Halifax; acquired, from a clerk who came to America ca. 1900, by Frederick W. Gnichtel (1860-1950); his gift in 1915.",former owner,,,,,
"From the Missal of Cardinal Antoniotto Pallavicini (1442-1507), who gave it to the Sistine Chapel, in the Vatican, where it was recorded in 1714; probably looted during the French occupation of Rome in 1798; the abate Luigi-Celotti (c. 1768-c. 1846), who probably cut it up; his sale, Christie’s, 26 May 1825, part of lot 48; perhaps William Young Ottley (1771-1836); perhaps part of lot 204 in his sale, Sotheby’s, 11 May 1838; C. L. Ricketts, bought from Tregaskis; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"From the chapel of Compagnia della Vergine Maria in Cento; Ernst F. Detterer (1888-1947), bought in 1913 from J. Lewine; bought from Detterer’s estate in 1948 by George A. Poole, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"From the collection of the Abate Matteo Luigi Canonici (1727-1806), purchased in 1835 by Rev. Walter Sneyd (1810?-1888); his sale, London, 1903, n. 344 to Quaritch; given to the Grolier Club in 1912 by Archer M. Huntington (Grolier member, 1894-1955).",former owner,,,,,
From the leaves of Otto F. Ege (1888-1951).,former owner,,,,,
"From volume III of the Antiphoner made for the prioress of the Cistercian nunnery of Beaupré (founded 1228, suppressed 1796), at Grimminge, east of Brussels and north of Cambron; gothic foliation in roman numerals added during the revision of the text under Jacquemine Hendricx, abbess of Beaupré 1473-1500, and pagination in arabic numerals during the revision under Angéline de Lossy, abbess 1755-96; sold with the Beaupré manuscripts in 1797; John Ruskin (1819-1900), who owned six volumes from two sets of choirbooks from Beaupré and removed the present leaves himself; probably Laurence Hilliard (d. 1887, aged 32), Ruskin’s secretary, who was given many manuscript specimens by Ruskin; sale by his heirs, Sotheby’s, 28 April 1913, part of lot 508; C. L. Ricketts, bought from Tregaskis, 1922; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Front pastedown inscription reads ""Johan Nadi de Bezei bonus puer""; acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal. Previous call number 2MS BT1100 P4B45 1400z.",former owner,,,,,
"Frost, H. Harvey",former owner,,,,,
"Fugger, Ulricus, 1526-1584,",former owner.,,,,,
"Gaignières, Jehan de, 16th cent.,",former owner.,,,,,
"Gallico, Joseph ben Isaac, 16th century,",scribe.,,,,,
"Gambiglioni, Angelo, active 15th century",author,,http://viaf.org/viaf/100384396/,,,
"Ganser, Georg,",scribe.,,,,,
"Gardner, Thomas",former owner,,,,,
"Gāḍagīla, Janārdana Koṇḍadeva,",former owner.,,,,,
"Gedoyn de Graville; Rushton M. Dorman, sale (April 1886, n. 8); Chester sale (December 1890, n. 387); gift of Phoebe A. Hearst to the Bancroft Library UC Berkeley ca. 1890. Previous call numbers MAR 7, 2MS BX2080 1460.",former owner,,,,,
"Geneological notes of the Morton family (1507-92); birth notice of Margaret Ludlow (1592); sale of Revd. Lord Byron, Sotheby's (1 July 1935, lot 327) to Maggs; gift of the Heller family to TBL UC Berkeley (1988). Formerly 2MS BX2080 S2 1440z.",former owner,,,,,
"George A. Poole, bought from H. P. Kraus, cat. 75 (1955), no. 19, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
George Bruce collection; given to the Grolier Club in July 1894 by David Wolfe Bruce.,former owner,,,,,
"George Stevens of Copenhagen 1851; Hermann Suchier (1848-1914); John Perry Tatlock (1876-1948); bequest of Tatlock to the Bancroft Library UC Berkeley 1948. Previous call numbers MAR 43, 2MS PQ4299 C7G4.",former owner,,,,,
"Ghalyūn, Nafīsah bint al-Ḥājj Muḥammad,",former owner.,غليون، نفيسة بنت الحاج محمد.,,,,
"Ghamrī, Aḥmad ibn Muḥammad, -1499 or 1500.",author,غمري، احمد بن محمد، -1499 أو 1500.,,,,
"Ghaznawī, Aḥmad, -1196 or 1197.",author,غزنوي، احمد، -1196 or 1197.,,,,
Gift in 1975 of Dr. Martin Picker (1929-2005). Earlier call number: Ac. 2834.,former owner,,,,,
"Gift in January 1898 by Samuel Putnam Avery,",former owner,,,,,
Gift of Audry Wilkens (1910-2003).,former owner,,,,,
"Gift of Carrol J. Rogers to the Bancroft Library UC Berkeley (1957). Previous call numbers MAR 19, ff2MS DP402 T73D4.",former owner,,,,,
Gift of Edith Wetmore (1870-1966) in 1955 to the Providence Public Library.,former owner,,,,,
"Gift of Marilyn Carbonell and David Weinglass, April 2013 and given to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012. Purchased from Eleven Eleven Books, March 2013.",former owner,,,,,
"Gift of Phoebe A Hearst to Bancroft Library UC Berkeley, 1890. Previous call numbers MAR 9, 2MS JX1551 Z7G72.",former owner,,,,,
Gift of Phoebe A. Hearst to Bancroft Library UC Berkeley (1890). Previous call number 2MS BP118 M6 1547.,former owner,,,,,
Gift of Professor Charles W. Jones to the Bancroft Library UC Berkeley (1980). Previous call number 2MS BR65 A8.,former owner,,,,,
Gift of Professor Charles W. Jones to the Bancroft Library UC Berkeley 1980. Previous call number 2MS BX2080 S2 14xx,former owner,,,,,
Gift of Señora María de Rodríguez-Moñino to the Bancroft Library UC Berkeley (1971). Previous call number f2MS PQ6274.,former owner,,,,,
Gift to the Grolier Club by Miss Ellen King.,former owner,,,,,
"Gilbert, W. J.",former owner,,,,,
Giordano Ruffo,author,,,,,
"Giovannella Caracciolo, Duchess of Termoli (1474); George Folliott; his sale, Sotheby's (May 12, 1930, lot 80) to Quaritch; gift of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 40, f2MS BR1705 A2H6.",former owner,,,,,
Giovanni Battista Guarini,author,,,,,
Giovanni Battista Poggio-Bracciolini,author,,,,,
"Giulantonio di Acquaviva, duke of Atri 1464-81, or possibly his young son, Andrea Matteo Acquaviva (1458-1529), with their arms on fol. 1r; Gilhofer and Ranschburg, cat. 265 (1936), no. 12a; evidently confiscated by the Nazis, with the purple stamp of the Zentralstelle für Denkmalschutz dated 26.III.37 inside the lower cover; apparently returned; A. Rosenthal, cat. 1 (1939), no. 21; Reichner cat. 2 (1940), no. 113; Lathrop Harper, cat. 3 (1953), no. 72; George A. Poole, bought from Harper in 1955, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Giuliano di Nofri del Moscho of Pisa; Milanese bookstore, Il Polifilo, their list 40, n. 82 (1958); acquired by the Bancroft Library UC Berkeley by 1966 (actual date unrecorded). Previous call number 2MS HF5616 I9D2.",former owner,,,,,
Giuseppe Biondo,author,,,,,
"Given by Rudolf, priest of Lindau, to a monastery, doubtless the Premonstratensian imperial abbey of Weissenau (founded in 1145, suppressed in 1803), where it was by the time of the eighteenth-century inscription on fol. 1r, Bibliothecę Weissenaw probably one of the two twelfth- to thirteenth-century Psalter commentaries noted by M. Gerbert on his visit to Weissenau in 1760 (Lehmann 1918, p. 408); many manuscripts from Weissenau were appropriated by the last abbot, Bonaventura Brem (1755-1818), who retired to Schloss Liebenau, whence they were bought c. 1842 by Georg von Waldburg-Zeil, S.J. 1823-1866), for the Jesuit College at Fribourg-en-Suisse, but were dispersed in 1854 before the presentation had been made; bound in London, c. 1860; probably not lot 106 in the Savile sale, Sotheby’s, 6 February 1861 (as suggested by de Ricci); Sir Thomas Brooke (1830-1908), by 1891; his sale, Sotheby’s, 24 November 1913, lot 13; bought from W. M. Voynich in January 1917 by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Given to C. L. Ricketts in 1913 by Dr. B. L. Riese, of Chicago; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
Given to the Grolier Club in 1931 by Charles Bain Hoyt.,former owner,,,,,
"Grante (s. XIX?)?; Richard Heber; his sale, Evans (10 February 1836, lot 1047); Sir Thomas Phillipps (1792-1872), his n. 8248; acquired by the Bancroft Library UC Berkeley from Kraus (cat. 196, lot 102, 1994).",former owner,,,,,
Gratian,author,,,,,
"Griffith, Arthur",former owner,,,,,
"Grinke, Paul,",former owner.,,,,,
"Guglielmo Libri (1802-1869); his sale, Sotheby's, 28 March 1859, part of lot 1111 (""Fragmenta Vetusta ...some of the smallest fragments being also in the Anglo-Saxon language"", with Poole MS 41); Sir Thomas Phillipps (1792-1872), not obviously from his MS 22229 (the reference given by Ker); from the collection of specimen leaves formed by Messrs. W.H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Guglielmo Libri (1802-1869); his sale, Sotheby's, 28 March 1859, part of lot 1111 (""Fragmenta Vetusta"" with Poole MS 40); Sir Thomas Phillips (1972-1872); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
"Guilford bookplate; Sir Thomas Phillipps (1792-18720), his no. 4990",former owner,,,,,
"Guillaume, de Lanicia, d. after 1310.",author,,,,,
"Gunther, Charles Frederick, 1837-1920",former owner,,,,,
"Gwenllian, daughter of Howel Vaughan",author,,,,,
H.P. Kraus (Firm),former owner,,,,,
"Hagop Kevorkian Fund,",former owner.,,,,,
"Haimmiller, M.,",former owner.,,,,,
"Hart, Gerald E. (Gerald Ephraim), 1849-1936, Montreal",former owner,,,,,
"Haussmann, Carl Frederick, 1871-,",former owner.,,,,,
"Heilbrun, G.,",former owner.,,,,,
Henry Hakesalt,author,,,,,
"Henry R. Hatfield (1866-1945); acquired from Mrs. H. R. Hatfield by the Bancroft Library UC Berkeley through the Alumnus Book Fund before 1946. Previous call numbers Ac 501, 2MS HF5616 I8E6.",former owner,,,,,
"Henry, Prince of Wales (1594-1612); Thomas Watson (1720-79), S. J.;Thomas Pennant (1726-98); by inheritance to Rudolph (1823-92), Earl of Denbigh; Denbigh sale, Christie's, 4-7-1938, lot 12 to Stonehill; Edith Wetmore (1870-1966); in 1955 to Prov.Pub.Lib.",former owner,,,,,
"Herman C. Hoskier of South Orange NJ (1864-1938), a biblical scholar who purchased it in Macedonia (possibly from the Czech scholar Vladimir Sis, specialized in Macedonian studies, who may have made the note in the upper margin of f. 1, Č29, using a letter of the Czech alphabet) and presented it to General Theological Seminary in 1922.",former owner,,,,,
"Herschel V. Jones collection, Minneapolis; his sale (New York, 23 January 1923, n. 124) to J. F. Drake; bequeathed to the Grolier Club by Beverly Chew.",former owner,,,,,
"Hikmetī, active 1823,",scribe,حكمتى، active 1823.,,,,
"Himmātʹzādah, Muḥammad ibn Ḥasan, 1680 or 1681-1761 or 1762.",author,,http://id.loc.gov/authorities/names/nr92013083,,,
"Holmes, Thomas, active 17th century-18th century",former owner,,,,,
"Honeyman, Robert B.,",former owner.,,,,,
"Hooker, Richard",former owner,,,,,
"Horatius Bosner, D. D.",former owner,,,,,
Hubert de Burgh,author,,,,,
Hugo Argentinensis,author,,,,,
"Hugo, Graf von Walderdorff (1823-1918), who bought it from an antiquarian bookseller in Regensburg before 1874, his Fragm. germ. 1. 2o; by descent to Sotheby’s, 4 December 2007, lot 2, bought by the Lilly Library.",former owner,,,,,
"Ḥāfiẓ al-Qurʼan, Aḥmad,",scribe.,حافظ القرأن، احمد.,,,,
"Ibn Barī Khān, ʻAbd al-Fattāḥ,",scribe.,ابن بري خان، عبد الفتاح.,,,,
"Ibn Kabūlakh, Muḥammad ibn ʻAlī ibn ʻĪsá.",author,ابن كبولخ، محمد بن علي بن عيسى.,,,,
"Ibn Khalaf, ʻAlī ibn Muḥammad, 1453-1532.",author,ابن خلف، علي بن محمد، 1453- 1532.,,,,
"Ibn al-Sarrāj al-Qurashī, Muḥammad ibn ʻAlī, d. 1346 or 7.",author,,,,,
"Ibrāhīm ibn Qāsim ibn ʻAlī ibn Yūsuf,",scribe.,ابراهيم بن قاسم بن علي بن يوسف.,,,,
"In an envelope with the manuscript, the remains of the bookplate of George John Warren Vernon (1803-1866), fifth Baron Veron; CSL accession number 22953.",former owner,,,,,
"In envelope annotated ""Mr E von Scherling, Juffermanstraat 35.- Oegstgeest, Leiden, Holland""",former owner,,,,,
"In the lower margin of the recto, a note, s. XV, in anglicana script: Iste liber pertinet thome <?>, referring to the book in which this leaf served as pastedown. This collection of English binding fragments was given to NYU by Homer Lewis Bartlett (1858-1940), who graduated in 1884 from NYU with a degree in Science and Civil Engineering; he married Clarice Sherman Noble in 1892; they had five children; by 1902, he was second vice-president of the Eastern District Savings Bank. De Ricci states that the collection (of 101 fragments with 70 others laid into the album) was given to NYU in 1884 (the same year in which Homer L. Bartlett graduated).",former owner,,,,,
"In wrapper directed from H. D. Bucher, Basel, to Erik von Scherling, bookdealer in Leyden, whose catalogues bore the name Rotulus Wrapping paper label. Pecilled note: ""S16...20""",former owner,,,,,
Ink stamp of Roy G. Fitzgerald (1875-1962); sold at Parke-Bernet (6 November 1963)?; acquired in 1991 from P. Pirages.,former owner,,,,,
"Inscribed ""2615"" in pencil (f. 1v)",former owner,,,,,
"Inscribed ""Ex Libris Laurenij (sic) Raphaeli (?) de Morian""; date of acquisition by the Bancroft Library UC Berkeley unrecorded. Previous call numbers MAR 11, 2MS PQ4231 A5T6.",former owner,,,,,
"Inscribed ""Ranaldus Ridolfinus"" (f. 1r); purchased at Perugia in 1822 by Guilford; Heber; Sir Thomas Phillipps (1792-1872), his n. 8274",former owner,,,,,
"Inscribed at foot of fol. 1r, Sum Liber Johannis Hunt ex dono Mariae Lussher 1.5.8.5i doubtless John Hunt (c. 1560-1612), of Gaydon, Staffordshire, etc., given to him in 1585 by Mary Lusher (c. 1564-1634, daughter of Nicholas Lusher, of Shooland in Putterham, Surrey), whom he had married in 1582; by descent to their daughter Bridget, who in 1633 married George Starkey (d. 1679); and to Bridget’s daughter Elizabeth, who in 1690 married Richard Sanders (d. 1723) all of whom appear in the genealogical notes added in the margins of fols. 103v-109v; sale at Sotheby’s, 6 August 1878, lot 1440 (among ‘other properties’), to Quaritch (his General Catalogue, 1880, no. 8575; cat. 332, 1880, no. 41; General Catalogue VIII, 1884, no. 17397; and cat. 369, 1886, no. 35668); Henry Yates Thompson (1838-1928), bought from Quaritch, 14 March 1895, with his bookplate, his no. 29; his sale, Sotheby’s, 23 March 1920, lot 43, to Tregaskis (his cat. 850, 1922, no. 17, and cat. 871, 1923, no. 15); C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Inside front cover: Ex bibliotheca Com. Eq. Fabricii Orsini Rilli di Poppi. N. 263 in a Sotheby sale, ca. 1890 (according to De Ricci); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,,,
"Iṣfahānī, Muḥammad,",scribe.,اصفهاني، محمد.,,,,
"Iṣfahānī, Ṣ̣adr al-Dīn Muḥammad ibn Kamāl al-Dīn,",scribe.,اصفهاني، صدر الدين محمد بن كمال الدين.,,,,
"Ives, John",former owner,,,,,
"Īrawānī, Qāsim,",former owner.,ايرواني، قاسم.,,,,
J. Palmer,former owner,,,,,
Jacobus Beneventanus?,author,,,,,
"Jahānʹābādī, ʻAbd al-Rashīd,",former owner.,جهان‌آبادى، عبد الرشيد،,,,,
"James P. R. Lyell; bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 31, f2MS PA6304 P2M2.",former owner,,,,,
"James P. R. Lyell; bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers, MAR 36, f2MS PA6700 A2 1425.",former owner,,,,,
James Tregaskis (Firm),former owner,,,,,
"Jazūlī, Muḥammad ibn Sulaymān, -1465.",author,جزولي، محمد بن سليمان، -1465.,,,,
"Jean, duc de Berry (1340-1416); Jean du Pré (?); bought of Payne by Sir Thomas Phillipps (1824), his n. 236; acquired by UC Berkeley from Sotheby's (25 November 1969, lot 462). Previous call number 2MS PQ1529 P48E6.",former owner,,,,,
"Jean-Baptiste Joseph Barrois, of Lille (1784-1855), his 297 (green label on spine); the collection bought in 1849 by Bertram, fourth earl of Ashburnham (1797-1878); the fifth earl’s sale, Sotheby’s, 10 June 1901, lot 33; Quaritch, cat. 211 (January 1902), no. 24, and cat. 290 (June 1910), no. 448; bought by C. L. Ricketts from W. M. Voynich, January 1917, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
Jerónimo Román (Hieronymo Roman),author,,,,,
Johann Meyer,author,,,,,
John Felton,author,,,,,
"John Henry Nash. Previous call numbers MAR 12, 2MS BV247 K8.",former owner,,,,,
John Peacock,former owner,,,,,
John Shirley,author,,,,,
John Willis,former owner,,,,,
"Joseph Martini (catalogue 28, n. 6); James K. Moffit (1938); bequest of Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers, MAR 29, 2MS PA6231 Z2B6.",former owner,,,,,
Joseph Martini (d. 1944); acquired by the Bancroft Library UC Berkeley from H. P. Kraus. Previous call number 2MS BR1720 J5.,former owner,,,,,
Justinian,author,,,,,
"Kafʻamī, Ibrāhīm ibn ʻAlī, 1436 or 1437-1499 or 1500.",author,كفعمي، ابراهيم بن علي، 1436 or 1437-1499 or 1500.,,,,
"Kartause Sankt Barbara (Cologne, Allemagne)",former owner,,,,,
"Kashfī, Jaʻfar ibn Abī Isḥāq, -1850 or 1851.",author,كشفي، جعفر بن ابي اسحاق، -1850 أو 1851.,,,,
Kauśikarāma.,author,,,,,
"Kelker, Rudolph F. (Rudolph Frederick), 1820-1906",former owner,,,,,
"Kelker, Rudolph Frederick",former owner,,,,,
"Khamsī, Muḥammad ibn ʻAbd Allāh,",scribe.,خمسي، محمد بن عبد الله.,,,,
"Khayālī, Aḥmad ibn Mūsá, -1457?",author,خيالي، احمد بن موسى، -1457؟,,,,
"Khākiyānī, Darvīsh Aḥmad, active 1801,",former owner.,"خاكيانى، درويش احمد، active 1801,",,,,
"Kilālī, Zubayr ibn Marḍ ,",scribe.,كلالي، زبير بن مرض.,,,,
"Kuppferberg, Johannes de,",scribe.,,,,,
"Labitte, Alphonse, 1853-",former owner,,,,,
"Lafferde, Henricus",former owner,,,,,
"Lansburgh, Mark,",former owner.,,,,,
"Lanthony Priory (Gloucestershire, England),",former owner.,,,,,
"Lārndawī, ʻAbd Allāh al-Ḥusnī ibn al-Ḥājj ʻAbdī,",scribe.,لارندوي، عبد الله الحسني بن الحاج عبدي.,,,,
LeMare,former owner,,,,,
"Leander van Ess; Sir Thomas Phillipps, his n. 589 (from ""591"" as first inscribed on the pastedown). On f. i, bookseller slip of the firm of Bull and Auvache, 34 & 35 Hart Street, Bloomsbury, W. C., London, Cat. 358 (October 1911).",former owner,,,,,
"Leeche, John, 14th century,",former owner.,,,,,
Leo I,author,,,,,
"Leonardus, Frater, Abbot of the Holy Order of Mount Olivet",former owner,,,,,
Lepelletier de Rosanbo,former owner,,,,,
"Lethe, Johannes,",former owner.,,,,,
"Levinson, Harry A.",former owner,,,,,
Lewis Gould purchased from Galena Books from the Los Angeles Book Fair. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2015 in his wife's memory.,former owner,,,,,
"Lewis, Anne Baker",former owner,,,,,
"Lewis, John Frederick",former owner,,,,,
Librairie Tross,former owner,,,,,
"Library of the Benedictine monastery of Melk, Austria; Joseph Martini (cat. XXVIII, n. 19); bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 25, 2MS QE362 M17.",former owner,,,,,
Library of the Dominicans of Paris,former owner,,,,,
"Linda Ehrsam Voigts purchased from Bernard M. Rosenthal in 1975,and given by her in 2012 to the Karen Gould Collection of the Nelson Atkins Museum of Art.",former owner,,,,,
"Lomer, Petrus,",scribe.,,,,,
"Machiavelli, Niccolò di Giovanni.",author,,,,,
"Madhubhaṭṭa Cātudhāra,",scribe.,,,,,
"Maḥmūd ibn al-Shaykh al-Fattāḥ,",former owner.,محمود بن الشيخ الفتاح.,,,,
Manuscript purchased in Madrid by a former owner (per label); gift in 1959 of Mrs. Monica Franklyn of central New Jersey.,former owner,,,,,
Marbod,author,,,,,
"Marchese Linterno (n. 26); Visconti di Modrone (d. 1836); Bruschetti (1836); Schiepatti (1865); Arrigoni (1883); Rosenthal; his sale, Sotheby's (1899) to Tyke; acquired by Moffitt from Martini (cat. 26, n. 10) ; TBL (1956). Formerly MAR 27, 2MS BS485 S2.",former owner,,,,,
"Marchioni, Marchiono de,",scribe.,,,,,
Marcus Ulpius Julianus,author,,,,,
"Marginal inscriptions ""Charles"" and ""Cahots""; Florence S. Walter (who rebound it ca. 1930-40); gift of her daughter Mrs. Paul Bissinger to the Bancroft Library UC Berkeley 1972. Previous call number 2MS BX2080 1450.",former owner,,,,,
Marie-François Duchesne de Beaumanoir,former owner,,,,,
"Mariensüss, Bartholomäus, -1504.",author,,,,,
"Marriette, Charles, 15th cent.,",former owner.,,,,,
Martinus Silicaeus Joannes Blasius,author,,,,,
"Marx, Hermann,",former owner.,,,,,
"Master B. F., active 1486-1545",artist,,,,,
Mathurin atelier,artist,,,,,
"Maximus, bp. of Turin",author,,,,,
Mādhava Rāma.,author,مادهو رام.,,,,
"McClenahan, Jean P., 1908-1994,",former owner.,,,,,
"Mewe, Henricus",former owner,,,,,
"Michael Wodhull (1740-1816); Henry Drury (1778-1841); Sir Thomas Phillipps (1792-1872), his n. 3380; acquired by the Bancroft Library UC Berkeley from Sotheby's (28 November 1967, lot 89). Previous call number 2MS BS1234 L2.",former owner,,,,,
"Michelmore, G.",former owner,,,,,
"Migieu, Anthelme-Michel-Laurent de, marquis de Savigny, 1723-1788,",former owner.,,,,,
"Millini, Pietro,",former owner.,,,,,
"Modern notes in French on added slips of paper with the monogram ""B. V."" (or E ?); gift of John C. Cebrian to UC Berkeley ca. 1912-1935. Previous call number 2MS BX2000 A3R6 1350.",former owner,,,,,
"Molac, Sébastien de Rosmadec, marquis de, d. 1693,",former owner.,,,,,
"Monastero di S. Ambrogio (Milan, Italy)",former owner,,,,,
Monastery Holy Trinity-Champmol,former owner,,,,,
"Monastery of Augustinian Canons Regular in Waldhausen, Austria, late 15th or early 16th century. Date of acquisition by the Bancroft Library, UC Berkeley unrecorded. Previous call numbers MAR 3, 2MS BS548 R5.",former owner,,,,,
Monastery of Santa Maria de Rosate (15th century); acquired by the Bancroft Libary UC Berkeley from H. P. Kraus.* Previous call number 2MS BR120 B6.,former owner,,,,,
"Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889",former owner,,,,,
"Muḥammad Hādī ibn Mīrzā ʻArab al-Shīrāzī,",scribe.,محمد هادي بن ميرزا عرب الشيرازي.,,,,
"Muḥammad al-Amīn, active 1785,",scribe.,محمد الامين، active 1785،,,,,
"Muḥammad al-Raʼīs,",former owner.,محمد الرأيس،,,,,
