physical_description_as_recorded,split
"Binding: Contemporary or very early binding (perhaps Venetian) of wooden boards bevelled on their inner edges and sewn onto three double bands, covered with tanned leather (presumably goatskin), panelled with triple lines and blind-stamped with multiple impressions of ropework tools and a stamp resembling a section of a wreath, later paper endleaves, upper cover detached; in a pale brown cloth case, morocco spine.|Figurative details, ff. 1r-210v: All books opening with large initials in classical style in faceted design on panels including acanthus leaves, classical vases, dolphins, etc.; opening page entirely in colored capitals with a 4-line initial showing a naked boy in boots playing a lute all within a classical frame including cornucopiae and a coat-of-arms at the foot.|Other decoration, ff. 1r-210v: Headings in pale red; small initials in alternating pale red, blue and gold; main headings in colored capitals of alternating lines of colours and burnished gold.|Script, ff. 1r-210v: Italic cursive minuscule.|Layout, ff. 1r-210v: Collation: 33 [of 4, blank iv canceled], ii??â€œxxi#^103#, xxii#^7# [of 8, blank viii canceled]; ruled in pale red ink, 29 lines, written-space 130 mm. by 77 mm.; written in brown ink.","Binding: Contemporary or very early binding (perhaps Venetian) of wooden boards bevelled on their inner edges and sewn onto three double bands, covered with tanned leather (presumably goatskin),|More on binding: panelled with triple lines and blind-stamped with multiple impressions of ropework tools and a stamp resembling a section of a wreath, later paper endleaves, upper cover detached; in a pale brown cloth case, morocco spine.|Figurative details, ff. 1r-210v: All books opening with large initials in classical style in faceted design on panels including acanthus leaves, classical vases, dolphins, etc.; opening page entirely in colored capitals with a 4-line initial showing a naked boy in boots playing a lute all within a classical frame including cornucopiae and a coat-of-arms at the foot.|Other decoration, ff. 1r-210v: Headings in pale red; small initials in alternating pale red, blue and gold; main headings in colored capitals of alternating lines of colours and burnished gold.|Script, ff. 1r-210v: Italic cursive minuscule.|Layout, ff. 1r-210v: Collation: 33 [of 4, blank iv canceled], ii??â€œxxi#^103#, xxii#^7# [of 8, blank viii canceled]; ruled in pale red ink, 29 lines, written-space 130 mm. by 77 mm.; written in brown ink."
"Binding: Sixteenth-century binding of wooden boards covered with calf and morocco gilt, each cover with a sunken central panel 143 mm. by 54 mm. of paler brown morocco, raised outer frame with oval inserts in each corner in pale brown morocco with embossed plaquettes in medallions showing a Roman empress in profile facing to the left, all profusely gilt with volutes and strapwork designs, spine gilt, parchment endleaves; in a fawn cloth case.|Figurative details, ff. 75: Elaborate cadels in the upper margins including faces touched in coloured wash; Twelve double Calendar miniatures at the foot of fols. 1râ€“6v showing the Occupations of the Months and the signs of the Zodiac; twenty small miniatures, showing scenes from each of the nine readings from the book of Job in the Office of the Dead (fols. 53v, 54v, 55r, 59r, 59v, 60v, 65r, 65v and 66v) and a larger 14-line miniature of Job and his family giving thanks (fol. 69v), together with suffrage miniatures showing the Meeting at the Golden Gate (fol. 71r) and Saints Michael (fol. 71v), Anthony and Sebastian (both fol. 72r), Anthony of Padua (fol. 73r), Laurence and Anne with a kneeling donor (both fol. 73v), Mary Magdalene (fol. 74r), Katherine (fol. 74v) and Margaret (fol. 75r); five full-page miniatures, showing the Annunciation, set in a gothic church (fol. 7r, Matins), the Visitation, before a tall gothic castle (fol. 20r, Lauds, a bit smudged), the Nativity (fol. 30r, unexpectedly for Terce), the Circumcision (fol. 33r, None), and David outside his palace, being admonished by Nathan who points to Uriah and Bathsheba, watched by a figure of Death (fol. 39r, Penitential Psalms).|Other decoration, ff. 75: large and small initials throughout in liquid gold on blue and brown grounds.|Script, ff. 75: Batarde.|Layout, ff. 75: Collation: blank flyleaf + i#^6#, lacking 2 whole gatherings after fol. 6 [once of 8 leaves each plus 6 inserted miniatures], iv#^7+1# [of 8+1, lacking i before fol. 7, and fol. 7 (now detached) added with miniature], v#^8+1# [fol. 20 added with miniature], vi#^7+1# [of 8+2, lacking v before fol. 28, fol. 30 added with miniature, and lacking a further added leaf after fol. 27 with miniature], vii#^6+1# [of 8+4, lacking i and vii before fols.32 and 38, fol. 33 added with miniature, and lacking further added leaves after fols. 31, 34 and 37 with miniatures], lacking another whole gathering after fol. 38 [once of 4 leaves, plus 2 inserted miniatures]. ix#^8+2# [fol. 39 added with miniature, and fol. 48 added to complete the section within a quire], x#^9# [probably of 10+1, blank i probably canceled, and lacking an added leaf before fol. 49], xi#^8#, xii#^6#, xiii#^4 + 3# blank flyleaves at end; ruled in red ink, 20 lines, written-space 134 mm. by 81 mm.; written in dark brown ink.","Binding: Sixteenth-century binding of wooden boards covered with calf and morocco gilt, each cover with a sunken central panel 143 mm. by 54 mm. of paler brown morocco, raised outer frame with oval inserts in each corner in pale brown morocco with embossed plaquettes in medallions showing a Roman empress in profile facing to the left,|More on binding: all profusely gilt with volutes and strapwork designs, spine gilt, parchment endleaves; in a fawn cloth case.|Figurative details, ff. 75: Elaborate cadels in the upper margins including faces touched in coloured wash; Twelve double Calendar miniatures at the foot of fols. 1râ€“6v showing the Occupations of the Months and the signs of the Zodiac; twenty small miniatures, showing scenes from each of the nine readings from the book of Job in the Office of the Dead|More figurative details: {miniatures} (fols. 53v, 54v, 55r, 59r, 59v, 60v, 65r, 65v and 66v) and a larger 14-line miniature of Job and his family giving thanks (fol. 69v), together with suffrage miniatures showing the Meeting at the Golden Gate (fol. 71r) and Saints Michael (fol. 71v), Anthony and Sebastian (both fol. 72r), Anthony of Padua (fol. 73r), Laurence and Anne with a kneeling donor|More figurative details: {miniatures} (both fol. 73v), Mary Magdalene (fol. 74r), Katherine (fol. 74v) and Margaret (fol. 75r); five full-page miniatures, showing the Annunciation, set in a gothic church (fol. 7r, Matins), the Visitation, before a tall gothic castle (fol. 20r, Lauds, a bit smudged),|More figurative details: {miniatures} the Nativity (fol. 30r, unexpectedly for Terce), the Circumcision (fol. 33r, None), and David outside his palace, being admonished by Nathan who points to Uriah and Bathsheba, watched by a figure of Death (fol. 39r, Penitential Psalms).|Other decoration, ff. 75: large and small initials throughout in liquid gold on blue and brown grounds.|Script, ff. 75: Batarde.|Layout, ff. 75: Collation: blank flyleaf + i#^6#, lacking 2 whole gatherings after fol. 6 [once of 8 leaves each plus 6 inserted miniatures], iv#^7+1# [of 8+1, lacking i before fol. 7, and fol. 7 (now detached) added with miniature], v#^8+1# [fol. 20 added with miniature], vi#^7+1# [of 8+2, lacking v before fol. 28, fol. 30 added with miniature,|More on layout: and lacking a further added leaf after fol. 27 with miniature], vii#^6+1# [of 8+4, lacking i and vii before fols.32 and 38, fol. 33 added with miniature, and lacking further added leaves after fols. 31, 34 and 37 with miniatures], lacking another whole gathering after fol. 38 [once of 4 leaves, plus 2 inserted miniatures].|More on layout: ix#^8+2# [fol. 39 added with miniature, and fol. 48 added to complete the section within a quire], x#^9# [probably of 10+1, blank i probably canceled, and lacking an added leaf before fol. 49], xi#^8#, xii#^6#, xiii#^4 + 3# blank flyleaves at end; ruled in red ink, 20 lines, written-space 134 mm. by 81 mm.; written in dark brown ink."
"Binding: Contemporary binding of slightly bevelled wooden boards sewn on four bands, covered with brown goatskin, blind-stamped, panelled with a broad frame of multiple impressions of ropework stamps, central compartments stamped in elaborate geometric pattern based around an 8-pointed star within concentric frames of ropework stamps and small plugs and rosettes, lacking 4 pairs of metal clasps and trefoil catches (pins only remaining on lower cover), edges gilt and gauffered, rebacked, parchment endleaves replaced; in a green cloth case.|Other decoration, ff. 204: Eighteen large white-vine (bianchi girariin Italian) illuminated initials (fols. 2v, 23v, 25r, 36r, 52v, 54r, 69r, 71r, 91r, 103v, 125v, 139r, 154r, 173r, 183v, 187r, 188r and 196v), first and last leaves in facsimile.|Number of scribes, ff. 204: One.|Script, ff. 204: Humanistic Minuscule.|Layout, ff. 204: Collation: i#^9+1# [of 10, lacking i, replaced with a facsimile leaf ], iiâ€“vii#^10#, viii#^9+1# [of 10, blank x canceled, replaced with a substitute blank], ixâ€“xix#^10#, xx#^3+1# [of 4, lacking iv, replaced with a facsimile leaf ], with horizontal catchwords within radiating flourishes; vertical ruling in blind, horizontal ruling not visible, 33 lines, written-space 225 mm. by 128 mm. no headings, Greek words left blank and added afterwards in a more cursive hand.","Binding: Contemporary binding of slightly bevelled wooden boards sewn on four bands, covered with brown goatskin, blind-stamped, panelled with a broad frame of multiple impressions of ropework stamps, central compartments stamped in elaborate geometric pattern based around an 8-pointed star within concentric frames of ropework stamps and small plugs and rosettes,|More on binding: lacking 4 pairs of metal clasps and trefoil catches (pins only remaining on lower cover), edges gilt and gauffered, rebacked, parchment endleaves replaced; in a green cloth case.|Other decoration, ff. 204: Eighteen large white-vine (bianchi girariin Italian) illuminated initials (fols. 2v, 23v, 25r, 36r, 52v, 54r, 69r, 71r, 91r, 103v, 125v, 139r, 154r, 173r, 183v, 187r, 188r and 196v), first and last leaves in facsimile.|Number of scribes, ff. 204: One.|Script, ff. 204: Humanistic Minuscule.|Layout, ff. 204: Collation: i#^9+1# [of 10, lacking i, replaced with a facsimile leaf ], iiâ€“vii#^10#, viii#^9+1# [of 10, blank x canceled, replaced with a substitute blank], ixâ€“xix#^10#, xx#^3+1# [of 4, lacking iv, replaced with a facsimile leaf ], with horizontal catchwords within radiating flourishes;|More on layout: vertical ruling in blind, horizontal ruling not visible, 33 lines, written-space 225 mm. by 128 mm. no headings, Greek words left blank and added afterwards in a more cursive hand."
"Binding: Not bound.|Figurative details, One leaf: Recto with large historiated initial â€˜Mâ€™ (â€œMagi videntes . . .â€), 170 mm. by 152 mm., the three Magi adoring the Christ Child, who sits on his motherâ€™s lap against a glorious background of a hanging tapestry of scarlet sewn with gold. The eldest king kneels with his head bare, offering a golden casket. The next is taking off his crown, in the presence of the king of kings. The star which they have been following hovers at the top. Above the tapestry and on either side of the star are angels, hardly visible at first, delicately painted in red camaÃ¯eu on a red ground. The highly burnished gold background is delicately tooled. The entire image is costly and royal., on a tooled burnished gold ground with long leafy extensions scrolling the length of two margins.|Other decoration, One leaf: Rubrics in red, capitals infilled in yellow, a small initial in blue.|Music, One leaf: Diamond-shaped neumes on 4-line red staves.|Layout, One leaf: Ruled in red ink (with distinctive double ruling for vertical bounding lines), 7 lines of text alternating with 7 of music, written-space 417 mm. by 280 mm.","Binding: Not bound.|Figurative details, One leaf: Recto with large historiated initial â€˜Mâ€™ (â€œMagi videntes . . .â€), 170 mm. by 152 mm., the three Magi adoring the Christ Child, who sits on his motherâ€™s lap against a glorious background of a hanging tapestry of scarlet sewn with gold. The eldest king kneels with his head bare, offering a golden casket.|More figurative details: {Magi initial} The next is taking off his crown, in the presence of the king of kings. The star which they have been following hovers at the top. Above the tapestry and on either side of the star are angels, hardly visible at first, delicately painted in red camaÃ¯eu on a red ground. The highly burnished gold background is delicately tooled.|More figurative details: The entire image is costly and royal., on a tooled burnished gold ground with long leafy extensions scrolling the length of two margins.|Other decoration, One leaf: Rubrics in red, capitals infilled in yellow, a small initial in blue.|Music, One leaf: Diamond-shaped neumes on 4-line red staves.|Layout, One leaf: Ruled in red ink (with distinctive double ruling for vertical bounding lines), 7 lines of text alternating with 7 of music, written-space 417 mm. by 280 mm."
"Binding: Not bound.|Figurative details, One leaf: 16-line historiated initial.|Other decoration, One leaf: Chapter numbers and running-titles in alternating red and blue capitals with some flourishing, 2-line chapter initials in red or blue with penwork in the contrasting color; several 4-line illuminated initials and three historiated initials, two 6 lines high, one 7-line, in colors with burnished gold and long marginal extensions; worn and fragile with some inner margins disintegrating; later inscriptions (perhaps seventeenth-century) include a supposed date â€œMCCL â€â€”actually, a quite credible oneâ€”and â€œpatrum nostrum abraham Isaac et Jacobâ€.|Script, One leaf: Gothic Textura.|Layout, One leaf: 2 columns, ruled in plummet, 52 lines, each column 120 mm. by 37 mm. with 5 mm. between columns, script beginning below top ruled line.","Binding: Not bound.|Figurative details, One leaf: 16-line historiated initial.|Other decoration, One leaf: Chapter numbers and running-titles in alternating red and blue capitals with some flourishing, 2-line chapter initials in red or blue with penwork in the contrasting color;|More decorations: several 4-line illuminated initials and three historiated initials, two 6 lines high, one 7-line, in colors with burnished gold and long marginal extensions; worn and fragile with some inner margins disintegrating;|More details: later inscriptions (perhaps seventeenth-century) include a supposed date â€œMCCL â€â€”actually, a quite credible oneâ€”and â€œpatrum nostrum abraham Isaac et Jacobâ€.|Script, One leaf: Gothic Textura.|Layout, One leaf: 2 columns, ruled in plummet, 52 lines, each column 120 mm. by 37 mm. with 5 mm. between columns, script beginning below top ruled line."
"Binding: Bound in late eighteenth-century English red morocco, marbled endleaves, gilt edges, re-backed; in a fawn cloth case.|Figurative details, ff.138: 24 Calendar miniatures of the occupations of the months and the signs of the zodiac; four 6-line historiated initials, showing Saints John (fol. 14r), Luke (fol. 15r), Matthew (fol. 16r) and Mark (fol.17r); seven three-quarter-page miniatures with full borders, showing the Annunciation (fol. 19r, Matins, miniature for Lauds missing), the Nativity (fol. 36r, Prime, miniatures for Terce, Sext and None missing), the Flight into Egypt (fol. 48r, Vespers), the Coronation of the Virgin (fol. 55r, Compline, miniature for the Hours of the Cross missing), Pentecost (fol. 82r, Hours of the Holy Ghost), David in prayer (fol. 87v, Penitential Psalms) and a funeral (fol. 105v, Office of the Dead).|Other decoration, ff.138: Rubrics in red, Calendar in alternating lines of red and blue with major entries in gold; illuminated initials and line-fillers throughout; 2-line initials all with half borders of gold ivy leaves around the outer side of the pages and (if on recto pages) with marginal sprays in the inner margins too.|Script, ff.138: Liturgical textualis.|Layout, ff.138: Collation: i#^12#, ii#^6#, iii#^8#, iv#^7# [of 8, lacking i, before fol. 27], v#^7# [of 8, lacking vi, after fol. 38], vi#^6# [of 8, lacking ii and vi, after fols. 41 and 44], viiâ€“ix#^8#, x#^7# [of 8, lacking vi, after fol. 75], xiâ€“xvii#^8#, xviii#^5# [of 8, lacking viâ€“viii at end], with horizontal catchwords; ruled in red ink, 18 lines, written-space 122 mm. by 77 mm.; written in dark brown ink.","Binding: Bound in late eighteenth-century English red morocco, marbled endleaves, gilt edges, re-backed; in a fawn cloth case.|Figurative details, ff.138: 24 Calendar miniatures of the occupations of the months and the signs of the zodiac; four 6-line historiated initials, showing Saints John (fol. 14r), Luke (fol. 15r), Matthew (fol. 16r) and Mark (fol.17r); seven three-quarter-page miniatures with full borders, showing the Annunciation (fol. 19r, Matins, miniature for Lauds missing),| More figurative details: {miniatures} the Nativity (fol. 36r, Prime, miniatures for Terce, Sext and None missing), the Flight into Egypt (fol. 48r, Vespers), the Coronation of the Virgin (fol. 55r, Compline, miniature for the Hours of the Cross missing), Pentecost (fol. 82r, Hours of the Holy Ghost), David in prayer (fol. 87v, Penitential Psalms) and a funeral (fol. 105v, Office of the Dead).|Other decoration, ff.138: Rubrics in red, Calendar in alternating lines of red and blue with major entries in gold; illuminated initials and line-fillers throughout; 2-line initials all with half borders of gold ivy leaves around the outer side of the pages and (if on recto pages) with marginal sprays in the inner margins too.|Script, ff.138: Liturgical textualis.|Layout, ff.138: Collation: i#^12#, ii#^6#, iii#^8#, iv#^7# [of 8, lacking i, before fol. 27], v#^7# [of 8, lacking vi, after fol. 38], vi#^6# [of 8, lacking ii and vi, after fols. 41 and 44], viiâ€“ix#^8#, x#^7# [of 8, lacking vi, after fol. 75], xiâ€“xvii#^8#, xviii#^5# [of 8, lacking viâ€“viii at end], with horizontal catchwords;|More on layout: ruled in red ink, 18 lines, written-space 122 mm. by 77 mm.; written in dark brown ink."
"Binding: Bound in blind-stamped brown morocco, c. 1900, by Leighton, gilt edges; in a green cloth case.|Figurative details, ff. 74: Bas-de-page white-vine panel on fol. 1r enclosing a coat-of-arms within a wreath.|Other decoration, ff. 74: Written in brown ink in a small upright humanistic minuscule, Greek words originally left blank and supplied in a less formal hand in red; eight large 4- to 5-line white-vine illuminated initials, with partial marginal extensions.|Number of scribes, ff. 74: Two.|Script, ff. 74: Humanistic minuscule.|Layout, ff. 74: Collation: i#^6# [perhaps of 10, for i??â€œiv], ii??â€œvi#^10#, vii10 [misbound, the correct sequence of the leaves being 57??â€œ58 and 61??â€œ68], viii#^8# [of 10, ix??â€œx canceled (probably blank), misbound, the correct sequence of the leaves being 59??â€œ60 and 69??â€œ74], with vertical catchwords in red ink readable from the left; ruled faintly in brown, probably in ink, 32 lines, writtenspace 163 mm. by 90 mm.","Binding: Bound in blind-stamped brown morocco, c. 1900, by Leighton, gilt edges; in a green cloth case.|Figurative details, ff. 74: Bas-de-page white-vine panel on fol. 1r enclosing a coat-of-arms within a wreath.|Other decoration, ff. 74: Written in brown ink in a small upright humanistic minuscule, Greek words originally left blank and supplied in a less formal hand in red; eight large 4- to 5-line white-vine illuminated initials, with partial marginal extensions.|Number of scribes, ff. 74: Two.|Script, ff. 74: Humanistic minuscule.|Layout, ff. 74: Collation: i#^6# [perhaps of 10, for i??â€œiv], ii??â€œvi#^10#, vii10 [misbound, the correct sequence of the leaves being 57??â€œ58 and 61??â€œ68], viii#^8# [of 10, ix??â€œx canceled (probably blank), misbound, the correct sequence of the leaves being 59??â€œ60 and 69??â€œ74],|More on layout: with vertical catchwords in red ink readable from the left; ruled faintly in brown, probably in ink, 32 lines, writtenspace 163 mm. by 90 mm."
"Binding: Bound in eighteenth-century Italian mottled calf, block-printed floral pastedowns, paper endleaves, binding repaired; in a green cloth case.|Figurative details, ff. 378: Illuminated initials throughout in leafy designs in colors and burnished gold with lush marginal sprays; eleven historiated initials and one miniature, showing David in prayer (fol. 7v, 12-line, Beatus vir, psalm 1), David pointing to his eyes (fol. 18r, 6-line, Dominus illuminatio, psalm 26), David pointing to his mouth (fol. 24r, 6-line, Dixi custodiam, psalm 38), a fool (fol. 28v, 4-line, Dixit insipiens, psalm 52), David in the water (fol. 32v, 6-line, Salvum me fac, psalm 68), David with bells (fol. 39r, 6-line, Exultate deo, psalm 80), a priest at a lectern (fol. 44r, 6-line, Cantate domino, psalm 97), Christ blessing (fol. 51r, 6-line, Dixit dominus, psalm 109), Saint Paul with sword and book (fol. 72r, 10-line), the Nativity (fol. 102r, 8-line), the Magi (fol. 135r, 8-line) and the Resurrection (fol. 294v, column-width miniature, 58 mm. by 65 mm.).|Other decoration, ff. 378: Rubrics in red, 2-line initials throughout in alternating red and blue with penwork in the contrasting color.|Script, ff. 378: Rounded Textura.|Layout, ff. 378: Collation: i#^6#, iiâ€“vii#^10#, viii#^11# [probably of 10, lacking viâ€“x after fol. 71], ixâ€“xxxviii#^10#, xxxix#^7# [perhaps of 10, final leaves canceled by pasting together], with horizontal catchwords and mostly with contemporary leaf signatures (modern pencil foliation, on every tenth leaf, jumps back erroneously from â€˜231â€™ to â€˜132â€™); ruled faintly apparently in ink, 2 columns, 33 lines, each column 217 mm. by 68 mm. with 17 mm. between columns; written in brown ink.","Binding: Bound in eighteenth-century Italian mottled calf, block-printed floral pastedowns, paper endleaves, binding repaired; in a green cloth case.|Figurative details, ff. 378: Illuminated initials throughout in leafy designs in colors and burnished gold with lush marginal sprays; eleven historiated initials and one miniature, showing David in prayer (fol. 7v, 12-line, Beatus vir, psalm 1), David pointing to his eyes (fol. 18r, 6-line, Dominus illuminatio, psalm 26),|More figurative details: {initials} David pointing to his mouth (fol. 24r, 6-line, Dixi custodiam, psalm 38), a fool (fol. 28v, 4-line, Dixit insipiens, psalm 52), David in the water (fol. 32v, 6-line, Salvum me fac, psalm 68), David with bells (fol. 39r, 6-line, Exultate deo, psalm 80), a priest at a lectern (fol. 44r, 6-line, Cantate domino, psalm 97),|More figurative details: {miniatures} Christ blessing (fol. 51r, 6-line, Dixit dominus, psalm 109), Saint Paul with sword and book (fol. 72r, 10-line), the Nativity (fol. 102r, 8-line), the Magi (fol. 135r, 8-line) and the Resurrection (fol. 294v, column-width miniature, 58 mm. by 65 mm.).|Other decoration, ff. 378: Rubrics in red, 2-line initials throughout in alternating red and blue with penwork in the contrasting color.|Script, ff. 378: Rounded Textura.|Layout, ff. 378: Collation: i#^6#, iiâ€“vii#^10#, viii#^11# [probably of 10, lacking viâ€“x after fol. 71], ixâ€“xxxviii#^10#, xxxix#^7# [perhaps of 10, final leaves canceled by pasting together], with horizontal catchwords and mostly with contemporary leaf signatures (modern pencil foliation, on every tenth leaf, jumps back erroneously from â€˜231â€™ to â€˜132â€™);|More on layout: ruled faintly apparently in ink, 2 columns, 33 lines, each column 217 mm. by 68 mm. with 17 mm. between columns; written in brown ink."
"Binding: Bound in late seventeenth-century red morocco, gilt edges, spine gilt, marbled pastedowns, paper flyleaves; in a blue-grey cloth case.|Figurative details, ff. 1-366: 3 historiated initials, showing Pentecost (fol. cliv verso, 5-line), the Crucifixion (fol. ccvi verso, 6-line) and Saint Stephen (fol. cclvi verso, 4-line).|Other decoration, ff. 1-366: Rubrics in red; 2-line initials throughout in alternating blue with red penwork and red with purple penwork; many (Ricketts counted 68) large illuminated initials with fulllength bar borders sprouting into elaborate sprays of coloured and gold foliage in the upper and lower margins.|Script, ff. 1-366: Liturgical textura.|Layout, ff. 1-366: Collation: early flyleaf + iâ€“ii#^4# [both added c. 1500], iii#^6+1# [last leaf added], iv#^10#, v#^9# [of 10, lacking iv, once foliated â€˜xivâ€™], viâ€“xvi#^10#, xvii#^9# [of 10, lacking iv, once foliated â€˜cxxxivâ€™], xviiiâ€“xxii#^10#, xxiii#^13# [text complete but perhaps of 14, with a blank canceled after â€˜cxciâ€™], xxiv#^10#, xxv#^2#, xxviâ€“ xxxiv#^10#, xxxv#^9# [of 10, lacking ix, once foliated â€˜cccxivâ€™], xxxviâ€“xxxviii#^10#, xxxix#^9# [of 10, blank x canceled at end], with horizontal catchwords; medieval foliation (followed here) runs â€˜iâ€™â€“â€˜ccclivâ€™ (lacking 3 leaves but + 15 unfoliated leaves at the beginning = 366); faint ruling in black, apparently in plummet, 2 columns, 30 lines, each column 222 mm. by 61 mm. with 21 mm. between columns.","Binding: Bound in late seventeenth-century red morocco, gilt edges, spine gilt, marbled pastedowns, paper flyleaves; in a blue-grey cloth case.|Figurative details, ff. 1-366: 3 historiated initials, showing Pentecost (fol. cliv verso, 5-line), the Crucifixion (fol. ccvi verso, 6-line) and Saint Stephen (fol. cclvi verso, 4-line).|Other decoration, ff. 1-366: Rubrics in red; 2-line initials throughout in alternating blue with red penwork and red with purple penwork; many (Ricketts counted 68) large illuminated initials with fulllength bar borders sprouting into elaborate sprays of coloured and gold foliage in the upper and lower margins.|Script, ff. 1-366: Liturgical textura.|Layout, ff. 1-366: Collation: early flyleaf + iâ€“ii#^4# [both added c. 1500], iii#^6+1# [last leaf added], iv#^10#, v#^9# [of 10, lacking iv, once foliated â€˜xivâ€™], viâ€“xvi#^10#, xvii#^9# [of 10, lacking iv, once foliated â€˜cxxxivâ€™], xviiiâ€“xxii#^10#, xxiii#^13# [text complete but perhaps of 14, with a blank canceled after â€˜cxciâ€™], xxiv#^10#, xxv#^2#,|More on layout: {collation} xxviâ€“ xxxiv#^10#, xxxv#^9# [of 10, lacking ix, once foliated â€˜cccxivâ€™], xxxviâ€“xxxviii#^10#, xxxix#^9# [of 10, blank x canceled at end], with horizontal catchwords; medieval foliation (followed here) runs â€˜iâ€™â€“â€˜ccclivâ€™ (lacking 3 leaves but + 15 unfoliated leaves at the beginning = 366);|More on layout: faint ruling in black, apparently in plummet, 2 columns, 30 lines, each column 222 mm. by 61 mm. with 21 mm. between columns."
"Binding: Bound in fifteenth-century blind-stamped pigskin over square-edged boards, sewn on 3 double thongs, blind-ruled with multiple lines into a frame and saltire pattern stamped with tools of splayed eagle, a lamb and flag, and several floral tools; fitted with metal corner-pieces and central bosses; 2 clasps with ""Ihs Mars"" in German gothic embossed metal, attached at edge of lower cover fitting onto catches on edge of upper cover; paper pastedowns; strip of sewing guard at front from an eleventh-century manuscript, probably liturgical; in dark green frull morocco padded case gilt (by Lakeside Press, Chicago). The volume was rebound at Saint Emmeram's at the end of the fifteenth century, shelved in the library as T. 10. Rusty offsets of a hasp mark at the top of the lower cover show that the book was chained.|Other decoration, Pastedown: Book stamp of Sir Thomas Phillips library, a rampant lion, with the words ""Sir T.P. Middle Hall"" underneath.|Number of scribes, Pastedown: 3, one primary, two separate annotating.|Script, Pastedown: Caroline minuscule; modern cursive.|Figurative details, ff.1-130v: Drapery, f. 104v; interlaced ropework design, f. 118r; bearded face, f. 126v; shoe, f. 127v.|Other decoration, ff.1-130v: Headings in red rustic capitals, small initials in red.|Number of scribes, ff.1-130v: 3, one primary.|Script, ff.1-130v: Caroline minuscule; later hands in secretary and gothic.|Layout, ff.1-130v: Collation: iâ€“xiv#^8#, xv#^6#, xvi#^8#, xvii#^6# [of 8, viiâ€“viii canceled at end].|Number of scribes, ff. 130v-132r: 3, one primary.|Script, ff. 130v-132r: Caroline minuscule; Gothic.|Layout, ff. 130v-132r: Collation: iâ€“xiv#^8#, xv#^6#, xvi#^8#, xvii#^6# [of 8, viiâ€“viii cancelled at end]. Page begins with the final six lines of De Trinitate followed by several lines erasure after end of text, then two form letters and marginalia.|Other decoration, f. 132v: Majescule captials.|Number of scribes, f. 132v: One.|Music, f. 132v: Neumes.|Layout, f. 132v: Musical notations placed above words of text.","Binding: Bound in fifteenth-century blind-stamped pigskin over square-edged boards, sewn on 3 double thongs, blind-ruled with multiple lines into a frame and saltire pattern stamped with tools of splayed eagle, a lamb and flag, and several floral tools; fitted with metal corner-pieces and central bosses;|More on binding: 2 clasps with ""Ihs Mars"" in German gothic embossed metal, attached at edge of lower cover fitting onto catches on edge of upper cover; paper pastedowns; strip of sewing guard at front from an eleventh-century manuscript, probably liturgical; in dark green frull morocco padded case gilt (by Lakeside Press, Chicago).|More on binding: The volume was rebound at Saint Emmeram's at the end of the fifteenth century, shelved in the library as T. 10. Rusty offsets of a hasp mark at the top of the lower cover show that the book was chained.|Other decoration, Pastedown: Book stamp of Sir Thomas Phillips library, a rampant lion, with the words ""Sir T.P. Middle Hall"" underneath.|Number of scribes, Pastedown: 3, one primary, two separate annotating.|Script, Pastedown: Caroline minuscule; modern cursive.|Figurative details, ff.1-130v: Drapery, f. 104v; interlaced ropework design, f. 118r; bearded face, f. 126v; shoe, f. 127v.|Other decoration, ff.1-130v: Headings in red rustic capitals, small initials in red.|Number of scribes, ff.1-130v: 3, one primary.|Script, ff.1-130v: Caroline minuscule; later hands in secretary and gothic.|Layout, ff.1-130v: Collation: iâ€“xiv#^8#, xv#^6#, xvi#^8#, xvii#^6# [of 8, viiâ€“viii canceled at end].|Number of scribes, ff. 130v-132r: 3, one primary.|Script, ff. 130v-132r: Caroline minuscule; Gothic.|Layout, ff. 130v-132r: Collation: iâ€“xiv#^8#, xv#^6#, xvi#^8#, xvii#^6# [of 8, viiâ€“viii cancelled at end]. Page begins with the final six lines of De Trinitate followed by several lines erasure after end of text, then two form letters and marginalia.|Other decoration, f. 132v: Majescule captials.|Number of scribes, f. 132v: One.|Music, f. 132v: Neumes.|Layout, f. 132v: Musical notations placed above words of text."
