title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
Lectionary,,,,,Lectionary
"Lectionary, Feasts of Saint John the Evangelist and Holy Innocents",,,,Lectionary,
"Lectionary, Homily on Matthew 2:19",,,,Lectionary,
"Lectionary, Sermons on the Assumption of the Blessed Virgin Mary",,,,Lectionary,
"Lectionary, for 4-6 Feriae after Pentecost",,,,Lectionary,
"Lectionary, texts from Habakkuk and Zephaniah",,,,Lectionary,
"Lectionary: Epistles and Gospels, Annunciation, Visitation",,,,Lectionary,
Lectionary: Feasts of Saint John the Apostle and Saint Stephen,,,,Lectionary,
Lectionary: Palm Sunday,,,,Lectionary,
Lectura super quintum librum Decretalium (Commentary on the Fifth Book of Decretals),,,,Commentary on decretals,
Legal Commentary (on procurators),,,,Legal commentary,
Legal Text,,,,Legal text,
Legal Treatise,,,,Legal treatise,
"Legal Treatise (on citations, contracts, notaries, etc.)",,,,Legal treatise,
Legal fragment with marginal commentary,,,,Legal text,
Legal treatise,,,,Legal treatise,
Legenda aurea (Golden Legend),,,,Legenda aurea,
Leges Langobardorum,,,,Leges langobardorum,
Les dits moraulx des philosophes,,,,Les dits moraulx des philosophes,
Letter to Damasus on the death of Saint Jerome,,,,Letter to Damascus on the death of St. Jerome,
Lewis Psalter,,,,Psalter;Lewis psalter,
"Lex Salica, Chapters XLVII-XLIX",,,,Lex Salica,
Libellus beati misericordes (A collection of excerpts from the latin fathers),,,,Libellus beati misericordes,
Liber IV sententiarum (Four Books of Sentences),,,,Sentences,
Liber V of a Treatise on the Decalogue,,,,Treatise on the Decalogue,
Liber de vinis,,,,,De vinis
Liber primus distinctionum super decretales,,,,,Liber primus distinctionum super Decretales
Life of Holy Francis and his companions,,,,Life of St. Francis,
Life of Thomas Aquinas,,,,Life of Thomas Aquinas,
Liturgical text; Manipulus curatorum (Handbook for priests),,,,Manipulus curatorum,
Lives of the Saints,,,,,Lives of the Saints
Logic,,,,Logic,
Luke 17:10-24,,,,Bible;Gospel of Luke,
Luke 22:34 - 23:2,,,,Bible;Gospel of Luke,
Machsor (in Hebrew),,,,Machsor,
"Macrobius, Saturnalia, Liber II.7-III.5-6",,,,Saturnalia,
Madonna and child,,,,Miniature,
Manuscript Fragment with Decorated Initial,,,,Decorated initial,
Manuscript leaf with crest,,,,Coat of arms,
Manuscript of an evangelist and prebendary of the minor orders,,,,Evangliary;documents,
Marginal Miniatures,,,,Fragments;Illuminated initial,
Mark 14:25-66,,,,Bible;Gospel of Mark,
Mark 14:43 - 15:8,,,,Bible;Gospel of Mark,
Mary assisting with the sick,,,,Miniature,
Mass Rubrics in Verse,,,,Liturgical verse,
Mass of Ordination with neumes for the Gradual,,,,Gradual,
Massacre of the Bretons by the English,,,,Genealogy,
Matricola (Matriculation list),,,,Matricola,
Matthew 15; John 4,,,,Gospel of Matthew;Gospel of John,
"Matthew Prologue, Chapters 1:1 - 3:15",,,,Bible;Gospel of Matthew,
Medical Treatise,,,,Medical treatise,
Medieval Manuscript,,,,Medieval manuscript,
Medieval Manuscript Fragment,,,,Medieval manuscript fragment,
Meditationes de passione christi,,,,Meditationes de passione christi,
Memorandum,,,,Memorandum,
Menologium,,,,Menologium,
Miniature depicting All Saints,,,,Miniature,
Miniature depicting Disciples,,,,Miniature,
Miniature depicting Michael Archangel,,,,Miniature,
Miniature depicting Michael the Archangel fighting the dragon with his angels,,,,Miniature,
Miniature depicting St. Bridget of Sweden,,,,Miniature,
Miniature depicting Vincent of Saragossa being thrown into the water,,,,Miniature,
Miniature depicting battle between Abner and Joab,,,,Miniature,
Miniature depicting sainted clergy,,,,Miniature,
Miniature depicting the Archangel Gabriel and Joseph,,,,Miniature,
Miniature depicting the Transfiguration of Christ,,,,Miniature,
"Miniature from a choir book, depicting the Trinity",,,,Miniature,
Miniature from an alchemical manuscript,,,,Miniature,
Miniature of Christ calling Peter and Andrew,,,,Miniature,
Miniature of Daniel interpreting the dream of Nebuchadnezzar,,,,Miniature,
Miniature of Hercules' choice,,,,Miniature,
Miniature of Jesus in prayer,,,,Miniature,
"Miniature of Kaiser Konrad receiving the Smith, Konrad Stich",,,,Miniature,
Miniature of St. Anthony resisting temptation,,,,Miniature,
Miniature of St. John the Evangelist,,,,Miniature,
Miniature of a children's game: children dancing around the cock,,,,Miniature,
"Miniature of a dispute over the housekeeper's keys, with feasting couple in background",,,,Miniature,
Miniature of a pair of lovers,,,,Miniature,
Miniature of monks reading from a lectern,,,,Miniature,
Miniature of the Holy Family,,,,Miniature,
Miniature of the Presentation in the Temple,,,,Miniature,
Miniature of the alchemist's thieving apprentice,,,,Miniature,
"Miniature of the devil rejoicing over a brew made of monks, nuns, and priests",,,,Miniature,
Miniature of the sly fox,,,,Miniature,
Miniature of twelve virgin saints,,,,Miniature,
Miscellaneous Text,,,,Miscellany,
Missal,,,,,Missal
Missal (Canon),,,,Missal,
"Missal (Pater noster), with neumes",,,,Missal,
Missal with neumes,,,,Missal,
"Missal, Gospels and Epistles for Circumcision and Epiphany",,,,Missal,
"Missal, Sarum use",,,,Missal,
"Missal, use of Rome",,,,Missal,
"Missal: Ash Wednesday, following Thursday, one other day in Lent",,,,Missal,
Missal: August 10-13,,,,Missal,
"Missal: August 15, November 10-11",,,,Missal,
"Missal: December 27-28, with neumes",,,,Missal,
"Missal: December 7, Vigil of the Immaculate Conception",,,,Missal,
"Missal: Ember Saturday, Second Sunday in Lent",,,,Missal,
"Missal: Ember Saturday, with neumes",,,,Missal,
"Missal: Epistle from Jeremiah, Gospel from Luke 8:22-26",,,,Missal,
Missal: Feast of Corpus Christi,,,,Missal,
"Missal: Feast of the Assumption of the Virgin Mary, August 15",,,,Missal,
"Missal: Feasts of St. Caesarius Martyr, All Saints, Dedication of a Church",,,,Missal,
"Missal: February 3-5, with neumes",,,,Missal,
Missal: First Sunday in Advent,,,,Missal,
Missal: First Sunday in Lent and Following Monday,,,,Missal,
"Missal: Friday, Saturday of the Ember Days after Pentecost, Second Sunday after Pentecost",,,,Missal,
Missal: Good Friday and Holy Saturday,,,,Missal,
"Missal: Good Friday and Ninth Sunday after Pentecost, with Gospel from the Eighth Sunday, with neumes",,,,Missal,
"Missal: Good Friday, with neumes",,,,Missal,
"Missal: Holy Saturday, with neumes",,,,Missal,
"Missal: Holy Saturday, with neumes and interlinear glosses",,,,Missal,
"Missal: Holy Thursday, Good Friday",,,,Missal,
"Missal: January 18, St. Peter's Chair at Rome",,,,Missal,
Missal: July 2-4,,,,Missal,
Missal: July 22-30,,,,Missal,
"Missal: July 3-4, July 29-August 1, with neumes",,,,Missal,
Missal: May 1-25,,,,Missal,
Missal: May 1-3,,,,Missal,
Missal: May 1-3 and June 23-24,,,,Missal,
"Missal: Monday, Tuesday, and Saturday after the Fourth Sunday in Lent",,,,Missal,
"Missal: Ninth Sunday after Pentecost, Gospel Lesson from Mark 9:37-47",,,,Missal,
Missal: October 4-9 and September 21,,,,Missal,
"Missal: Ordinary for the Mass, Offertory, Dominican Liturgy",,,,Missal,
Missal: Prayers for Votive Masses,,,,Missal,
"Missal: Sanctoral Cycle, July 30-August 14",,,,Missal,
"Missal: Saturday after Ash Wednesday, First Sunday in Lent",,,,Missal,
Missal: Saturday of Passion Week and Palm Sunday,,,,Missal,
"Missal: Second and Third Feriae after the Second Sunday in Lent, with neumes",,,,Missal,
Missal: Second to Third Sundays after Epiphany,,,,Missal,
Missal: September 8-16,,,,Missal,
"Missal: Sexagesima Sunday and part of an earlier Mass, not of Septuagesima",,,,Missal,
"Missal: Special Prefaces, Communicantes, and Hanc Igitur",,,,Missal,
Missal: Sunday within the Octave and the Octave of Ephiphany,,,,Missal,
"Missal: Votive Masses for the Pope, King, Peace, an Abbot",,,,Missal,
Monastic account book,,,,Monastic account book,
Monks Praying,,,,Miniature,
Moralia in Job,,,,,Moralia in Job
Music Fragment,,,,Music,
Music Fragment with Decorated Initial,,,,Music,
Music Leaf,,,,Music,
Music Manuscript,,,,Music,
Music Manuscript Fragment,,,,Music,
Music and Text Leaf,,,,Music,
Natural Philosophy,,,,Natural philosophy,
New Testament-Psalter,,,,Psalter;New Testament,
Nicene Creed,,,,Nicene creed,
Noels (Christmas carols),,,,Hymnal,
Note and Receipt,,,,Note and receipt,
Note of Obligation and Condition,,,,Note of obligation and condition,
"Noted Missal, Dominican use",,,,Missal,
"Numbers 33:13-35, with marginal commentary",,,,Bible;Numbers,
Oedipi et Sphingis dialogus (Dialogues between Oedipus and the Sphinx); Le Sphinx,,,,Oedipi et sphingis dialogus,
Office of the Dead,,,,Office of the Dead,
Opera,,,,Opera,
Organon and related texts,,,,,Organon
"Origen, Homilies on the Book of Jesus Nave (Joshua)",,,,Homilies on the book of Jesus Nave,
"Ovid, Tristia, Liber I, Elegiae I,II",,,,Tristia,
"Ovid, Tristia, Liber I, Elegiae IX,X",,,,Tristia,
Painting of Christ crowned with thorns,,,,Miniature,
Papyrus Fragments with Hieroglyphs,,,,Papyrus fragments with hieroglyphs,
Passion of Saint Catherine of Alexandria,,,,Passion of St. Catherine of Alexandria,
Pastor's schedule in four German dialects,,,,Pastor's schedule,
Patristic writings,,,,Patristic writings,
Pen Flourished Initial,,,,Decorated initial,
Pentecost,,,,Miniature,
Periochae,,,,Periochae,
Persian manuscript,,,,Persian manuscript,
"Peter Comestor, 'Historia Scholastica,' Incunabulum printed at Basel by Amerbach, 1486",,,,Historia scholastica,
"Philosophical Text: Aristotle's Physics, or On Generation and Corruption",,,,Physics;On generation and corruption,
Philosophical and Theological Notes,,,,Philosophical and theological notes,
Polemical Treatise or Letter on Liturgical and Monastic Matters,,,,Religious treatise,
Pontifical,,,,,Pontifical
Pope Boniface VIII and attendants,,,,Legal text;Miniature,
Postilla epistolarum dominicalium,,,,Postilla epistolarum dominicalium,
Power of Attorney,,,,,Power of attorney
Prayer Book,,,,Prayerbook,
"Prayer Book, Use of Cologne",,,,Prayerbook,
Prayer against the plague; Prayer book,,,,Prayerbook,
Prayer book,,,,Prayerbook,
Prayers in honor of virgins,,,,Prayers,
"Prayers, with rubrics in French",,,,Prayers,
Presentation in the Temple,,,,Miniature,
Probate of a Will,,,,Will,
Processional,,,,,Processional
"Processional or Gradual: Holy Saturday and Easter, with neumes",,,,Processional;Gradual,
Processional; Astronomical Text binding fragment,,,,,Processional;Astronomy
Promissory Note,,,,Promissory note,
Prosper of Aquitaine,,,,Life of St. Prosper of Aquitaine,
"Proverbs 13:21 - 14:18, with marginal and interlinear commentary",,,,Bible;Proverbs,
Psalm 117:16-28,,,,Bible;Psalms,
"Psalm 143:9 - end, with canticles",,,,Bible;Psalms,
Psalm 73:2-23,,,,Bible;Psalms,
Psalms,,,,Bible;Psalms,
Psalms 102:14 - 103:4,,,,Bible;Psalms,
Psalms 103:33 - 104:15,,,,Bible;Psalms,
"Psalms 10:7 - 12:6, with contemporary and later interlinear and marginal glosses",,,,Bible;Psalms,
Psalms 118:5 - 130:3,,,,Bible;Psalms,
Psalms 27:7 - 31:9,,,,Bible;Psalms,
Psalms 31:10 - 33:14,,,,Bible;Psalms,
Psalms 76:9 - 77:1,,,,Bible;Psalms,
Psalms 90:7 - 91:3,,,,Bible;Psalms,
Psalter,,,,,Psalter
Psalter of the Breviary,,,,Psalter;Breviary,
Psalter or Breviary,,,,Psalter;Breviary,
"Psalter, glossed",,,,Psalter,
"Psalter, noted",,,,Psalter,
Psalter-Hours,,,,Psalter;Book of hours,
Readings on Statutes,,,,Statutes,
Recognizance,,,,Recognizance,
"Record of an Agreement made in the Queen's Court, Westminster, 1572",,,,Records,
Registrum epistolarum (Register of Letters),,,,Registrum epistolarum,
Religious manual,,,,Religious manual,
Religious verse,,,,Religious verse,
Repertorium juris civilis (Catalog of Civil Law),,,,Repertorium juris civilis,
Revelation 1:20 - 2:17,,,,Bible;Apocalypse,
Revelations,,,,Bible;Apocalypse,
Rituale Dominicanum (Dominican Ritual),,,,Rituale Dominicanum,
Rule of Saint Augustine; Sermon on Matthew 25:6,,,,Rule of St. Augustine;Sermons,
"Rule of the order of the Jesuati of San Giusto alle mura, Florence",,,,Rule of Jesuati of San Giusto alle mura,
Sacramentary,,,,,Sacramentary
"Saint Vincent Ferrer, Sermons, Incunabulum printed at Cologne by Quentell, 1485",,,,Sermons,
Scenes from story of Joseph and his brethren,,,,Series of illustrations,
Scholastic Philosophical Treatise,,,,Scholastic philosophical treatise,
Scholastic Philsophical Treatise on the Senses,,,,Scholastic philosophical treatise,
Scholastic Theological Treatise,,,,Scholastic theological treatise,
Scholastic Theological Treatise on Creation and Grace,,,,Scholastic theological treatise,
Scholastic Treatise on Baptism,,,,Scholastic treatise,
Scholastic Treatise on Logic,,,,Scholastic treatise,
School Text with Marginal Commentary,,,,School text,
Schwabenspiegel,,,,Schwabenspiegel,
Secreta secretorum (Secrets of Secrets),,,,,Secrets of Secrets
Sententiae (Sentences),,,,Sentences,
Sermon,,,,,Sermons
Sermon (Maximus of Turin),,,,Sermons,
Sermon Lectionary,,,,Lectionary,
Sermon at the Dedication of a Church,,,,Sermons,
Sermons,,,,,Sermons
Service book,,,,,Missal
Siege of a castle,,,,Miniature,
St. Bartholomew,,,,Miniature,
St. Dominic,,,,Historiated initial,
St. Francis exalts the spring and the tree,,,,Miniature,
"St. Francis meets Chastity, Poverty, and Obedience",,,,Miniature,
St. Martha,,,,Miniature,
St. Notburga,,,,Miniature,
St. Peter preaching the Gospel,,,,Miniature,
St. Theodore,,,,Miniature,
Statuta Angliae,,,,,Statuta Angliae
Statuta nova (New Statutes),,,,,New statutes
Statuta vetera (Old Statutes),,,,,Antiqua statuta
Statuta vetera (Old statutes),,,,,Antiqua statuta
Stella di salute,,,,Stella di salute,
Summa confessionis,,,,Summa confessionis,
"Summa de casibus poenitentia, glossed",,,,Summa de casibus poenitentia,
Summa de virtutibus (Treatise on the virtues); Summa vitiorum (Treatise on the vices),,,,Summa de virtutibus;Summa vitiorum,
Text Fragment,,,,Text fragment,
"The Ordinary of Christian Men, printed by Wynkyn de Worde, 1502",,,,The ordinary of Christian men,
Theological Notes,,,,Theological notes,
Theological Tract,,,,Theological treatise,
Theological Treatise,,,,Theological treatise,
Theological Treatise on Love as a Virtue,,,,Theological treatise,
Theological Treatise on Virtues,,,,Theological treatise,
Theological Treatise on the State of Man Before Sin,,,,Theological treatise,
Theological fragment,,,,Theological treatise,
Theological miscellany,,,,,Theological miscellany
Three Marys at the tomb,,,,Historiated initial,
Tobias (History of Tobias),,,,Bible;Tobit,
Tractatus 'De Causis',,,,Tractatus de causis,
Tractatus de maleficiis (Treatise on evil deeds),,,,,Treatise on evil deeds
Tractatus moralis de virtutibus (Moral Tract on the Virtues),,,,Tractatus moralis de virtutibus,
Treatise on Ethics,,,,Ethical treatise,
Treatise on Logic,,,,Treatise on logic,
Treatise on Poverty,,,,Treatise on poverty,
Treatise on the construction of an astrolabe,,,,Treatise on the construction of an astrolabe,
Triumphal Entry of a Princely Couple,,,,Miniature,
Undetermined,,,,Unknown,
Unknown,,,,Unknown,
Verse from Exodus 25,,,,Exodus,
View of stability taken by Ana Maria de Rul y Romero on entering the Cistercian convent of Santa Maria,,,,Vow of stability,
Vita Sancti Silvestri Papae,,,,Life of Pope Sylvester,
Vitae Sanctorum: Saints Remigius and Dionysius (Remy and Denis),,,,Lives of Sts. Remy and Denis,
"Vitae XII caesarium (Lives of the twelve caesars), fragment and Book of Hours leaf",,,,Lives of the twelve caesars;Book of hours,
Vitae patrum (Lives of the Fathers),,,,Lives of the fathers,
Vow of stability taken by Gertrudis Maria on entering the Cistercian convent of Santa Maria,,,,Vow of stability,
Vow of stability taken by Maria Paula on entering the Cistercian convent of Santa Maria,,,,Vow of stability,
Wheel of Sevens,,,,Wheel of sevens,
"Will, in English",,,,Will,
Wisdom personified,,,,Miniature,
Works of St. Gregory,,,,Opera,
Zechariah 11:16 - 12:4,,,,Bible;Zachariah,
undetermined,,,,Unknown,
