row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
205,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Caffarelli, Prospero, d. 1500",former owner.,,,human,Prospero Caffarelli,Q55643327
206,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Camac, William, 1829-1900",former owner.,,,,,
207,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Came to Conception Abbey from its motherhouse, Engelberg in Switzerland.",former owner,,,,,
208,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Canal, Abbe",former owner.,,,,,
209,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Capponi family (16th century); Boleslaw Szczesniak (b. 1908); acquired by the Bancroft Library UC Berkeley 1966. Previous call number 2MS HF5616 I9C2.,former owner,,,,,
210,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cardinal Lambruschini (1800-1851); his gift to Alexis de Saint Priest (1844); Joseph Martini (cat. 28, n. 7); bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 32, 2MS PA6304 L2M2.",former owner,,,,,
211,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Carlo Archinto of Milan (1669-1732); Adolph Sutro (1830-1898), mayor of San Francisco. A letter from George Moss (librarian of Sutro) addressed to Mrs. Morbio (presumably Mrs. Albert Morbio, Sutro's daughter), 23 May 1890, accompanies the manuscript.",former owner,,,,,
212,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Carson, Hampton L. (Hampton Lawrence), 1852-1929",former owner,,,human,Hampton L. Carson,Q19974462
213,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Carter, A. C. R",former owner.,,,,,
214,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Carthusians of Buxheim; Hugo, Graf von Waldbott-Bassenhim (his sale, Munich, 20 September 1883, lot 2672); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,,,
215,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cathedral of Saint Martin, Mainz, second half of the 15th century; acquired by the Bancroft Library UC Berkeley in 1965 from book seller S. R. Shapiro, said to have been purchased from a Trappist monastery in France. Previous call number 2MS BX2017 M2.",former owner,,,,,
216,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Catholic Church,author,,http://viaf.org/viaf/130782063,organization,Catholic Church,Q9592
217,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Catholic Church,author,,,organization,Catholic Church,Q9592
218,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Ce livre est et appartient à Escuyer Charles Busnel, sieur de la Retardaye, 1645i and by descent in the Busnel family of Montoray, to Henri-Jacques-François Busnel (1774) and Françoise Busnel (1824), who in 1842 gave it to her niece Julie de Busnel; Librairie Belin, Paris, cat. 171 (1892), no. 1331; Elisabeth Ball 1897-1982), of Muncie, Indiana; part of her bequest to the Lilly Library, 1982.",former owner,,,,,
219,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Cecco d'Ascoli,author,,,human,Cecco d'Ascoli,Q728592
220,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Celotti, Luigi, approximately 1768-approximately 1846",former owner.,,,,,
221,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Chetwode, John, Sir, 1764-1845",former owner.,,,human,"Sir John Chetwode, 4th Baronet",Q11800745
222,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Christine de Pizan,author,,,human,Christine de Pizan,Q234816
223,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Christoph Hegendorf,author,,,human,Christoph Hegendorff,Q75977
224,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Cicero,author,,,human,Cicero,Q1541
225,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Cicero (Quintus Tullius Cicero),author,,,,,
226,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cicero, Marcus Tullius",author.,,,human,Cicero,Q1541
227,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.731Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cicero, Marcus Tullius.",author,,https://viaf.org/viaf/78769600,human,Cicero,Q1541
228,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cistercian abbey of Cambron, north of Mons, Hainault (now in Belgium), founded c. 1148; doubtless the Gilebertus . . . Super Epistolas Paulirecorded at Cambron in 1641 and the gillebertus Super epistolas Sti Pauli Completerecorded at Cambron in 1782 (Sanderus 1641, I, p. 355; Planke 1938, p. 55, no. 168); the abbey was suppressed in 1789 and the monks finally left in 1797; at least 34 manuscripts from Cambron were bought c. 1823 from P. J. De Mat (d. 1828), bookseller in Brussels, by Sir Thomas Phillipps (1792-1872), his MSS 333-62 and 4765-68, together with an unknown number of fragments; from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-6, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
229,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cistercian abbey of Villers-en-Brabant, founded from Clairvaux in 1146 and suppressed in 1796; doubtless from the Quarta pars Gregorialis et sermo quidam sancti Bernardilisted in the Villers library catalogue of 1309 (Derolez 2001, p. 219, no.164); part of a group of 20 manuscripts from Villers bought in Brussels c. 1823 by Sir Thomas Phillipps (1792-1872); Phillipps MS 29506 (the ‘9’ written over ‘0’, as in item 21 above); from the collection of specimen leaves formed by Messrs. W. H. Robinson, who bought the residue of the Phillipps library in 1945-46, sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
230,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cistercian monastery of Morimondo (1298) (first part only); Count Francesco Giovio of Como (1796-1873); Joseph Martini of Lugano (catalogue XXVII, n. 2); bequest of James K. Moffit to Bancroft Library UC Berkeley (1956). Formerly MAR 26, 2MS B765 T5S3.",former owner,,,,,
231,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cistercian monastery of Morimondo (?) (late 12th century); Paolo Giovio (1483-1552); Joseph Martini (cat. ? after 1931, n. 12); bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 23, 2MS BS1145 I8.",former owner,,,,,
232,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Cistercian monastery of Morimondo (late 12th century) (?); Paolo Giovio (1483-1552); Joseph Martini (1930-38 catalogues); bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call number 2MS BL624 H8.,former owner,,,,,
233,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Clark, Clarence H. (Clarence Howard), 1833-1906",former owner,,,human,"Clarence Howard Clark, Sr.",Q5126591
234,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z",Claudianus Osbern of Gloucester,author,,,human,Osbern of Gloucester,Q680829
235,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.104Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Coat of arms for the Duke of Cleves, f. 1; Gift of Phoebe A. Hearst to the Bancroft Library UC Berkeley ca. 1909. Previous call number 2MS BT306.28 1450.",former owner,,,,,
236,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.105Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cockerell, Sidney C.",former owner,,,human,Sydney Cockerell,Q966843
237,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-11T16:39:53.002Z | NAME RECON STEP 3: START HUMAN RECON 2022-07-11T16:48:50.224Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-07-11T16:57:20.359Z | NAME RECON STEP 6: START ORG RECON 2022-07-11T21:33:30.732Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:22.687Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:38:40.476Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-07-11T21:39:37.105Z | NAME RECON STEP 9: FINALIZED 2022-07-12T13:35:35.240Z","Cockerell, Sydney Carlyle, Sir, 1867-1962",former owner,,,human,Sydney Cockerell,Q966843
